id,vehicle_number,year,make,model,hit_run
2010010210-002760,1,2006,HONDA,PILOT, 
2010010210-021628,1,2007,SUZUKI,SX4, 
2010010210-043920,1,2007,HARLEY DAVIDSON,SPORTSTR, 
2010010210-065163,1,0   ,SUZUKI,125, 
2010010210-069308,1,1998,VAN,BUS, 
2010010210-069308,2,1997,MAZDA,626, 
2010010210-069308,3,2002,ACURA,MDX, 
2010010210-074329,1,1994,LINCOLN,TOWN&COU, 
2010010210-078756,1,2002,FORD,EXPLORER, 
2010010210-078756,2,2004,YAMAHA,YZFRI, 
2010010210-087424,1,2006,NISSAN,XTERRA, 
2010010210-103899,1,2006,MAZDA,MZ6, 
2010010210-107655,1,1993,NISSAN,SEN, 
2010010210-109790,1,2000,DODGE,INTREPID, 
2010010210-116800,1,2000,FORD,F150, 
2010010210-127183,1,2004,FORD,EPLOR, 
2010010210-135211,1,2004,MAZDA,6, 
20100103I-2010-07108,1,2002,YAMAHA,MOTORCY, 
20100103I-2010-07108,2,2003,OLDS,VAN, 
20100105A090-2010-00081A,1,2005,THOMAS,BUS, 
20100105A090-2010-00081A,2,1988,OLDS,SEDAN, 
20100105A090-2010-00149A,1,2001,SUZUKI,TL1000, 
20100105A090-2010-00157A,1,2009,TOYOTA,CAMRY, 
20100105A090-2010-00223A,1,1995,HONDA,CIVIC, 
20100105A090-2010-00232A,1,2008,FORD,F250, 
20100105A090201000019A,1,2000,MERCEDES BENZ,S43, 
2010010710-4120,1,2007,DODGE,CHARGER, 
2010010810-015536,1,2003,MERCURY,MOUNTAINEER, 
2010010810-03238,1,2002,CHEVROLET,CAVALIER, 
2010010810-03238,2,2006,CHEVROLET,TRL BLZ, 
2010010810-14310,1,1999,FORD,WINDSTAR, 
2010010810-14310,2,2002,CHEVROLET,AVALANCHE, 
2010010810-22224,1,0   ,,,Y
2010010810-37501,1,1997,MERCURY,MOUNTAINEER, 
2010010810-37501,2,2006,JEEP,LIBERTY, 
2010010810-43473,1,2002,GMC,1500, 
2010010810-47599,1,1998,FORD,EXPLORER, 
2010010810-59797,1,2002,HONDA,CIVIC, 
2010010810-59797,2,2002,MITSUBISHI,ECLIPSE, 
2010010810-59797,3,2002,BUICK,RENDEZVOUS, 
2010010810-59797,4,1998,HONDA,CIVIC, 
2010010810-69063,1,2002,HYUNDAI,ACCENT, 
20100108E030-2010-01544A,1,1999,CHRYSLER,300, 
20100108E030/2010-00259A,1,1997,LEXUS,400, 
20100108E030201000521A,1,1999,MAZDA,626LX, 
20100108E030201001017A,1,1997,FORD,EXPLORER, 
20100109A090-2010-00254A,1,2010,TOYOTA,YARIS, 
20100109A090-2010-00254A,2,1994,CHEVROLET,SUBURBAN, 
201001112010-00002251,1,2000,OLDS,ALERO, 
201001112010-00006881,1,1996,TOYOTA,AVALON, 
201001112010-00006881,2,1993,TOYOTA,CAMRY, 
201001112010-00015684,1,2003,FORD,EXPLORER, 
201001112010-00015684,2,2000,CHRYSLER,VOYAGER, 
201001112010-00016840,1,2010,JEEP,GRAND CHEROKEE, 
201001112010-00020154,1,2006,PONTIAC,G6, 
201001112010-00024770,1,2010,JAGUAR,XK-E SERIES, 
201001112010-00024964,1,2007,BMW,X3, 
201001112010-00025975,1,2006,HONDA,PILOT, 
201001112010-00025975,2,2000,NISSAN,ALTIMA, 
201001112010-00027383,1,2007,HONDA,CIVIC, 
2010011210-09303,1,2007,TOYOTA,CAMRY, 
2010011210-14784,1,1996,HONDA,MOTOR CYCLE, 
2010011210-14784,2,2003,FORD,PKUP, 
2010011210-15111,1,2002,HARLEY DAVIDSON,MOTORCYCLE, 
2010011210-21467,1,2000,KIA,4 DOOR, 
2010011210-28260,1,0   ,YAMAHA,, 
2010011210-28260,2,2003,CHEVROLET,SUBURBAN, 
2010011210-33602,1,2006,SUZUKI,HAYABUSA, 
2010011210-34852,1,1999,FORD,PICKUP, 
2010011210-37288,1,1999,CADILLAC,ESCALADE, 
2010011210-45767,1,1983,BUICK,PARK AVENUE,Y
2010011210-51432,1,2003,HONDA,ATV, 
2010011210-59702,1,2005,DODGE,MNVAN, 
2010011210-59968,1,0   ,TOYOTA,,Y
2010011210-61404,1,0   ,,BULLDOZER, 
2010011210-61404,2,2005,CHEVROLET,4 DOOR, 
2010011210-61404,3,2009,NISSAN,4 DOOR, 
2010011210-9736,1,2000,NISSAN,4 DOOR, 
20100113I-2010-06394,1,2008,TOYOTA,TC, 
20100113I-2010-06394,2,1987,HARLEY DAVIDSON,MC, 
20100113I-2010-09515,1,1995,CHEVROLET,4 DR, 
20100113I-2010-09515,2,2004,DODGE,RAM 1500, 
20100113I-2010-10653,1,1999,FORD,EXPED., 
20100113I-2010-10653,2,2006,BUICK,4 DOOE, 
20100113I-2010-13050,1,1996,CHEVROLET,BLAZER, 
20100113I-2010-15851,1,1997,SUBARU,SEDAN, 
20100113I-2010-15851,2,2003,CHEVROLET,WAGON, 
20100113I-2010-17766,1,2007,HONDA,CIVIC, 
20100113I-2010-17766,2,2009,TOYOTA,YARIS, 
20100113I-2010-17766,3,1997,FORD,TRUCK, 
20100113I-2010-18155,1,2001,BUICK,REG, 
20100113I-2010-18155,2,2002,GMC,ENV, 
20100113I-2010-20433,1,2000,MITSUBISHI,ECL, 
20100113I-2010-20433,2,2000,PONTIAC,GRA, 
20100114I-2010-00292,1,1998,MITSUBISHI,ECL, 
20100114I-2010-00464,1,1995,DODGE,RAM, 
20100114I-2010-11528,1,2008,CHEVROLET,IMP, 
2010011610-01029,1,2010,MERCEDES BENZ,SDN, 
2010011610-01029,2,2008,CHEVROLET,EXP, 
2010011610-08446,1,2001,NISSAN,XTERA, 
2010011610-10179,1,1997,VOLKSWAGEN,JETTA, 
2010011610-12687,1,1999,DODGE,RAM,Y
2010011610-12687,2,1998,FORD,TAURUS, 
20100117I-2010-003606,1,2004,GMC,SIERRA, 
20100117I-2010-003606,2,1993,HONDA,600, 
201001182010/9264,1,2009,TOYOTA,4DOOR, 
201001192010-17282,1,2002,HONDA,CIVIC, 
201001192010-46667,1,2001,CHEVROLET,VENTURE, 
20100120C120201000212A,1,2004,NISSAN,350Z, 
20100120E030-2010-00556A,1,2009,TOYOTA,SCION, 
