id,vehicle_number,charge
20070101I-2007-002617,1,DWI                           
20070101I-2007-006035,1,                              
20070101I-2007-006035,2,CARELESS DRIVING 39:4-97      
20070101I-2007-008833,1,                              
20070101I-2007-008833,2,CARELESS DRIVING 39:4-97      
20070101I-2007-012586,1,                              
20070101I-2007-012720,1,                              
2007010207-000200,1,                              
2007010207-000200,2,                              
2007010207-000200,3,                              
2007010207-000200,4,                              
2007010207-013454,1,                              
2007010207-056633,1,39:4-50                       
2007010207-056633,2,39:3-40                       
2007010207-067392,1,LEAVING THE SCENE             
2007010207-070956,1,FAILURE TO REPORT             
2007010207-100985,1,                              
2007010207-117224,1,                              
2007010207-162994,1,CARELESS DRIVING              
20070103I-2007-09670,1,39:4-97                       
20070103I-2007-09670,2,                              
20070103I-2007-10152,1,39:4-50                       
20070103I-2007-10152,2,                              
20070103I-2007-14844,1,                              
2007010420701000,1,C029630                       
2007010420701000,2,                              
2007010420705281,1,                              
20070104I-2007-08388,1,                              
20070104I-2007-08388,2,FAILURE TO STOP ETC.          
20070105A090-2007-00030A,1,39:4-96                       
20070105A090-2007-00030A,2,                              
20070105A090-2007-00076A,1,39:4-97                       
20070105A090-2007-00097A,1,39:4-50                       
20070105A090-2007-00243A,1,                              
20070105A090-2007-00243A,2,                              
20070105A090-2007-00335A,1,39:4-97                       
20070105A090-2007-00335A,2,                              
20070105A090-2007-198A,1,39:4-97                       
20070105A090-2007-223A,1,39:4-96                       
20070105A090200700033P,1,                              
2007010707-4274,1,                              
2007010707-4274,2,39:4-144                      
2007010707918,1,                              
2007010707918,2,                              
200701072007-1930,1,                              
200701072007-1930,2,                              
200701072007-2695,1,                              
200701072007-2943,1,                              
200701072007-2943,2,                              
200701072007-2943,3,39:4-50                       
200701072007-3676,1,                              
200701072007-3676,2,39:4-90                       
200701072007-4112,1,                              
200701072007-4112,2,39:4-97                       
200701072007-4609,1,                              
200701072007-4609,2,39:4-90                       
200701072007-5339,1,                              
200701072007-6751,1,                              
200701072007-7138,1,                              
200701072007-7138,2,39:4-97                       
200701072007-7549,1,CARELESS DRIVING              
200701072007-9224,1,                              
200701072007-9224,2,39:4-90                       
20070107E-2007-2335,1,39:4-50                       
2007010807-030358,1,                              
2007010807-040474,1,39:4-123                      
2007010807-040474,2,                              
2007010807-041285,1,39:3C-18                      
2007010807-044129,1,39:4-50                       
2007010807-056137,1,                              
2007010807-056852,1,39:3-76.7                     
2007010807-064636,1,                              
2007010807-064636,2,39:4-97 6B-2                  
2007010807-10404,1,                              
2007010807-10973,1,                              
2007010807-10973,2,39:4-96                       
2007010807-2180,1,                              
2007010807-27971,1,                              
2007010807-28306,1,39:4-76.2F                    
2007010807-28306,2,39:4-144                      
2007010807-61054,1,                              
2007010807-61054,2,                              
2007010807-62891,1,                              
2007010807-68324,1,                              
2007010807-68324,2,39:4-56                       
20070108A160-2007-00197A,1,                              
20070109A090-2007-00091A,1,39:4-50                       
2007011107-16498,1,                              
2007011107-19020,1,                              
2007011107-19020,2,39:4-97                       
2007011107-22175,1,39:4-97                       
2007011107-22175,2,                              
2007011107-2349,1,DWI DRIVING WHILE INTOXICATED 
2007011107-30720,1,                              
2007011107-33148,1,                              
2007011107-33148,2,39:4-88B                      
2007011107-3769,1,39:4-88B                      
2007011107-3769,2,                              
2007011107-5571,1,                              
2007011107-5571,2,SEE NARRATIVE                 
200701112007-17366,1,                              
200701112007-23873,1,                              
200701112007-23873,2,39:4-97                       
200701112007-26628,1,39:4-97                       
200701112007-26628,2,                              
200701112007-26628,3,                              
200701112007-26628,4,                              
200701112007-26628,5,                              
200701112007-26628,6,                              
200701112007-31635,1,39:4-144                      
200701112007-31635,2,                              
200701112007-32561,1,                              
200701112007-5224,1,39:4-144                      
200701112007-5224,2,                              
200701112007-753,1,39:3-40 4-127                 
20070111E030200700160A,1,                              
20070111E030200700160A,2,                              
20070111E030200700768A,1,39:4-96                       
2007011207-04347,1,                              
2007011207-18971,1,PENDING FURTHER INVESTIGATION 
2007011207-18971,2,PENDING FURTHER INVESTIGATION 
2007011207-19326,1,RECKLESS                      
2007011207-21949,1,                              
2007011207-21949,2,39:4-97                       
2007011207-28104,1,39:4-50                       
2007011207-30219,1,39 4-97 CARELESS DRIVING      
2007011207-33102,1,                              
2007011207-42593,1,                              
2007011207-50879,1,39:4-50                       
2007011207-53346,1,39:3-4                        
2007011207-53346,2,39:4-97                       
2007011207-58718,1,39:4-97                       
2007011207-61053,1,39:4-97                       
2007011207-66196,1,39:4-97                       
20070112A160-2007-00280A,1,39:4-97                       
20070112A160-2007-00280A,2,                              
20070112A160200700155A,1,39:4-97                       
20070112A160200700155A,2,                              
20070112A160200700565A,1,                              
2007011320700166,1,39:4-97                       
2007011320700166,2,                              
2007011320700535,1,                              
2007011320700535,2,                              
2007011320700790,1,39:4-50                       
2007011320700790,2,39:4-10                       
2007011320700998,1,39:4-97                       
2007011320700998,2,                              
2007011320701884,1,39:4-144                      
2007011320701884,2,                              
2007011320706755,1,                              
2007011320708445,1,39:4-97                       
2007011320710406,1,FAILURE TO YIELD AT INTER     
2007011320710406,2,                              
2007011320710564,1,                              
2007011320710564,2,                              
2007011320710854,1,39:4-96                       
2007011320710854,2,                              
2007011320713239,1,39:4-144                      
2007011320713239,2,                              
2007011320714569,1,39:4-85                       
2007011320714569,2,39:3-10                       
2007011320715155,1,                              
2007011320715479,1,39:4-97                       
2007011320715479,2,39:3-44                       
2007011320716136,1,                              
2007011320716136,2,                              
2007011320718905,1,39:4-97                       
