id,vehicle_number,position,occupant_number,age,sex,condition
20070101I-2007-002617,1,01,1,24,M,02
20070101I-2007-006035,1,01,1,43,F,03
20070101I-2007-006035,1,03,2,13,M,  
20070101I-2007-006035,2,01,3,17,F,02
20070101I-2007-008833,1,01,1,40,M,  
20070101I-2007-008833,2,01,2,44,F,03
20070101I-2007-008833,2,03,3,29,F,02
20070101I-2007-012586,1,01,1,21,F,02
20070101I-2007-012720,1,01,1,57,M,02
2007010207-000200,1,01,1,55,M,  
2007010207-000200,1,03,2,39,F,  
2007010207-000200,2,01,3,51,F,  
2007010207-000200,2,03,4,59,M,  
2007010207-000200,3,01,5,75,M,  
2007010207-000200,3,03,6,61,F,  
2007010207-013454,1,01,1,51,M,  
2007010207-056633,1,01,1,25,M,02
2007010207-056633,2,01,2,27,M,02
2007010207-056633,2,03,3,27,M,02
2007010207-067392,1,01,1,77,F,  
2007010207-070956,1,01,1,34,F,  
2007010207-100985,1,01,1,58, ,  
2007010207-117224,1,01,1,50,F,  
2007010207-117224,1,03,2,,M,  
2007010207-117224,1,04,3,48,M,  
2007010207-117224,1,06,4,35,F,  
2007010207-162994,1,01,1,47,M,  
20070103I-2007-09670,1,01,1,40,M,02
20070103I-2007-09670,2,  ,2,44,M,  
20070103I-2007-10152,1,01,1,27,M,02
20070103I-2007-10152,2,01,2,60,M,  
20070103I-2007-10152,2,06,3,33,F,  
2007010420701000,1,01,1,38,F,02
2007010420701000,2,01,2,49,M,  
2007010420701000,2,03,3,48,F,04
2007010420701000,2,06,4,39,F,  
2007010420705281,1,11,1,42,M,03
2007010420705281,1,11,2,39,F,02
20070104I-2007-08388,1,01,1,76,M,  
20070104I-2007-08388,2,01,2,31,F,02
20070105A090-2007-00030A,1,01,1,41,M,02
20070105A090-2007-00030A,2,01,2,29,M,03
20070105A090-2007-00076A,1,01,1,82,M,02
20070105A090-2007-00097A,1,01,1,40,M,  
20070105A090-2007-00243A,1,01,1,78,F,03
20070105A090-2007-00243A,2,01,2,72,M,02
20070105A090-2007-00335A,1,01,1,65,M,03
20070105A090-2007-00335A,2,01,2,45,M,03
20070105A090-2007-00335A,2,03,3,54,F,03
20070105A090-2007-00335A,2,04,4,17,M,02
20070105A090-2007-00335A,2,06,5,11,M,03
20070105A090-2007-198A,1,01,1,46,M,02
20070105A090-2007-223A,1,01,1,17,F,  
20070105A090-2007-223A,1,03,2,18,F,02
20070105A090200700033P,1,11,1,29,M,02
2007010707-4274,1,01,1,25,M,02
2007010707-4274,1,03,2,21,M,04
2007010707-4274,2,01,3,40,F,04
2007010707918,1,01,1,82,M,02
2007010707918,2,  ,2,, ,  
200701072007-1930,1,01,1,41,F,02
200701072007-1930,2,01,2,19,F,  
200701072007-2695,1,01,1,76,M,  
200701072007-2695,1,03,2,76,F,  
200701072007-2943,1,01,1,64,F,  
200701072007-2943,2,01,2,44,F,02
200701072007-2943,3,01,3,68,M,  
200701072007-3676,1,01,1,23,F,03
200701072007-3676,2,01,2,32,F,02
200701072007-4112,1,01,1,28,M,02
200701072007-4112,2,01,2,37,M,03
200701072007-4609,1,01,1,42,M,02
200701072007-4609,2,01,2,61,M,  
200701072007-5339,1,01,1,,M,  
200701072007-5339,1,03,2,,F,  
200701072007-6751,1,01,1,57,M,  
200701072007-6751,1,03,2,74,M,  
200701072007-7138,1,01,1,,F,02
200701072007-7138,1,03,2,,F,02
200701072007-7138,1,06,3,74,F,02
200701072007-7138,1,06,4,,F,02
200701072007-7138,2,01,5,74,M,02
200701072007-7549,1,01,1,21,M,03
200701072007-7549,1,11,2,21,F,02
200701072007-9224,1,01,1,63,M,02
200701072007-9224,2,01,2,81,F,02
20070107E-2007-2335,1,01,1,22,F,02
2007010807-030358,1,01,1,57,M,02
2007010807-040474,1,01,1,52,M,03
2007010807-040474,1,03,2,51,F,02
2007010807-040474,2,01,3,35,M,04
2007010807-040474,2,03,4,26,M,  
2007010807-041285,1,01,1,20,M,02
2007010807-044129,1,01,1,45,M,  
2007010807-056137,1,01,1,25,M,  
2007010807-056852,1,01,1,41,M,02
2007010807-064636,1,01,1,32,M,  
2007010807-064636,1,03,2,39,F,  
2007010807-064636,1,04,3,7,M,  
2007010807-064636,1,06,4,10,M,  
2007010807-064636,2,01,5,27,F,02
2007010807-10404,1,01,1,22,M,02
2007010807-10404,1,03,2,19,F,04
2007010807-10973,1,01,1,50,F,03
2007010807-10973,2,01,2,20,M,02
2007010807-2180,1,01,1,17,F,  
2007010807-27971,1,01,1,23,F,02
2007010807-28306,1,01,1,47,M,02
2007010807-28306,2,01,2,23,M,  
2007010807-61054,2,01,1,46,M,02
2007010807-62891,1,01,1,51,M,  
2007010807-68324,1,01,1,45,M,02
2007010807-68324,2,01,2,69,F,  
20070108A160-2007-00197A,1,01,1,23,F,02
20070108A160-2007-00197A,1,03,2,46,M,  
20070109A090-2007-00091A,1,01,1,27,M,02
2007011107-16498,1,01,1,18,M,02
2007011107-19020,1,01,1,50,F,02
2007011107-19020,2,01,2,21,M,  
2007011107-22175,1,01,1,19,F,03
2007011107-22175,2,01,2,49,M,02
2007011107-2349,1,01,1,22,F,02
2007011107-2349,1,03,2,24,M,03
2007011107-30720,1,01,1,20,M,02
2007011107-33148,1,01,1,23,M,02
2007011107-33148,1,03,2,21,F,04
2007011107-33148,1,04,3,23,M,02
2007011107-33148,1,05,4,22,F,02
2007011107-33148,1,06,5,24,M,  
2007011107-33148,2,01,6,25,M,02
2007011107-3769,1,01,1,52,M,02
2007011107-3769,2,01,2,52,M,  
2007011107-5571,1,01,1,49,M,  
2007011107-5571,1,03,2,49,F,04
2007011107-5571,1,04,3,48,M,  
2007011107-5571,1,06,4,77,F,04
2007011107-5571,1,07,5,16,F,  
2007011107-5571,1,09,6,18,M,04
2007011107-5571,2,01,7,29,M,02
200701112007-17366,1,01,1,23,M,03
200701112007-17366,1,03,2,26,M,02
200701112007-17366,1,09,3,25,M,03
200701112007-23873,1,01,1,56,F,  
200701112007-23873,2,01,2,53,M,02
200701112007-26628,1,01,1,47,M,02
200701112007-26628,2,01,2,24,M,03
200701112007-26628,2,03,3,25,M,04
200701112007-26628,3,01,4,24,M,  
200701112007-26628,4,01,6,23,F,  
200701112007-26628,5,01,5,24,F,  
200701112007-26628,6,01,7,54,F,  
200701112007-31635,1,01,1,18,M,02
200701112007-31635,2,01,2,23,F,  
200701112007-32561,1,01,1,, ,  
200701112007-5224,1,01,1,87,F,02
200701112007-5224,2,01,2,46,F,03
200701112007-5224,2,06,3,3,F,  
200701112007-753,1,01,1,26,F,  
200701112007-753,1,03,2,23,M,  
200701112007-753,1,06,3,21,M,  
200701112007-753,1,09,4,2,M,  
20070111E030200700160A,1,01,1,22,F,02
20070111E030200700160A,2,01,2,56,M,  
20070111E030200700768A,1,01,1,18,M,03
20070111E030200700768A,1,03,2,18,F,03
20070111E030200700768A,1,06,3,27,F,02
2007011207-04347,1,01,1,,M,  
2007011207-04347,1,03,2,23,M,  
2007011207-04347,1,04,3,23,M,  
2007011207-04347,1,06,4,,M,02
2007011207-18971,1,01,1,28,M,02
2007011207-18971,1,03,2,29,F,02
2007011207-18971,2,01,3,48,M,03
2007011207-18971,2,03,4,41,F,04
2007011207-19326,1,01,1,47,F,02
2007011207-21949,1,01,1,25,F,  
2007011207-21949,1,03,2,26,F,  
2007011207-21949,1,04,3,9,F,  
2007011207-21949,1,05,4,8,F,  
2007011207-21949,1,06,5,5,F,  
2007011207-21949,2,01,6,23,F,03
2007011207-21949,2,03,7,27,M,02
2007011207-21949,2,04,8,1,M,  
2007011207-21949,2,06,9,2,F,  
2007011207-28104,1,01,1,24,F,02
2007011207-30219,1,01,1,21,F,02
2007011207-33102,1,01,1,22,M,02
2007011207-42593,1,01,1,26,F,  
2007011207-50879,1,01,1,25,M,02
2007011207-50879,1,03,2,48,M,02
2007011207-53346,1,01,1,28,M,  
2007011207-53346,1,03,2,23,M,  
2007011207-53346,2,01,3,44,M,02
2007011207-58718,1,01,1,36,F,04
2007011207-58718,1,03,2,46,F,02
2007011207-58718,1,04,3,34,M,04
2007011207-58718,1,06,4,44,M,04
2007011207-61053,1,01,1,47,M,02
2007011207-61053,1,03,2,24,F,  
2007011207-66196,1,01,1,18,F,02
2007011207-66196,1,05,2,1,M,02
20070112A160-2007-00280A,1,01,1,53,M,  
20070112A160-2007-00280A,2,01,2,26,M,02
20070112A160200700155A,1,01,1,26,F,02
