id,vehicle_number,position,occupant_number,age,sex,condition
20060101I-2006-000395,1,01,1,80,M,  
20060101I-2006-000395,2,01,2,20,M,02
20060101I-2006-006079,1,01,1,79,M,02
20060101I-2006-006455,1,01,1,28,F,02
20060101I-2006-010099,1,01,1,22,F,02
20060101I-2006-010099,1,04,2,4,F,  
2006010206-000732,1,01,1,53,F,  
2006010206-007186,1,01,1,31,M,02
2006010206-007879,1,01,1,46,F,02
2006010206-011737,1,01,1,0,M,  
2006010206-019496,1,01,1,29,F,  
2006010206-019496,1,04,2,6,F,  
2006010206-021181,1,01,1,35,F,  
2006010206-032678,1,01,1,18,M,04
2006010206-032678,1,03,2,19,M,02
2006010206-032678,1,04,3,17,M,02
2006010206-032678,1,05,4,17,M,02
2006010206-032678,1,06,5,17,F,02
2006010206-037773,1,01,1,21,M,  
2006010206-037773,1,03,2,0,M,  
2006010206-042325,1,01,1,41,M,  
2006010206-042325,1,03,2,42,M,  
2006010206-042325,2,01,3,26,M,02
2006010206-042325,2,06,4,29,M,04
2006010206-047727,1,01,1,46,F,04
2006010206-047727,2,01,2,31,M,02
2006010206-048529,1,01,1,60,M,02
2006010206-048529,2,01,2,58,M,03
2006010206-048529,2,03,3,0,F,03
2006010206-050199,1,01,1,15,M,04
2006010206-050199,1,03,2,0,M,  
2006010206-050199,1,04,3,13,M,04
2006010206-050199,1,06,4,0,M,  
2006010206-050199,2,01,5,63,M,  
2006010206-050199,2,10,6,75,F,02
2006010206-050199,2,10,7,72,M,04
2006010206-050199,2,10,8,63,F,04
2006010206-050199,2,10,9,74,F,04
2006010206-050199,2,10,10,80,F,04
2006010206-050199,2,10,11,75,F,  
2006010206-050199,2,10,12,90,M,  
2006010206-050199,2,10,13,70,F,  
2006010206-050199,2,10,14,79,M,  
2006010206-050199,2,10,15,83,M,  
2006010206-052271,1,01,1,33,M,03
2006010206-052271,1,03,2,26,F,02
2006010206-052271,1,04,3,25,F,02
2006010206-052271,1,06,4,27,M,02
2006010206-053016,1,01,1,74,F,  
2006010206-054573,1,01,1,43,M,  
2006010206-057821,1,01,1,52,M,  
2006010206-060218,1,01,1,32,M,  
2006010206-060218,2,01,2,29,M,02
2006010206-063007,1,01,1,30,F,02
2006010206-063007,2,01,2,17,F,  
2006010206-063007,2,03,3,48,F,03
2006010206-067515,1,01,1,22,F,  
2006010206-067515,1,03,2,22,F,  
2006010206-067515,1,04,3,21,F,  
2006010206-067515,1,06,4,29,M,  
2006010206-081391,1,01,1,45,F,03
2006010206-081391,1,03,2,,M,  
2006010206-081391,1,06,3,,M,  
2006010206-081391,2,02,4,,M,02
2006010206-096604,1,01,1,27,M,  
