id,dt,lat,lon,city,county,street_1,street_2,crash_type,death_count,severity
20060101I-2006-000395,2006-01-12 16:25:00,39.43188,74.51124,ABSECON CITY,ATLANTIC,ATLANTIC COUNTY 651,RT. 30,04,0,I
20060101I-2006-006079,2006-05-29 22:46:00,39.39634,74.49303,ABSECON CITY,ATLANTIC,ATLANTIC COUNTY 646 II,,11,0,I
20060101I-2006-006455,2006-06-07 08:33:00,39.39594,74.49254,ABSECON CITY,ATLANTIC,US 30,,10,0,I
20060101I-2006-010099,2006-09-07 21:46:00,39.40753,74.49189,ABSECON CITY,ATLANTIC,US 30,RAMP E (W/B U-TURN),11,0,I
2006010206-000732,2006-01-02 18:18:00,39.35101,74.45073,ATLANTIC CITY,ATLANTIC,PACIFIC AVE,BOSTON AVENUE,13,0,I
2006010206-007186,2006-01-19 07:33:00,39.37562,74.44677,ATLANTIC CITY,ATLANTIC,US 30,GRAMMERCY AVENUE,11,0,I
2006010206-007879,2006-01-20 18:08:00,39.36395,74.43250,ATLANTIC CITY,ATLANTIC,KENTUCKY AVE,BALTIC AVENUE,11,0,I
2006010206-019496,2006-02-16 00:41:00,39.37078,74.43114,ATLANTIC CITY,ATLANTIC,US 30,,14,0,I
2006010206-021181,2006-02-19 18:28:00,39.36903,74.42792,ATLANTIC CITY,ATLANTIC,PENNSYLVANIA AVE,ADRIATIC AVENUE,13,0,I
2006010206-032678,2006-03-19 17:46:00,39.38843,74.47797,ATLANTIC CITY,ATLANTIC,US 30,,10,0,I
2006010206-037773,2006-03-30 21:38:00,39.35958,74.43437,ATLANTIC CITY,ATLANTIC,ATLANTIC AVE,OHIO AVENUE,13,0,I
2006010206-042325,2006-04-10 06:43:00,39.36105,74.43960,ATLANTIC CITY,ATLANTIC,ATLANTIC COUNTY 692,BALTIC AVENUE,03,0,I
2006010206-047727,2006-04-21 23:18:00,39.38538,74.42175,ATLANTIC CITY,ATLANTIC,NJ 87,,04,0,I
2006010206-048529,2006-04-23 22:18:00,39.35276,74.45600,ATLANTIC CITY,ATLANTIC,US 40,WINCHESTER AVENUE,02,0,I
2006010206-050199,2006-04-27 13:08:00,39.36811,74.42246,ATLANTIC CITY,ATLANTIC,DELAWARE AVE,BALTIC AVENUE,03,0,I
2006010206-052271,2006-05-03 04:35:00,39.38021,74.45815,ATLANTIC CITY,ATLANTIC,US 30,,10,0,I
2006010206-053016,2006-05-03 00:00:00,39.36683,74.43921,ATLANTIC CITY,ATLANTIC,HORACE J BRYANT JR BLVD,LINCOLN AVENUE,14,0,I
