id,vehicle_number,charge
20060101I-2006-000395,1,39:4-97                       
20060101I-2006-000395,2,39:3-10A/39:4-97              
20060101I-2006-006079,1,                              
20060101I-2006-006455,1,                              
20060101I-2006-010099,1,                              
2006010206-000732,1,                              
2006010206-007186,1,                              
2006010206-007879,1,                              
2006010206-011737,1,                              
2006010206-019496,1,                              
2006010206-021181,1,39:4-36                       
2006010206-032678,1,39:68-2                       
2006010206-037773,1,                              
2006010206-042325,1,39:4-81                       
2006010206-042325,2,                              
2006010206-047727,1,DWI                           
2006010206-047727,2,RECKLESS DRIVING              
2006010206-048529,1,                              
2006010206-048529,2,                              
2006010206-050199,1,39:3-10                       
2006010206-050199,2,                              
2006010206-052271,1,39:4-96                       
2006010206-053016,1,                              
2006010206-054573,1,                              
2006010206-057821,1,                              
2006010206-060218,1,                              
2006010206-060218,2,                              
2006010206-063007,1,                              
2006010206-063007,2,                              
2006010206-067515,1,                              
2006010206-081391,1,                              
2006010206-081391,2,39:3-109/3-40/6B2/3-762       
2006010206-096604,1,                              
2006010206-101441,1,39:4-129A                     
2006010206-114375,1,                              
2006010206-114762,1,39:4-50                       
2006010206-114762,2,39:4-50G                      
2006010206-117988,1,                              
2006010206-117988,2,                              
2006010206-119432,1,                              
2006010206-119432,2,                              
2006010206-133019,1,                              
2006010206-133931,1,                              
2006010206040356,1,                              
2006010206040356,2,39:3-40                       
2006010206045861,1,39:6B-2                       
20060102A1602006147A,1,39:4-50                       
20060102A1602006147A,2,                              
20060103I-2006-12872,1,                              
20060103I-2006-12872,2,                              
2006010420600523,1,OPEN CONTAINER CARELESS DRIVI?
2006010420600523,2,CARELESS DRIVING FAILURE TO ? 
2006010420600523,3,                              
2006010420601693,1,RIGHT OF WAY BEFORE ENTERING  
2006010420601693,2,CARELESS DRIVING              
2006010420606365,1,                              
20060105A090-2006-00209A,1,                              
20060105A090-2006-00209A,2,39:4-127                      
20060105A090-2006-00410A,1,                              
20060105A090-2006-00410A,2,                              
20060105A090200600129A,1,39:4-96                       
20060105A090200600335A,1,39:4-97                       
20060105A090200600335A,2,                              
20060105A0902006314A,1,                              
20060105A0902006314A,2,39:4-97                       
2006010706-4677,1,                              
2006010706-4677,2,39:4-144                      
200601072006-0029,1,                              
200601072006-0029,2,39:4-44 39:3-47.A             
200601072006-0043,1,39:8-1                        
200601072006-0043,2,39:4-144                      
200601072006-00511,1,39:3-76.2A                    
200601072006-00511,2,39:4-144                      
200601072006-1511,1,                              
200601072006-1511,2,39:4-88.B                     
200601072006-1551,1,                              
200601072006-1551,2,39:4-144 39:6-13-2-39:3-72    
200601072006-1682,1,                              
200601072006-1682,2,                              
200601072006-1682,3,39:4-97                       
200601072006-3456,1,                              
200601072006-3456,2,                              
200601072006-3456,3,39:4-97 39:3-40               
200601072006-3612,1,                              
200601072006-3827,1,                              
200601072006-3827,2,39:4-97                       
200601072006-4435,1,                              
200601072006-4435,2,                              
200601072006-4435,3,39:4-97                       
200601072006-5239,1,                              
200601072006-5239,2,39:4-88A                      
200601072006-6425,1,                              
200601072006-6425,2,39:4-97/39:3-40               
200601072006-6481,1,                              
200601072006-6481,2,39:4-144                      
200601072006-7964,1,                              
200601072006-7964,2,39:4-144                      
200601072006-7967,1,                              
200601072006-7967,2,39:4-144                      
200601072006-8135,1,                              
200601072006-8135,2,39:4-144-39:3-47              
200601072006-8135,3,                              
200601072006-8144,1,                              
200601072006-8144,2,39:4-144                      
200601072006-8413,1,                              
2006010806-007000,1,                              
2006010806-007000,2,                              
2006010806-008692,1,                              
2006010806-008692,2,                              
2006010806-028077,1,39:4-50.14                    
2006010806-040394,1,39:4-50                       
2006010806-050443,1,                              
2006010806-050443,2,                              
2006010806-050443,3,39:4-97                       
2006010806-051852,1,                              
2006010806-062792,1,                              
2006010806-062792,2,39:4-144                      
2006010806-13341,1,                              
2006010806-13341,2,39:4-88                       
2006010806-17533,1,39:4-88                       
2006010806-43454,1,39:4-50                       
20060108E030-2006-01170A,1,39:4-97                       
20060109A090-06-23A,1,39:4-97                       
2006011106-14520,1,39:3-76.2F                    
2006011106-1655,1,39:4-97                       
2006011106-16997,1,39:4-97 CARELESS DRIVING      
2006011106-18173,1,39:4-97                       
2006011106-18173,2,                              
2006011106-18526,1,                              
2006011106-18708,1,CARELESS DRIVING              
2006011106-21880,1,SEE CONTINUATION PAGE         
2006011106-25800,1,39:4-50                       
2006011106-25800,2,                              
2006011106-25800,3,                              
2006011106-35914,1,                              
200601112006-00027181,1,                              
200601112006-00027682,1,                              
200601112006-00027682,2,CARELESS DRIVING              
200601112006-16035,1,39:4-50 39:4-96               
200601112006-2192,1,                              
200601112006-22852,1,39:4-97                       
200601112006-22852,2,                              
200601112006-30551,1,39:4-50                       
200601112006-32103,1,39:3-10 4-66B                 
200601112006-32103,2,39:3-4                        
200601112006-35973,1,                              
200601112006-35973,2,39:4-97                       
200601112006-9978,1,39:4-50 4-96                  
200601112006-9978,2,                              
20060111E030-2006-00671A,1,39:4-97                       
2006011206-12761,1,39:4-97 CARELESS DRIVING      
2006011206-12761,2,                              
2006011206-2418,1,39:4-97                       
2006011206-38971,1,39:4-97                       
2006011206-38971,2,39:4-50                       
2006011206-44734,1,39:4-97 39:6B-2 39:4-88B      
2006011206-55560,1,                              
2006011206-973,1,39:4-34                       
20060112A160200600554A,1,39:4-96                       
2006011320600172,1,39:4-97                       
2006011320603591,1,39:3-97                       
2006011320603591,2,39:3-10                       
2006011320605620,1,                              
2006011320606131,1,39:4-50 39:4-97 39:4-85.1     
2006011320606131,2,                              
2006011320606161,1,39:4-144                      
2006011320606161,2,                              
2006011320607250,1,                              
2006011320607250,2,                              
2006011320617870,1,39:4-85                       
2006011320617870,2,                              
2006011320617870,3,                              
2006011320618739,1,39:4-97                       
2006011320618739,2,39:6B-2                       
2006011320621497,1,39:4-97                       
2006011320621497,2,                              
2006011320623769,1,                              
2006011320623769,2,                              
