id,vehicle_number,year,make,model,hit_run
2014010214-005817,1,2009,NISSAN,MAX, 
2014010214-005817,2,1995,LINCOLN,TOW, 
2014010214-083519,1,1998,GMC,JIMMY, 
2014010214-086659,1,2014,MAZDA,CX5, 
2014010214-099046,1,2001,HYUNDAI,ACC, 
201401072014006264,1,1987,CHEVROLET,FLT, 
201401072014006264,2,1986,CHEVROLET,CAP, 
201401072014008621,1,2013,HARLEY DAVIDSON,FLH, 
201401072014008621,2,2005,CHEVROLET,MON, 
2014010814-24813,1,2004,YAMAHA,660 RAPTOR, 
201401082014-00037745,1,2010,DODGE,CHALLENGER, 
201401082014-00037745,2,2005,TRIUMPH,BONNEVILLE, 
201401082014-00037745,3,2009,MERCEDES BENZ,S550, 
201401082014-00037745,4,2012,NISSAN,SENTRA, 
201401082014-00041347,1,2005,YAMAHA,R6, 
201401082014-00050862,1,2011,CHEVROLET,SILVERADO, 
201401082014-00050862,2,1990,YAMAHA,FZR1000, 
201401082014-35415,1,2005,AUDI,A4, 
20140108A160-2014-00356A,1,2010,HONDA,ACC, 
20140108A160201400356A,1,2010,HONDA,ACC, 
20140108I-2014-00477,1,2003,FORD,CROWN, 
20140108I-2014-00477,2,2008,LAND ROVER,LR2, 
201401112014-00007823,1,2005,JEEP,GRAND CHEROKEE, 
201401112014-00017970,1,2003,SATURN,ION, 
201401112014-00017970,2,2005,HONDA,ACCORD, 
201401112014-00018015,1,1998,TOYOTA,RAV4, 
201401112014-00018015,2,2010,HONDA,INSIGHT, 
201401112014-00020819,1,2009,BMW,328I, 
201401112014-00020819,2,2014,,, 
201401112014-00021358,1,2008,NISSAN,VERSA, 
201401112014-00021358,2,    ,,,Y
201401112014-00026789,1,2004,FORD,EXPLORER, 
201401122014003372,1,2012,NISSAN,MAX, 
201401122014010045,1,2008,JEEP,PAT, 
201401122014010045,2,2002,DODGE,RAM, 
201401122014013148,1,2008,HYUNDAI,TUC, 
201401122014016310,1,2012,HONDA,CIV, 
201401122014028537,1,2011,KIA,, 
201401122014028537,2,2013,CHEVROLET,CRU, 
201401122014039227,1,2007,MAZDA,RX, 
201401122014044558,1,2009,BUICK,LAC, 
20140113I-2014-06374,1,    ,,,Y
20140113I-2014-09557,1,2006,HONDA,TK, 
20140113I-2014-09557,2,2000,FORD,PKUP, 
20140113I-2014-10122,1,2002,CHRYSLER,VOY, 
20140113I-2014-10122,2,2011,CHEVROLET,PKUP, 
20140113I-2014-15297,1,2014,PETERBILT,TRT, 
20140113I-2014-15297,2,2002,JEEP,GRC, 
20140113I-2014-17729,1,2009,NISSAN,MAXIMA, 
20140113I-2014-19934,1,2007,JEEP,LIB, 
20140113I-2014-19934,2,    ,CHEVROLET,TRA, 
20140114I-2014-05586,1,2010,FORD,FUS, 
20140114I-2014-05586,2,2002,TOYOTA,HIG, 
20140114I-2014-07819,1,2000,JEEP,CHE, 
20140114I-2014-07819,2,2002,DODGE,CAR, 
20140117I-2014-010789,1,2013,CHEVROLET,SPRK, 
20140117I-2014-011372,1,2003,CHEVROLET,S10, 
20140121I-2014-002331,1,2001,CHEVROLET,BLZ, 
20140123A090-2014-00048A,1,1999,CHEVROLET,TAH, 
20140123A090-2014-00048A,2,2005,CHEVROLET,EQU, 
20140123A090-2014-00143A,1,    ,,,Y
2014020314-24296,1,    ,MERCEDES BENZ,,Y
2014020414-09824,1,2001,FORD,FOC, 
2014020514-04550,1,1998,GMC,SIERRA, 
2014020514-04550,2,1998,GMC,SAV, 
2014020514-10449,1,2003,NISSAN,PAT, 
20140206I-2014-005525,1,2010,TOYOTA,4D, 
20140206I-2014-005525,2,2003,LINCOLN,4D, 
20140206I-2014-005558,1,2010,NISSAN,SENTRA, 
20140206I-2014-011838,1,2001,MERCEDES BENZ,C240,Y
20140206I-2014-011838,2,2014,HONDA,ACCORD, 
20140206I-2014-011838,3,2004,JEEP,CHE, 
20140206I-2014-022382,1,2003,BUICK,REN, 
20140206I-2014-022382,2,2005,CHEVROLET,M/L, 
2014021014-20612,1,2003,CHEVROLET,WAGON, 
20140211B060-2014-00002A,1,2010,TOYOTA,RAV4, 
20140211B060-2014-00002A,2,2003,NISSAN,ALT, 
20140211I-2014-049261,1,2011,FREIGHTLI,CASCADIA, 
20140211I-2014-049261,2,2004,MAZDA,TRIBUTE, 
20140212B250-2014-00013A,1,2009,FORD,CROWN VIC, 
20140212ER-14-05960,1,1998,VOLVO,TRACTOR, 
20140212ER-14-07013,1,2010,SUBARU,4 DOOR, 
20140212ER-14-07013,2,2008,VOLKSWAGEN,4 DOOR, 
20140212ER-14-07013,3,2013,HONDA,4 DOOR, 
20140212ER-14-07958,1,2008,SATURN,UK, 
201402132014-006333,1,2006,TOYOTA,CAM, 
201402132014-006333,2,2013,TOYOTA,PRI, 
201402132014-006835,1,1986,CHEVROLET,COR, 
201402132014-006835,2,2013,GMC,ACA, 
201402132014-006835,3,2003,HYUNDAI,ELA, 
2014021414-06768,1,1998,BUICK,LES, 
20140215C-2014-002334,1,2014,TOYOTA,CAMRY,Y
20140215C-2014-002334,2,2004,KIA,SOR, 
20140215C-2014-002334,3,2014,TOY,4RU, 
20140215C-2014-002334,4,2003,CHEVROLET,MALIBU, 
20140215I-2014-002161,1,2003,HONDA,ACC, 
20140215I-2014-007036,1,2008,ACURA,TL, 
20140215I-2014-007036,2,2004,MITSUBISHI,LAN, 
20140215I-2014-025967,1,2009,TOYOTA,CAMRY, 
20140215I-2014-025967,2,2013,HYUNDAI,SONOTA, 
2014021714-19681,1,2004,SATURN,300, 
2014021814-1080-AC,1,2013,FORD,EDGE, 
2014021814-75-AC,1,2011,FORD,SEDAN, 
2014021814-75-AC,2,2001,TOYOTA,CAMRY, 
2014021814-75-AC,3,2002,SATURN,SEDAN, 
2014021814-75-AC,4,2006,NISSAN,MAXIMA, 
20140219I-2014-037355,1,2014,LEXUS,ES 350, 
20140219I-2014-037355,2,2007,HONDA,FIT, 
20140219I-2014-037355,3,2002,FORD,, 
20140219I-2014-054513,1,2009,SUBARU,LEGACY, 
2014022014-9077,1,2005,HONDA,ACC, 
20140220B060-2014-01549A,1,2010,TOYOTA,COROLLA, 
20140220B060-2014-01549A,2,2002,PETERBILT,TRK, 
20140220B060-2014-01549A,3,2011,HYUNDAI,TUC, 
20140221I-2014-002762,1,1988,FORD,CRV, 
