id,vehicle_number,position,occupant_number,age,sex,condition
2014010214-005817,1,01,1,48,M,02
2014010214-005817,2,01,2,53,M,  
2014010214-083519,1,01,1,19,F,  
2014010214-083519,1,03,2,17,F,  
2014010214-086659,1,00,1,21,M,  
2014010214-086659,1,01,2,21,F,  
2014010214-086659,1,04,3,21,M,  
2014010214-099046,1,01,1,35,M,  
2014010214-099046,1,03,2,30,M,  
201401072014006264,1,01,1,67,M,02
201401072014008621,1,01,1,54,M,02
201401072014008621,2,01,2,62,M,  
201401072014008621,2,03,3,63,F,03
2014010814-24813,1,01,1,34,M,02
201401082014-00037745,1,01,1,49,M,  
201401082014-00037745,2,01,2,59,M,02
201401082014-00037745,3,01,3,37,M,  
201401082014-00037745,4,01,4,56,F,  
201401082014-00037745,4,03,5,15,M,  
201401082014-00037745,4,04,6,13,F,  
201401082014-00041347,1,11,1,30,M,02
201401082014-00050862,1,01,1,63,M,  
201401082014-00050862,2,01,2,22,M,02
201401082014-35415,1,01,1,38,M,  
20140108A160-2014-00356A,1,01,1,25,F,02
20140108A160201400356A,1,01,1,25,F,02
20140108I-2014-00477,1,01,1,53,F,02
20140108I-2014-00477,2,01,2,51,F,02
201401112014-00007823,1,01,1,37,M,  
201401112014-00007823,1,03,2,, ,02
201401112014-00017970,1,01,1,47,F,04
201401112014-00017970,1,03,2,10,F,04
201401112014-00017970,2,01,3,51,M,  
201401112014-00017970,2,03,4,50,F,02
201401112014-00018015,1,01,1,24,M,02
201401112014-00018015,2,01,2,26,M,04
201401112014-00018015,2,03,3,26,M,04
201401112014-00020819,1,01,1,36,M,  
201401112014-00020819,1,03,2,38,F,  
201401112014-00020819,1,04,3,5,F,02
201401112014-00020819,1,06,4,9,F,  
201401112014-00020819,2,01,5,57,M,03
201401112014-00021358,1,01,1,60,F,02
201401112014-00026789,1,01,1,17,M,04
201401112014-00026789,1,03,2,14,M,02
201401122014003372,1,01,1,35,M,02
201401122014003372,1,03,2,29,F,03
201401122014010045,1,01,1,46,M,02
201401122014010045,2,01,2,32,M,04
201401122014013148,1,01,1,70,M,  
201401122014016310,1,01,1,20,F,  
201401122014016310,1,03,2,20,F,02
201401122014028537,1,01,1,69,M,03
201401122014028537,1,03,2,44,M,03
201401122014028537,1,04,3,66,F,03
201401122014028537,1,06,4,63,F,02
201401122014028537,2,01,5,25,F,03
201401122014028537,2,06,6,2,M,  
201401122014039227,1,01,1,37,M,02
201401122014039227,1,03,2,12,M,02
201401122014044558,1,01,1,81,F,  
20140113I-2014-09557,1,01,1,57,M,02
20140113I-2014-09557,2,01,2,30,M,04
20140113I-2014-10122,1,01,1,59,M,02
20140113I-2014-10122,2,01,2,18,M,04
20140113I-2014-10122,2,03,3,17,M,  
20140113I-2014-15297,1,01,1,56,M,  
20140113I-2014-15297,2,01,2,45,M,02
20140113I-2014-17729,1,01,1,56,M,02
20140113I-2014-19934,1,01,1,22,F,02
20140113I-2014-19934,1,03,2,23,M,  
20140113I-2014-19934,2,01,3,47,F,04
20140114I-2014-05586,1,01,1,18,M,03
20140114I-2014-05586,2,01,2,47,M,02
20140114I-2014-07819,1,01,1,81,M,02
20140114I-2014-07819,2,01,2,67,F,03
20140114I-2014-07819,2,03,3,67,F,03
20140117I-2014-010789,1,01,1,26,M,02
20140117I-2014-011372,1,01,1,18,M,02
20140121I-2014-002331,1,01,1,69,F,  
20140121I-2014-002331,1,03,2,69,M,  
20140123A090-2014-00048A,1,01,1,18,F,04
20140123A090-2014-00048A,1,03,2,16,M,04
20140123A090-2014-00048A,1,06,3,16,F,04
20140123A090-2014-00048A,2,01,4,21,M,04
20140123A090-2014-00048A,2,03,5,21,M,03
20140123A090-2014-00048A,2,04,6,21,M,04
20140123A090-2014-00048A,2,06,7,17,M,02
2014020314-24296,1,01,1,,M,  
2014020414-09824,1,01,1,30,F,02
2014020514-04550,1,01,1,46,M,  
2014020514-04550,1,03,2,41,M,03
2014020514-04550,2,01,3,50,M,02
2014020514-10449,1,01,1,25,F,02
20140206I-2014-005525,1,01,1,39,M,02
20140206I-2014-005525,1,03,2,4M,F,  
20140206I-2014-005525,1,04,3,8M,F,  
20140206I-2014-005525,2,01,4,8M,M,  
20140206I-2014-005525,2,06,5,11M,M,  
20140206I-2014-005558,1,01,1,67,F,  
20140206I-2014-011838,1,01,1,23,M,02
20140206I-2014-022382,1,01,1,60,M,02
2014021014-20612,1,01,1,62,F,  
20140211B060-2014-00002A,1,01,1,65,M,04
20140211B060-2014-00002A,2,01,2,25,M,02
20140211B060-2014-00002A,2,03,3,21,F,04
20140211I-2014-049261,1,01,1,33,M,00
20140211I-2014-049261,2,01,2,45,M,02
20140212B250-2014-00013A,1,01,1,28,M,02
20140212B250-2014-00013A,1,03,2,26,M,02
20140212ER-14-05960,1,01,1,57,M,  
20140212ER-14-07013,1,01,1,21,M,  
20140212ER-14-07013,1,03,2,62,M,  
20140212ER-14-07013,1,04,3,19,M,  
20140212ER-14-07013,1,06,4,60,F,  
20140212ER-14-07013,2,01,5,26,M,  
20140212ER-14-07013,3,01,6,42,M,02
20140212ER-14-07958,1,01,1,31,M,  
20140212ER-14-07958,1,03,2,25,F,02
