id,dt,lat,lon,city,county,street_1,street_2,crash_type,death_count,severity
2014010214-005817,2014-01-17 17:37:00,39.37045,74.43846,ATLANTIC CITY,ATLANTIC,DR MARTIN LUTHER KING JR BLVD,MARMORA AVENUE,04,0,I
2014010214-083519,2014-07-24 04:10:00,39.35692,74.44096,ATLANTIC CITY,ATLANTIC,ATLANTIC AVE,GEORGIA AVENUE,13,0,I
2014010214-086659,2014-07-31 13:03:00,39.37110,74.43886,ATLANTIC CITY,ATLANTIC,DR MARTIN LUTHER KING JR BLVD,MARMORA AVENUE,13,0,I
2014010214-099046,2014-08-29 15:34:00,39.37068,74.43222,ATLANTIC CITY,ATLANTIC,SOUTH CAROLINA AVE,MEGELLAN AVE,13,0,I
201401082014-00037745,2014-06-15 10:16:00,39.36637,74.62097,EGG HARBOR TWP,ATLANTIC,ROUTE 559 ALTERNATE,LEAP ST,04,0,I
201401082014-00041347,2014-07-02 17:10:00,39.40954,74.56745,EGG HARBOR TWP,ATLANTIC,US 40,UIBEL AVE,11,0,I
201401082014-00050862,2014-08-14 15:43:00,39.38915,74.56587,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 651,ROUTE 563 / TILTON AVE / TILTON RD,01,0,I
201401082014-35415,2014-06-04 14:20:00,39.39046,74.55818,EGG HARBOR TWP,ATLANTIC,ROUTE 563,HINGSTON AVE,14,0,I
20140108A160-2014-00356A,2014-06-28 23:53:00,39.42350,74.57390,EGG HARBOR TWP,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,11,0,I
20140108A160201400356A,2014-06-28 23:53:00,39.42350,74.57390,EGG HARBOR TWP,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,11,0,I
201401112014-00017970,2014-06-28 23:41:00,39.49985,74.60604,GALLOWAY TWP,ATLANTIC,US 30,ROUTE 563 / NEW JERSEY AVE / TILTON,07,0,I
201401112014-00018015,2014-06-29 03:59:00,39.48732,74.58807,GALLOWAY TWP,ATLANTIC,US 30,MANNHEIM AVE,11,0,I
201401112014-00020819,2014-07-27 14:28:00,39.47449,74.52676,GALLOWAY TWP,ATLANTIC,GARDEN STATE PARKWAY,ROUTE 561 / JIMMY LEEDS RD,04,0,I
201401112014-00021358,2014-08-02 12:53:00,39.47309,74.51338,GALLOWAY TWP,ATLANTIC,WRANGLEBORO RD,GREAT CREEK RD,01,0,I
201401112014-00026789,2014-09-22 18:00:00,39.46280,74.55100,GALLOWAY TWP,ATLANTIC,US 30,QUINCE AVE,11,0,I
201401122014010045,2014-03-09 21:50:00,39.45011,74.71673,HAMILTON TWP,ATLANTIC,US 40,OLD EGG HARBOR RD,04,0,I
201401122014013148,2014-03-27 08:50:00,39.45195,74.76951,HAMILTON TWP,ATLANTIC,US 40,HOOVER DR,13,0,I
201401122014016310,2014-04-13 06:11:00,39.48091,74.70596,HAMILTON TWP,ATLANTIC,NJ 50,APPLE ST,11,0,I
201401122014028537,2014-06-27 20:20:00,39.44459,74.84079,HAMILTON TWP,ATLANTIC,ROUTE 552,ESTELLE AVE,03,0,I
