id,vehicle_number,charge
2014010214-005817,1,                              
2014010214-005817,2,                              
2014010214-083519,1,                              
2014010214-086659,1,                              
2014010214-099046,1,                              
201401072014006264,1,                              
201401072014006264,2,                              
201401072014008621,1,                              
201401072014008621,2,                              
2014010814-24813,1,                              
201401082014-00037745,1,                              
201401082014-00037745,2,                              
201401082014-00037745,3,                              
201401082014-00037745,4,39:4-97                       
201401082014-00041347,1,DRIVING WHILE SUSPENDED       
201401082014-00050862,1,                              
201401082014-00050862,2,                              
201401082014-35415,1,                              
20140108A160-2014-00356A,1,39:4-50                       
20140108A160201400356A,1,39 4 50                       
20140108I-2014-00477,1,                              
20140108I-2014-00477,2,                              
201401112014-00007823,1,39:4-97                       
201401112014-00017970,1,                              
201401112014-00017970,2,39:4-90                       
201401112014-00018015,1,39:4-50                       
201401112014-00018015,2,39:4-50                       
201401112014-00020819,1,39:4-97                       
201401112014-00020819,2,                              
201401112014-00021358,1,                              
201401112014-00021358,2,                              
201401112014-00026789,1,                              
201401122014003372,1,39:4-97                       
201401122014010045,1,                              
201401122014010045,2,                              
201401122014013148,1,39:4-97                       
201401122014016310,1,39:4-50                       
201401122014028537,1,                              
201401122014028537,2,39:4-97                       
201401122014039227,1,                              
201401122014044558,1,                              
20140113I-2014-06374,1,                              
20140113I-2014-09557,1,FAILURE TO YIELD              
20140113I-2014-09557,2,                              
20140113I-2014-10122,1,39:4-97                       
20140113I-2014-10122,2,                              
20140113I-2014-15297,1,                              
20140113I-2014-15297,2,39:4-97                       
20140113I-2014-17729,1,39:4-50                       
20140113I-2014-19934,1,39:4-96                       
20140113I-2014-19934,2,                              
20140114I-2014-05586,1,39:4-88B                      
20140114I-2014-05586,2,                              
20140114I-2014-07819,1,39:4-144                      
20140114I-2014-07819,2,                              
20140117I-2014-010789,1,                              
20140117I-2014-011372,1,39:4-97 CARELESS DRIVING      
20140121I-2014-002331,1,39:4-36                       
20140123A090-2014-00048A,1,39:4-144                      
20140123A090-2014-00048A,2,                              
20140123A090-2014-00143A,1,                              
2014020314-24296,1,                              
2014020414-09824,1,39:4-50                       
2014020514-04550,1,39:4-50                       
2014020514-04550,2,                              
2014020514-10449,1,                              
20140206I-2014-005525,1,39:4-50                       
20140206I-2014-005525,2,                              
20140206I-2014-005558,1,39:4-36 FAILURE TO YIELD TO P?
20140206I-2014-011838,1,                              
20140206I-2014-011838,2,                              
20140206I-2014-011838,3,                              
20140206I-2014-022382,1,                              
20140206I-2014-022382,2,                              
2014021014-20612,1,                              
20140211B060-2014-00002A,1,                              
20140211B060-2014-00002A,2,39 4 50                       
20140211I-2014-049261,1,                              
20140211I-2014-049261,2,                              
20140212B250-2014-00013A,1,                              
20140212ER-14-05960,1,                              
20140212ER-14-07013,1,                              
20140212ER-14-07013,2,                              
20140212ER-14-07013,3,                              
20140212ER-14-07958,1,39:4-50 DWI                   
201402132014-006333,1,                              
201402132014-006333,2,                              
201402132014-006835,1,39:4-50                       
201402132014-006835,2,                              
201402132014-006835,3,                              
2014021414-06768,1,                              
20140215C-2014-002334,1,39:4-50 OPERATING UNDER INFLU?
20140215C-2014-002334,2,                              
20140215C-2014-002334,3,                              
20140215C-2014-002334,4,                              
20140215I-2014-002161,1,39:4-50 OPERATING UNDER INFLU 
20140215I-2014-007036,1,                              
20140215I-2014-007036,2,                              
20140215I-2014-025967,1,                              
20140215I-2014-025967,2,                              
2014021714-19681,1,                              
2014021814-1080-AC,1,                              
2014021814-75-AC,1,                              
2014021814-75-AC,2,                              
2014021814-75-AC,3,                              
2014021814-75-AC,4,                              
20140219I-2014-037355,1,                              
20140219I-2014-037355,2,                              
20140219I-2014-037355,3,DISREGARD OF TRAFFIC CONTROLS 
20140219I-2014-054513,1,CARELESS DRIVING              
2014022014-9077,1,                              
20140220B060-2014-01549A,1,                              
20140220B060-2014-01549A,2,                              
20140220B060-2014-01549A,3,39 4 50                       
20140221I-2014-002762,1,                              
20140221I-2014-002762,2,                              
20140221I-2014-030166,1,39:4-97 CARELESS DRIVING      
2014022314-13015,1,                              
2014022314-13015,2,                              
2014022314-13015,3,                              
2014022314-14722,1,39:6B-2                       
2014022314-22028,1,                              
2014022314-22028,2,                              
2014022314-22028,3,                              
2014022314-24765,1,UNINSURED VEHICLE 39:6B-2     
2014022314-24765,2,                              
2014022314-36325,1,                              
2014022314-67287,1,                              
2014022314-89931,1,                              
20140223BC-14-048860,1,39:4-88B FOR UNSAFE LANE CHAN?
20140223BC-14-048860,2,                              
20140223BC-14-050065,1,                              
20140223BC-14-050065,2,                              
20140225I-2014-11163,1,                              
20140225I-2014-15207,1,                              
2014022929-14-003537,1,                              
2014022929-14-003537,2,                              
201402312014-000667,1,                              
201402312014-007516,1,                              
20140231BC-14-013969,1,                              
20140231BC-14-017285,1,                              
20140231BC-14-017285,2,39:4-50                       
2014023314-00465,1,                              
2014023314-03595,1,                              
20140233B060-2014-01058A,1,                              
20140233B060-2014-01058A,2,                              
201402342014-009470,1,                              
201402342014-011024,1,                              
20140235MP-007820-14,1,                              
2014023614-244,1,                              
20140237M-14-68,1,LEAVING THE SCENE OF AN ACCID?
2014023914-7685,1,39:4-129B                     
2014023914-7685,2,                              
2014024214-05553,1,                              
2014024414-05963,1,                              
2014024414-05963,2,                              
20140245I-2014-006693,1,                              
20140245I-2014-008554,1,39:4-97 CARELESS DRIVING      
20140245I-2014-013707,1,                              
20140245I-2014-013707,2,                              
20140246I-2014-001191,1,                              
20140246I-2014-003750,1,                              
20140246I-2014-051453,1,                              
2014024814-08972,1,                              
2014024814-08972,2,                              
2014024814-21152A,1,PENDING                       
20140249I-2014-002433,1,39:3-74 OBSTRUCTED VIEW       
201402502014-07627,1,UNINSURED                     
201402502014-07627,2,                              
201402502014-10006,1,39:4-50                       
201402502014-10006,2,                              
201402502014-16097,1,39:4-50                       
20140251I-2014-005836,1,39:4-144 FAILURE TO STOP OR Y?
20140251I-2014-005836,2,                              
20140251I-2014-018073,1,39:4-36                       
20140251I-2014-018411,1,39:4-50 DRIVINGSTON WHILE UND?
20140251I-2014-020228,1,39:4-96 RECKLESS DRIVING      
2014025214-4718,1,39:3-40                       
201402532014-001542,1,                              
201402542014-011717,1,                              
201402542014-011717,2,                              
201402542014-011717,3,                              
2014025614-03367,1,                              
2014025614-08526,1,                              
2014025614-16929,1,39:4-97                       
2014025614-16929,2,                              
2014025614-20002,1,                              
2014025714-03897,1,SEE BOX 135                   
2014025714-03897,2,SEE BOX 135                   
2014025714-04029,1,                              
2014025714-04029,2,                              
2014025714-07025,1,                              
2014025714-07025,2,39:4-49.1                     
2014026014-022338,1,                              
2014026014-022338,2,39:4-90                       
20140260PD-14-028428,1,39:3-40                       
20140260PD-14-039521,1,                              
