id,vehicle_number,charge
2016010216-032984,1,                              
2016010216-034421,1,                              
2016010216-041614,1,                              
2016010216-042336,1,39:4-50                       
201601042016025024,1,                              
201601042016025024,2,                              
20160105A090-2016-00113A,1,39 4 50                       
20160105A090-2016-00113A,2,                              
20160105A090-2016-00327A,1,                              
20160105A090-2016-00327A,2,                              
201601082016-00002672,1,39:4-97                       
201601082016-00008604,1,                              
201601082016-00015144,1,39:3-10                       
201601082016-00015144,2,                              
201601082016-00018036,1,                              
201601082016-00022925,1,39:4-88B                      
201601082016-00026043,1,39:4-97                       
201601082016-00034566,1,                              
201601082016-00040882,1,39:4-50                       
201601082016-00044265,1,39:4-66                       
201601082016-00044265,2,                              
20160108A160-2016-00831A,1,                              
20160108E030-2016-00429A,1,39 4 50                       
20160108E030-2016-00503A,1,39 4 50                       
20160110A090-2016-00110A,1,                              
201601112016-00021786,1,39:4-88B                      
201601112016-00021786,2,                              
201601112016-00021786,3,                              
201601112016-00021925,1,39:3-40                       
201601112016-00021925,2,                              
201601112016-00023401,1,                              
201601112016-00030460,1,39:4-50                       
201601122016009496,1,                              
201601122016009496,2,39:3-40                       
201601122016013454,1,                              
201601122016013484,1,                              
201601122016029813,1,                              
201601122016032643,1,39:4-97                       
201601122016032643,2,                              
201601122016032643,3,                              
201601122016041128,1,                              
201601122016049471,1,                              
20160113I-2016-16086,1,                              
20160113I-2016-18003,1,39:4-50                       
20160113I-2016-18362,1,39:4-144                      
20160113I-2016-18362,2,39:3-40                       
201601182016/10044,1,                              
201601182016/10735,1,                              
201601182016/10735,2,UNLICENSED MC ENDORSEMENT REQ?
20160119I-2016-000692,1,                              
20160119I-2016-013680,1,39:4-96 RECKLESS DRIVING      
20160119I-2016-020416,1,                              
20160119I-2016-033931,1,                              
20160122I-2016-02474,1,39:4-36                       
20160122I-2016-03636,1,                              
20160122I-2016-14471,1,                              
20160123A090-2016-00335A,1,39 3 40                       
201602042016-005671,1,39:4-36                       
2016020516-10865,1,39:4-50                       
20160206I-2016-013741,1,39:4-50 DRIVING WHILE UNDER T?
20160206I-2016-021685,1,39:4-50 DRIVING WHILE UNDER T?
20160206I-2016-021685,2,                              
20160207I-2016-012843,1,39:4-50 OPERATING UNDER THE I?
2016021016-02499,1,DRIVING WHILE INTOXICATED     
20160211I-2016-016665,1,39:4-98 SPEEDING              
20160211I-2016-016665,2,                              
20160212ER-16-01352,1,                              
20160212ER-16-01352,2,                              
20160212ER-16-08850,1,39:4-36(A)(1)                 
20160212ER-16-09349,1,39:4-81 4-97.3 4-97           
20160212ER-16-09349,2,                              
201602132016-006875,1,                              
20160215D030-2016-00309A,1,                              
20160215I-2016-000765,1,39:4-97 CARELESS DRIVING: LIK?
20160215I-2016-004572,1,                              
20160215I-2016-004572,2,                              
20160215I-2016-032007,1,                              
20160215I-2016-037400,1,39:4-123.C RIGHT & LEFT TURNS?
20160215I-2016-037670,1,                              
20160215I-2016-037670,2,                              
20160215I-2016-037670,3,                              
2016021816-13577-A-AC,1,2C:12.1                       
2016021816-13577-A-AC,2,                              
2016021816-13577-A-AC,3,                              
20160219I-2016-005242,1,39:3-4 UNREGISTERED           
20160219I-2016-042716,1,39:3-10                       
2016022016-13130,1,39:4-97 CARELESS DRIVING      
2016022016-17404,1,39:4-96  39:4-50  39:4-50GI   
20160220B060-2016-01805A,1,                              
20160220B060-2016-01805A,2,39 4 50                       
20160221I-2016-036408,1,                              
20160223B060-2016-01432A,1,39 4 50                       
20160223B060-2016-01814A,1,                              
20160225I-2016-10831,1,39:4-97.3 USE OF CELL WHILE D?
2016022929-16-009481,1,                              
201602312016-020182,1,                              
201602312016-020182,2,                              
201602312016-020182,3,                              
201602332016-16250,1,                              
201602332016-16250,2,                              
20160233B060-2016-04310A,1,                              
20160233B060-2016-04310A,2,                              
20160234I-2016-002894,1,39:4-96 RECKLESS DRIVING      
20160234I-2016-002894,2,                              
20160234I-2016-003023,1,                              
2016023616-05279,1,39:4-50                       
2016023616-11018,1,                              
2016023616-11994,1,                              
201602382016-004543,1,                              
201602382016-004543,2,                              
2016024216-01894,1,                              
2016024216-03251,1,39:4-49.1                     
2016024216-03251,2,                              
20160242B060-2016-03966A,1,                              
20160242B060-2016-03966A,2,                              
2016024444-16-07762,1,                              
2016024444-16-07762,2,                              
20160245I-2016-007335,1,                              
20160245I-2016-007335,2,                              
20160245I-2016-007335,3,                              
20160245I-2016-007335,4,                              
20160245T-16-08,1,                              
2016024816-03350,1,                              
2016024816-03350,2,                              
2016024816-05636,1,39:4-96                       
2016024816-05636,2,                              
2016024816-12071,1,                              
2016024816-12071,2,                              
2016024816-14555A,1,PENDING                       
201602502016-12070,1,39:4-97                       
20160251I-2016-008211,1,39:4-50 DRIVING WHILE UNDER T?
2016025616-13464,1,39:4-98                       
2016025616-20487,1,                              
2016025616-20487,2,                              
2016025616-23347,1,                              
2016025716-05417,1,                              
2016025816-03161,1,PENDING                       
20160259I-2016-002163,1,                              
20160259I-2016-002163,2,                              
20160259I-2016-002163,3,                              
20160260B060-2016-04180A,1,                              
20160260B060-2016-04180A,2,                              
20160260PD-16-005007,1,39:4-97                       
20160260PD-16-006454,1,39:4-50                       
20160260PD-16-008691,1,39:4-50                       
20160260PD-16-008691,2,39:4-97                       
20160260PD-16-042379,1,39:4-50                       
20160265WG-16-06981,1,39:4-97A  39:4-90 39:3-29     
20160265WG-16-06981,2,                              
20160265WG-16-09017,1,                              
20160265WG-16-09017,2,                              
20160265WG-16-09017,3,                              
201602662016-001500/57-16,1,                              
201602662016-001600/57-16,1,                              
20160266I-2016-001500/57-16,1,                              
2016026816-081,1,                              
2016026816-081,2,                              
201602703652-16,1,                              
201602703652-16,2,                              
201603022016-2042,1,                              
201603042016-1606,1,                              
20160304D020-2016-00125A,1,                              
201603052016-10933,1,39:4-50                       
