id,dt,lat,lon,city,county,street_1,street_2,crash_type,death_count,severity
20180105A090-2018-00073A,2018-03-17 11:53:00,39.481130,74.920740,BUENA VISTA TWP,ATLANTIC,ROUTE 540,ROUTE 557 / LANDIS AVE / TUCKAHOE R,11,0,I
20180105A090-2018-00240A,2018-08-23 16:08:00,39.567740,74.882550,BUENA VISTA TWP,ATLANTIC,NJ 54,NORMAN RD,02,0,I
20180105A090-2018-00354A,2018-11-15 11:55:00,39.541840,74.884350,BUENA VISTA TWP,ATLANTIC,MALAGA RD,DON RD,04,0,I
201801082018003714,2018-01-21 22:47:00,39.376540,74.626190,EGG HARBOR TWP,ATLANTIC,ROUTE 559 ALTERNATE,BAYBERRY AVE,01,0,I
201801082018036049,2018-06-24 23:34:00,39.406280,74.560940,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 608,MARTIN AVE,01,0,I
201801082018036540,2018-06-27 13:26:00,39.362110,74.657470,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 615,SCHOOL HOUSE RD,99,0,I
201801082018039762,2018-07-13 13:32:00,39.419310,74.582450,EGG HARBOR TWP,ATLANTIC,US 40,CR 684 / SPRUCE AVE,03,0,I
201801082018042448,2018-07-26 10:55:00,39.383540,74.715620,EGG HARBOR TWP,ATLANTIC,ROUTE 559,SHIPS DR,11,0,I
201801082018059937,2018-10-21 22:22:00,39.379780,74.577940,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 662,CR 651 / FIRE RD,13,0,I
20180109A090-2018-00224A,2018-08-07 12:04:00,39.578200,74.869800,ESTELL MANOR CITY,ATLANTIC,ATLANTIC COUNTY 669,,10,0,I
20180110A090-2018-00177A,2018-07-01 06:19:00,39.611800,74.849460,FOLSOM BORO,ATLANTIC,NJ 73,,04,0,I
201801112018009553,2018-03-10 11:54:00,39.492390,74.445060,GALLOWAY TWP,ATLANTIC,ROUTE 561 ALTERNATE,EAGLEWOOD DR,11,0,I
201801112018033454,2018-09-04 01:57:00,39.439800,74.478470,GALLOWAY TWP,ATLANTIC,US 9,E BROOK LN / OLD SHORE RD,11,0,I
201801112018042648,2018-11-11 14:20:00,39.459180,74.496360,GALLOWAY TWP,ATLANTIC,ATLANTIC COUNTY 634,ANTHONY LN,11,0,I
201801112018045739,2018-12-07 16:06:00,39.450730,74.535100,GALLOWAY TWP,ATLANTIC,US 30,2ND AVE,11,0,I
201801112018046322,2018-12-12 05:41:00,39.494280,74.483920,GALLOWAY TWP,ATLANTIC,ROUTE 561 ALTERNATE,DERBY DR,11,0,I
201801122018003742,2018-01-23 17:26:00,39.448090,74.707800,HAMILTON TWP,ATLANTIC,US 40,CANTILLON BLVD,05,0,I
201801122018030246,2018-07-11 20:25:00,39.469210,74.596300,HAMILTON TWP,ATLANTIC,ROUTE 575,ROUTE 563 / TILTON RD,07,0,I
201801122018035177,2018-08-13 11:05:00,39.484810,74.725660,HAMILTON TWP,ATLANTIC,US 322,NJ 50,01,0,I
20180113A160-2018-00451A,2018-08-01 09:56:00,39.652140,74.652980,HAMMONTON TOWN,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,11,0,I
201801172018004566,2018-04-28 17:41:00,39.542660,74.667450,MULLICA TWP,ATLANTIC,US 30,DARMSTADT AVE,03,0,I
201801182018005742,2018-03-31 12:18:00,39.376490,74.553600,NORTHFIELD CITY,ATLANTIC,ROUTE 563,US 9 / DAVIS AVE / NEW RD,01,0,I
20180212B250-2018-00112A,2018-10-21 07:00:00,40.814190,74.081770,EAST RUTHERFORD BORO,BERGEN,BERRY'S CREEK RD,TOLL PLAZA A,13,0,I
20180231B060-2018-00616A,2018-02-20 15:44:00,40.892230,74.074820,LODI BORO,BERGEN,I-80,,15,0,I
20180233B060-2018-01700A,2018-05-25 14:49:00,41.103050,74.168590,MAHWAH TWP,BERGEN,I-287,,01,0,I
20180250B060-2018-00004A,2018-01-01 09:00:00,40.866840,74.030320,RIDGEFIELD PARK VILLAGE,BERGEN,I-80,,11,0,I
20180253I-2018-009332,2018-09-17 15:47:00,40.994360,73.999790,RIVER VALE TWP,BERGEN,BERGEN COUNTY 110 II,TERBELL PKWY,11,0,I
20180256D030-2018-03504A,2018-10-10 20:49:00,40.793280,74.083740,RUTHERFORD BORO,BERGEN,I-95  N.J. TURNPIKE-WEST ALIGNMENT,,01,0,I
20180260D030-2018-02608A,2018-07-29 14:35:00,40.868420,74.003300,TEANECK TWP,BERGEN,I-95  N.J. TURNPIKE,,02,0,I
20180301D020-2018-00468A,2018-05-26 12:29:00,40.136320,74.685340,BASS RIVER TWP,BURLINGTON,GARDEN STATE PARKWAY,,11,0,I
20180304D020-2018-00405A,2018-05-09 12:59:00,40.177570,74.630870,BORDENTOWN TWP,BURLINGTON,I-95  N.J. TURNPIKE,,10,0,I
20180304D020-2018-00468A,2018-05-26 12:29:00,40.136320,74.685340,BORDENTOWN TWP,BURLINGTON,I-95  N.J. TURNPIKE,,11,0,I
201803062018-004475,2018-04-04 22:25:00,40.036740,74.826670,BURLINGTON TWP,BURLINGTON,ROUTE 541,BROMLEY BLVD,13,0,I
201803062018-489,2018-01-11 05:25:00,40.057040,74.887570,BURLINGTON TWP,BURLINGTON,US 130,VAN SCIVER PKWY,13,0,I
20180306C020-2018-00376A,2018-05-07 06:44:00,40.051700,74.824780,BURLINGTON TWP,BURLINGTON,I-295,,11,0,I
20180306C020-2018-00483A,2018-06-13 12:44:00,40.057520,74.817350,BURLINGTON TWP,BURLINGTON,I-295,,10,0,I
20180306C020-2018-00682A,2018-08-19 19:45:00,40.045390,74.833960,BURLINGTON TWP,BURLINGTON,I-295,,02,0,I
201803132018-09918,2018-04-27 12:10:00,39.915430,74.924850,EVESHAM TWP,BURLINGTON,BURLINGTON COUNTY 607,CR 616 / CHURCH ST / UNION MILL RD,01,0,I
201803132018-12897,2018-05-28 15:49:00,39.843870,74.910520,EVESHAM TWP,BURLINGTON,TOMLINSON MILL RD,KENILWORTH ROAD,11,0,I
201803132018-17709,2018-07-20 21:00:00,39.891010,74.870370,EVESHAM TWP,BURLINGTON,OLD MARLTON PIKE **,WHITEBRIDGE RD,11,0,I
201803132018-4322,2018-02-21 17:44:00,39.894090,74.917060,EVESHAM TWP,BURLINGTON,NJ 70,LOCUST AVE,11,0,I
201803132018-489,2018-01-06 16:45:00,39.888430,74.883160,EVESHAM TWP,BURLINGTON,ELMWOOD RD,STEFAN DR,10,0,I
20180316C020-2018-00089A,2018-01-25 13:38:00,39.983770,74.827100,HAINESPORT TWP,BURLINGTON,NJ 38,,11,0,I
201803172018-11105,2018-12-12 14:43:00,39.974390,74.751460,LUMBERTON TWP,BURLINGTON,NJ 38,CR 684 / VINCENTOWN-SMITHVILLE RD,03,0,I
201803182018-7069,2018-08-24 17:40:00,40.113340,74.767690,MANSFIELD TWP,BURLINGTON,US 130,POND AVE,04,0,I
20180318C020-2018-00631A,2018-08-04 08:17:00,40.111320,74.732340,MANSFIELD TWP,BURLINGTON,I-295,,11,0,I
2018032318-13611,2018-12-20 16:57:00,39.993120,74.786880,MOUNT HOLLY TWP,BURLINGTON,ROUTE 537,MT HOLLY AVE,13,0,I
201803242018-07039,2018-03-22 11:33:00,39.960300,74.864540,MOUNT LAUREL TWP,BURLINGTON,WOOD LARK DR **,ARK RD,99,0,I
201803242018-15775,2018-06-29 17:36:00,39.977360,74.878500,MOUNT LAUREL TWP,BURLINGTON,LARCHMONT BLVD **,ROUTE 537 / MARNE HWY,01,0,I
201803242018-23938,2018-10-05 07:39:00,39.948350,74.874820,MOUNT LAUREL TWP,BURLINGTON,BURLINGTON COUNTY 674,CR 686 / HARTFORD RD,03,0,I
20180324C020-2018-00054A,2018-01-10 23:06:00,39.993090,74.873740,MOUNT LAUREL TWP,BURLINGTON,I-295,,11,0,I
20180324C020-2018-00210A,2018-03-12 12:59:00,39.974780,74.901540,MOUNT LAUREL TWP,BURLINGTON,I-295,,02,0,I
20180324C020-2018-00563A,2018-07-13 20:30:00,40.133770,74.717820,MOUNT LAUREL TWP,BURLINGTON,I-295,,99,0,I
