id,vehicle_number,position,occupant_number,age,sex,condition
20180101I-2018-006018,1,01,1,38,M,02
20180101I-2018-011777,1,01,1,30,F,02
20180101I-2018-021856,1,01,1,55,F,  
201801021801-0488,1,01,1,74,M,  
201801021803-0725,2,01,1,43,M,02
201801021803-0725,2,03,2,60,M,03
201801021805-0270,1,01,1,78,M,  
201801021807-0206,1,01,1,18,M,02
201801021807-0605,1,01,1,54,M,02
201801021807-0605,2,01,2,76,M,  
201801021807-0605,2,03,3,83,F,  
201801021808-0114,1,01,1,58,M,  
201801021808-0868,1,01,1,76,M,02
201801021808-0868,2,01,2,75,M,  
201801021808-0868,2,03,3,72,F,  
201801021809-0535,1,01,1,23,M,02
201801021809-0535,1,03,2,25,M,02
20180105A090-2018-00073A,1,01,1,36,M,02
20180105A090-2018-00240A,1,01,1,49,F,02
20180105A090-2018-00240A,2,01,2,64,F,  
20180105A090-2018-00240A,2,03,3,82,F,  
20180105A090-2018-00354A,1,01,1,42,M,04
20180105A090-2018-00354A,1,03,2,41,F,04
20180105A090-2018-00354A,1,08,3,2,F,00
20180105A090-2018-00354A,2,01,4,53,M,02
201801072018003168,1,01,1,32,M,02
201801082018003714,1,01,1,35,M,02
201801082018003714,2,01,2,41,M,04
201801082018003714,2,03,3,68,F,04
201801082018036049,1,01,1,47,M,02
201801082018036049,2,01,2,56,M,  
201801082018036540,1,01,1,56,M,02
201801082018036540,1,03,2,39,M,  
201801082018039762,1,01,1,49,F,02
201801082018039762,2,01,2,21,F,04
201801082018042448,1,01,1,66,M,02
201801082018059937,1,01,1,44,M,  
20180109A090-2018-00224A,1,01,1,36,M,02
20180110A090-2018-00177A,1,01,1,28,M,02
20180110A090-2018-00177A,2,01,2,21,F,02
201801112018009553,1,01,1,22,F,02
201801112018033454,1,01,1,36,M,02
201801112018035726,1,01,1,47,M,02
201801112018042648,1,01,1,57,M,02
201801112018045739,1,01,1,55,F,02
201801112018046322,1,01,1,31,F,02
201801122018003742,1,01,1,62,M,04
201801122018003742,2,01,2,63,M,02
201801122018030246,1,01,1,19,M,04
201801122018030246,2,01,2,17,M,02
201801122018030246,2,03,3,18,M,03
201801122018035177,1,01,1,71,M,04
201801122018035177,2,01,2,21,F,04
201801122018035177,3,01,3,32,F,03
201801122018035177,3,03,4,59,F,03
201801122018035177,3,06,5,2,M,02
20180113A160-2018-00451A,1,01,1,56,M,02
20180113I-2018-18201,1,01,1,21,F,02
20180113I-2018-18201,1,03,2,21,F,02
20180113I-2018-18201,2,01,3,74,M,02
20180113I-2018-18201,2,03,4,70,F,02
2018011618-10798,1,01,1,78,M,02
201801172018004566,1,01,1,84,M,02
201801172018004566,2,01,2,42,M,03
201801172018004566,2,03,3,10,M,04
201801182018005742,1,01,1,64,M,02
201801182018005742,2,01,2,69,M,  
201801182018005742,3,01,3,69,F,04
20180121I-2018-002557,1,01,1,56,M,  
20180121I-2018-012885,1,01,1,74,F,02
20180121I-2018-012885,1,03,2,13,M,  
20180121I-2018-012885,1,04,3,4,M,  
20180121I-2018-012885,1,06,4,11,F,  
2018020118-09898,1,01,1,56,M,04
2018020118-09898,1,03,2,29,F,03
2018020118-09898,1,04,3,34,F,02
2018020118-09898,1,04,4,4,M,03
2018020118-09898,1,05,5,7,M,02
2018020118-09898,1,06,6,8,F,03
2018020118-09898,2,01,7,42,F,03
2018020118-09898,2,03,8,10,F,03
2018020118-09898,2,04,9,10,F,03
2018020318-07406,1,01,1,32,M,02
2018020318-07406,2,01,2,18,F,  
2018020318-40408,1,01,1,33,F,02
2018020318-40408,2,01,2,39,M,  
2018020318-40495,1,01,1,20,F,02
2018020318-41093,1,01,1,72,F,  
2018020518-11980,1,01,1,59,F,  
2018020518-11980,2,01,2,33,M,02
2018020518-12045,1,01,1,, ,  
2018020518-13506,1,01,1,55,M,02
