id,vehicle_number,charge
20180101I-2018-006018,1,39:4-96 RECKLESS DRIVING      
20180101I-2018-011777,1,                              
20180101I-2018-011777,2,                              
20180101I-2018-011777,3,                              
20180101I-2018-021856,1,                              
201801021801-0488,1,39:4-36                       
201801021803-0725,1,                              
201801021803-0725,2,                              
201801021805-0270,1,39:4-36                       
201801021807-0206,1,                              
201801021807-0605,1,39:3-40                       
201801021807-0605,2,                              
201801021808-0114,1,                              
201801021808-0868,1,                              
201801021808-0868,2,                              
201801021809-0535,1,                              
201801021809-0535,2,                              
201801021809-0535,3,                              
20180105A090-2018-00073A,1,39 4 50                       
20180105A090-2018-00240A,1,39 4 97                       
20180105A090-2018-00240A,2,                              
20180105A090-2018-00354A,1,39 4 97                       
20180105A090-2018-00354A,2,                              
201801072018003168,1,NONE                          
201801082018003714,1,39:4-97                       
201801082018003714,2,                              
201801082018036049,1,39:4-50                       
201801082018036049,2,                              
201801082018036540,1,39:3-76.2F                    
201801082018039762,1,39:4-81                       
201801082018039762,2,                              
201801082018042448,1,39:4-88B                      
201801082018059937,1,                              
20180109A090-2018-00224A,1,39 3 33                       
20180110A090-2018-00177A,1,                              
20180110A090-2018-00177A,2,                              
201801112018009553,1,NONE                          
201801112018033454,1,                              
201801112018035726,1,39:4-88A                      
201801112018042648,1,                              
201801112018045739,1,                              
201801112018046322,1,                              
201801122018003742,1,NONE                          
201801122018003742,2,                              
201801122018030246,1,39:4-90                       
201801122018030246,2,                              
201801122018035177,1,                              
201801122018035177,2,                              
201801122018035177,3,                              
20180113A160-2018-00451A,1,                              
20180113I-2018-18201,1,39:4-96                       
20180113I-2018-18201,2,                              
2018011618-10798,1,                              
2018011618-10798,2,                              
201801172018004566,1,39:4-97                       
201801172018004566,2,                              
201801182018005742,1,39:4-97A                      
201801182018005742,2,                              
201801182018005742,3,                              
20180121I-2018-002557,1,2C:12-1C (2)                  
20180121I-2018-012885,1,                              
20180121I-2018-012885,2,                              
2018020118-09898,1,39:4-81                       
2018020118-09898,2,                              
2018020318-07406,1,                              
2018020318-07406,2,                              
2018020318-40408,1,39:4-144 DISREGARD STOP SIGN  
2018020318-40408,2,                              
2018020318-40495,1,                              
2018020318-41093,1,                              
2018020518-11980,1,                              
2018020518-11980,2,                              
2018020518-12045,1,                              
2018020518-13506,1,                              
2018020518-13548,1,39:4-50                       
2018020518-13548,2,                              
