CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9488448,2,4,Y,F,15,G,G,E,-,-,,-,3,-,-,"- ",,,N,-,0,2,B,,-,L,04,,W,,-,-,2022
90389689,1,1,Y,M,63,G,G,N,-,W,Y,-,3,-,-,"- ",,,N,-,1,0,R,2013,HARL,C,02,,W,,-,-,2016
90389689,2,1,N,M,57,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2001,NABI,I,20,,W,,-,-,2016
90471013,1,1,Y,M,79,A,-,N,M,G,Y,-,3,-,-,"- ",,,E,N,0,0,E,2008,MERZ,A,01,,W,,-,-,2017
90471013,2,1,N,M,29,A,-,E,-,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2007,KAWA,C,02,,H,,-,-,2017
9520002,1,4,Y,M,69,A,-,E,-,-,N,-,3,-,-,"- ",,,F,-,1,0,B,,-,L,04,,W,-,-,-,2022
9520002,2,3,N,-,998,H,H,E,-,-,O,-,-,E,-,"- ",,,N,-,0,0,O,2016,FORD,F,26,,,,-,-,2022
9520572,1,1,Y,M,24,B,E,E,P,W,Y,-,3,-,-,"- ",,,N,-,1,0,-,2020,-,C,02,,H,,-,-,2023
9520572,2,1,N,F,61,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2011,-,A,01,,H,,-,-,2023
9520572,3,1,N,F,54,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2018,-,A,01,,A,,-,-,2023
9520572,4,3,N,-,998,H,H,-,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,1999,FORD,I,11,,,,-,-,2023
9520616,1,1,Y,F,32,G,G,S,M,G,,-,3,-,-,"- ",,,N,-,0,0,B,2014,-,A,01,,W,,-,-,2022
9520616,2,4,N,M,71,A,-,S,-,-,,-,3,-,-,"- ",,,N,-,1,0,B,,-,L,04,,A,,-,-,2022
9520619,1,1,Y,M,18,A,-,S,P,H,Y,-,3,-,-,"- ",,,N,-,2,0,B,1990,FORD,D,22,,H,,-,-,2022
9520619,2,1,N,M,38,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2018,-,D,22,,W,,-,-,2022
90483748,1,1,Y,M,23,B,-,W,M,G,Y,-,3,-,,28,21658,A,A,-,0,0,J,2007,CHEV,A,07,,W,,-,-,2017
90483748,2,1,N,M,45,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2001,CHEV,D,22,,H,,-,-,2017
9594356,1,1,Y,F,19,A,-,S,L,H,Y,-,3,-,-,"- ",,,N,-,0,1,B,2000,-,A,01,,H,,-,-,2023
9594356,2,1,N,F,32,A,-,N,L,G,Y,-,2,-,-,"- ",,,N,-,0,1,B,2022,-,D,22,,A,,-,-,2023
91583945,1,1,Y,M,22,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2019,TOYT,A,07,,A,,-,-,2021
91583945,2,1,N,F,30,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2016,VOLK,A,01,,W,,-,-,2021
9621208,1,1,Y,F,35,A,-,N,M,G,Y,-,3,-,-,"- ",,,E,-,0,0,E,2004,-,A,01,,W,,-,-,2023
9621208,2,1,N,M,34,A,-,W,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2023,-,C,02,,W,,-,-,2023
9633261,1,1,N,-,998,G,G,W,-,-,,-,3,-,-,"- ",,,M,-,0,0,R,,-,-,99,,,,-,-,2023
9633261,2,2,N,M,69,-,F,-,-,-,O,-,3,-,-,"- ",,,M,-,0,1,R,,-,N,60,,A,,-,-,2023
9640598,1,1,Y,M,71,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,1,0,E,1991,-,A,01,,W,,-,-,2023
9640598,2,1,N,M,28,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2022,-,D,22,,W,,-,-,2023
9684295,1,1,Y,F,68,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2019,-,A,01,,,,-,-,2024
9684295,2,1,N,M,35,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2022,-,C,02,,W,,-,-,2024
91869195,1,2,Y,F,26,B,E,N,-,-,O,-,4,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2022
91869195,2,1,N,F,32,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2014,"HONDA ",A,01,,A,,-,-,2022
9191774,1,2,Y,M,47,G,G,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,L,,-,N,60,,A,,-,-,2020
9191774,2,1,N,M,23,A,-,S,N,G,Y,-,3,-,,25,22350,,A,N,0,0,B,2020,-,A,01,,A,,-,-,2020
9749163,1,1,Y,M,87,A,-,E,L,G,Y,-,3,-,-,"- ",,,-,-,0,1,A,2008,-,A,01,,W,,-,-,2024
