crash_id,dt,city,county,lat,lon,crash_type,death_count,severe_injury_count,hit_run
202001201698,2020-06-03T14:42:00,Unincorporated,Jefferson,38.36186050870965,-88.92151007941288,10,0,1,N
202001226183,2020-03-02T16:31:00,Salem,Marion,38.627064470266006,-88.94563363602094,15,0,3,N
202001226209,2020-03-11T14:39:00,Salem,Marion,38.62468191592557,-88.96981419323981,11,0,1,N
202001201513,2020-05-05T16:48:00,Unincorporated,Ogle,41.937799970373575,-89.15137030041758,15,0,2,N
202001202997,2020-02-12T19:32:00,Chicago,Cook,41.734909324138656,-87.72137344792537,3,1,3,N
202001053619,2020-02-15T12:19:00,Joliet,Will,41.552055235365295,-88.07271000038102,6,0,1,N
202001214933,2020-01-14T12:07:00,Unincorporated,Ogle,42.05603722737794,-89.32530358957369,6,0,1,N
202001210463,2020-05-10T12:18:00,Unincorporated,Boone,42.30516999960141,-88.91980000156413,15,0,1,N
202001193560,2020-07-28T22:32:00,Monticello,Piatt,40.02503893596694,-88.56752971065926,8,0,1,N
202001319651,2020-11-22T17:00:00,Cicero,Cook,41.8407,-87.7442,1,0,1,N
202001319672,2020-11-25T09:38:00,Normal,McLean,40.4982,-88.9854,15,0,1,N
202001199005,2020-08-03T19:19:00,Unincorporated,Effingham,38.91896005810606,-88.61268398948097,5,0,1,N
202001195722,2020-08-04T09:58:00,Chicago,Cook,41.938162910357846,-87.6565144928845,2,0,1,N
202001319665,2020-11-23T13:15:00,Unincorporated,Rock Island,41.570481,-90.368965,6,0,1,N
202001209197,2020-06-01T11:31:00,Dolton,Cook,41.635134776783445,-87.58206966332804,12,0,1,N
202001210844,2020-06-09T14:54:00,Unincorporated,Jefferson,38.41380997255804,-89.01357811998734,15,1,0,N
202001334818,2020-10-14T07:37:00,Unincorporated,Woodford,40.70757999923107,-89.04344000129089,15,2,0,N
202001195725,2020-08-04T09:05:00,Chicago,Cook,41.789548752202606,-87.7232074494219,10,0,1,N
202001319558,2020-11-04T16:34:00,Downers Grove,DuPage,41.773196,-87.997746,6,0,2,N
202001319548,2020-12-02T08:19:00,Calumet City,Cook,41.6209,-87.5347,15,0,1,N
202001370701,2020-10-27T13:04:00,Dolton,Cook,41.61210003938756,-87.5832596057453,10,0,2,N
202001196083,2020-08-04T07:52:00,Chicago,Cook,41.76241376496132,-87.5587997806864,1,0,1,N
202001369006,2020-10-23T00:17:00,Wilmington,Will,41.296626,-88.17041899999998,4,0,1,N
202001014575,2020-01-08T17:31:00,Chicago,Cook,41.741158184155694,-87.63847353079758,1,0,1,N
202001054552,2020-02-16T00:36:00,Glenview,Cook,42.07894180891248,-87.81620184481913,11,0,1,N
202001233054,2020-05-31T15:30:00,Chicago,Cook,41.75975316122922,-87.64198166448689,15,0,2,Y
202001239181,2020-05-03T09:55:00,Homewood,Cook,41.55919781857232,-87.63672799598783,17,0,2,N
202001054695,2020-02-16T16:42:00,Unincorporated,Peoria,40.76477054350877,-89.7477948833294,6,0,1,N
202001241167,2020-09-17T16:10:00,Unincorporated,McHenry,42.340406,-88.23810799999998,5,0,1,N
202001241219,2020-09-17T20:22:00,Chicago,Cook,41.75218047698444,-87.58652915561274,10,0,2,N
202001196372,2020-08-04T22:11:00,Chicago,Cook,41.83483463612926,-87.6655237703561,6,0,1,N
202001196386,2020-08-04T05:34:00,Lake Zurich,Lake,42.201,-88.06969999999998,2,0,1,N
202001238016,2020-05-30T00:37:00,North Chicago,Lake,42.307787678623605,-87.84708885118027,6,0,1,N
202001241316,2020-09-17T22:46:00,Chicago,Cook,41.878708577997486,-87.70590723213779,7,0,1,N
202001241350,2020-09-18T02:50:00,Chicago,Cook,41.9651214571666,-87.679231231583,15,0,1,N
202001054402,2020-02-16T06:35:00,Chicago,Cook,41.886817555456766,-87.62462456916073,10,0,1,N
202001202555,2020-07-01T12:49:00,Chicago,Cook,41.86833433428014,-87.65110352513047,9,0,1,N
202001198957,2020-06-25T11:08:00,Carbondale,Jackson,37.71840853299268,-89.19944489372584,1,0,1,N
202001358969,2020-05-05T17:02:00,Unincorporated,Jefferson,38.40276735131658,-88.89763405204867,6,0,1,N
202001254505,2020-04-18T21:25:00,Decatur,Macon,39.855299999551605,-88.93615000114487,15,1,0,N
202001254601,2020-05-25T21:24:00,Decatur,Macon,39.853080000027205,-88.94072000048595,15,1,3,Y
202001254562,2020-06-01T02:43:00,Decatur,Macon,39.85472052473688,-88.95455134524308,15,4,1,Y
202001358970,2020-04-20T13:15:00,Belle Rive,Jefferson,nan,nan,11,0,1,N
202001358973,2020-05-26T00:33:00,Unincorporated,Jefferson,38.37073932032679,-88.79317009659842,5,0,1,N
