crash_id,veh_num,make,model,body_type
202101010160,1,2005 NISS,ALT,Passenger
202101010350,1,2016 SCIO,IA,Passenger
202101010303,1,2006 CHEV,CLD,Passenger
202101010890,2,2011 (UNK),(UNK),SUV
202101010540,2,2008 MAZD,CX9,SUV
202101010709,1,(UNK) UNKN,(UNK),Passenger
202101010491,2,2018 CHEV,CRZ,Passenger
202101010545,1,2009 DODG,CVN,Van/Mini-Van
202101010614,1,2017 FORD,XPL,Passenger
202101010491,1,2018 HOND,ACC,Passenger
202101011363,1,2002 GMC ,ENV,SUV
202101010999,2,2017 INFI,QX3,Passenger
202101011609,3,2014 JEP ,CMP,Passenger
202101010786,1,2010 NISS,ALT,Passenger
202101010786,2,2015 TOYT,RAV,Passenger
202101010890,1,2014 CHEV,IMP,Passenger
202101010905,2,2017 HYUN,SON,Passenger
202101010999,3,2005 NISS,MUR,Passenger
202101010793,1,2002 FORD,ECP,SUV
202101011609,1,2003 HYUN,SFE,Passenger
202101011255,1,2005 HOND,CLX,Passenger
202101011055,1,(UNK) UNKN,(UNK),Unknown
202101011594,3,2003 HOND,ACC,Passenger
202101011332,1,2015 HYUN,ELN,Passenger
202101010905,1,2019 FORD,FIE,Passenger
202101012212,1,2013 CHEV,MAL,Passenger
202101012225,1,2005 TOYT,RAV,Passenger
202101011609,2,2005 TOYT,COA,Passenger
202101011679,1,2005 SCIO,XB ,Passenger
202101012277,3,2016 CHEV,IMP,Passenger
202101011789,1,2009 TOYT,CAM,Passenger
202101012312,1,(UNK) TOYT,PRI,Passenger
202101012644,4,2006 VOLV,TRK,Tractor With Semi-Trailer
202101012126,1,2002 FORD,EC1,Van/Mini-Van
202101012083,1,2003 CHEV,TBZ,SUV
202101012093,1,2006 SUBA,OUT,Passenger
202101012801,1,2007 LEXS,G47,Passenger
202101012749,1,2017 HYUN,SON,Passenger
202101012186,2,2008 NISS,ALT,Passenger
202101012277,2,2004 TOYT,FEC,Passenger
202101013051,1,2019 CHRY,30,Passenger
202101012186,1,(UNK) UNKN,(UNK),Unknown
202101012644,2,2012 FRHT,TK ,Tractor With Semi-Trailer
202101012851,1,2019 FORD,TAU,Passenger
202101013190,1,2015 HYUN,ACC,Passenger
202101013197,3,2019 MITS,ECL,SUV
202101012606,1,2018 FORD,(UNK),SUV
202101012938,2,2007 NISS,ALT,Passenger
202101011789,2,2000 HOND,CDX,Passenger
202101012801,2,2016 ISU ,TK ,Truck Single Unit
202101013555,2,2008 CHEV,HHR,Passenger
202101013051,2,2017 MAZD,MZ3,Passenger
202101012606,2,2017 FORD,FOC,Passenger
202101013197,2,2010 GMC ,TER,SUV
202101014048,1,2013 TOYT,COA,Passenger
202101014206,1,2019 JEP ,(UNK),SUV
202101014206,2,2015 GMC ,YUO,SUV
202101013197,1,2010 NISS,ALT,Passenger
202101012938,1,2017 SUBA,OUT,Passenger
202101012972,1,(UNK) UNKN,(UNK),Unknown
202101014809,2,2015 KW  ,TK ,Tractor With Semi-Trailer
202101013627,1,2000 FRHT,(UNK),Truck Single Unit
202101013095,2,2006 MERZ,S43,Passenger
202101013937,2,2014 NISS,RGE,Passenger
202101013966,2,2006 CHEV,TBZ,SUV
202101013627,2,2002 (UNK),(UNK),Passenger
202101013931,1,(UNK) UNKN,(UNK),Unknown
202101014048,2,2017 FORD,XPL,Passenger
202101010160,2,2006 GMC ,EXL,Passenger
202101014041,1,2020 HOND,(UNK),ATV
202101014104,4,2017 HYUN,(UNK),Passenger
202101015570,2,2019 (UNK),(UNK),Tractor With Semi-Trailer
202101014318,1,2005 FORD,500,Passenger
202101014384,1,2015 NISS,ALT,Passenger
202101014048,3,2012 CHRY,200,Passenger
202101014104,1,2013 FORD,F15,Pickup
202101015755,1,2006 CHEV,CBT,Passenger
202101014267,2,2006 PONT,VIB,Passenger
202101014318,2,2010 CHEV,HHR,Passenger
202101014341,1,2004 HOND,ACC,Passenger
202101012644,3,2019 CHEV,TRV,Passenger
202101014391,1,(UNK) (UNK),(UNK),Unknown
202101014727,2,2011 CHEV,IMP,Passenger
202101014854,1,(UNK) (UNK),(UNK),Unknown
202101014727,1,2012 FORD,EC2,Passenger
202101013095,1,2017 FORD,XPL,Other
202101015079,1,2005 LEXS,330,Passenger
202101013188,1,2012 CHEV,CPT,SUV
202101015260,2,2017 HYUN,ELN,SUV
202101015265,2,2010 FORD,F15,Pickup
202101014868,1,2010 CHEV,CBT,Passenger
202101015486,1,1999 BUIC,(UNK),Passenger
202101015759,1,2013 FORD,EDG,SUV
202101016465,1,2000 BUIC,LCR,Passenger
