crash_id,veh_num,age,sex,injury_severity,person_type
201901461055,1,18,M,1.0,1
201901461055,1,17,F,3.0,7
201901391714,1,27,F,0.0,1
201901391714,2,71,M,3.0,1
201901299551,1,51,M,3.0,1
201901445438,2,24,F,0.0,7
201901445438,2,51,F,0.0,7
201901299783,1,37,M,2.0,1
201901299783,1,36,F,3.0,7
201901299783,2,82,M,1.0,1
201901391840,2,8,F,0.0,7
201901445976,3,58,M,0.0,1
201901445991,1,41,M,3.0,1
201901445766,1,17,M,0.0,1
201901445766,1,23,M,0.0,7
201901445766,1,99,U,0.0,7
201901445766,2,70,M,3.0,2
201901446282,2,18,F,3.0,7
201901300532,1,63,M,3.0,1
201901446250,1,66,F,0.0,1
201901445822,2,78,M,3.0,1
201901445822,1,3,F,0.0,7
201901461060,1,99,M,0.0,7
201901461060,2,23,F,3.0,2
201901445884,1,25,M,0.0,1
201901445884,1,28,M,3.0,7
201901391708,1,60,M,3.0,1
201901391708,2,45,M,3.0,1
201901391708,2,44,F,3.0,7
201901391708,2,15,F,2.0,7
201901391708,2,18,F,2.0,7
201901392031,1,26,F,2.0,1
201901392031,1,40,F,3.0,7
201901392031,1,25,F,2.0,7
201901300274,1,78,M,3.0,1
201901300274,2,31,F,3.0,1
201901391840,1,99,U,0.0,1
201901391840,2,52,F,3.0,1
201901392031,1,64,M,2.0,7
201901392031,2,53,M,2.0,1
201901445780,1,21,M,3.0,1
201901445976,1,72,F,2.0,1
201901445976,2,52,M,3.0,1
201901445976,2,99,F,0.0,7
201901445777,1,99,U,0.0,1
201901445777,2,76,F,3.0,1
201901299450,1,30,M,3.0,1
201901445850,7,24,M,0.0,7
201901300706,1,38,F,2.0,1
201901300706,2,30,M,2.0,1
201901300706,2,27,M,3.0,7
201901300706,3,30,F,0.0,1
201901446245,1,42,F,3.0,1
201901446282,1,28,F,0.0,1
201901446282,2,40,F,0.0,1
201901446282,2,20,F,0.0,7
201901445816,1,27,F,3.0,1
201901445816,2,23,F,3.0,1
201901445816,2,6,F,2.0,7
201901445816,2,3,F,2.0,7
201901423428,1,20,F,1.0,1
201901423428,1,20,F,3.0,7
201901423428,2,33,F,0.0,1
201901423539,1,25,F,3.0,1
201901299403,1,17,M,1.0,1
201901445850,1,30,M,3.0,1
201901445850,2,51,M,1.0,1
201901445850,3,24,F,0.0,1
201901445850,3,27,M,0.0,7
201901445850,4,25,M,0.0,1
201901445850,5,60,F,0.0,1
201901445850,6,57,F,0.0,1
201901445850,6,66,M,0.0,7
201901445850,7,23,F,0.0,1
201901299220,1,41,M,0.0,1
201901299220,2,38,F,3.0,3
201901299917,1,49,M,4.0,1
201901299917,1,46,F,3.0,7
201901299867,1,30,F,3.0,1
201901392035,1,22,M,3.0,7
201901445822,1,76,F,2.0,1
201901300787,1,70,M,3.0,1
201901300797,1,55,F,3.0,1
201901445337,1,53,F,2.0,1
201901445337,2,52,F,3.0,1
201901299420,1,40,M,3.0,1
201901300395,2,76,F,0.0,1
201901445993,1,37,F,3.0,1
201901445993,2,31,F,3.0,1
201901445993,2,8,M,3.0,7
201901445993,2,6,F,2.0,7
201901300395,1,9,M,3.0,7
201901300395,1,2,M,0.0,7
201901300395,1,13,F,0.0,7
201901300395,1,13,M,0.0,7
201901300395,1,8,M,0.0,7
201901392035,1,24,M,0.0,1
201901300575,1,36,F,3.0,1
201901300575,2,58,M,3.0,1
201901423510,1,25,M,0.0,1
201901423510,2,63,M,3.0,2
201901311255,1,28,M,0.0,1
201901311255,2,41,M,4.0,1
201901445311,1,60,F,0.0,1
201901445311,2,77,M,4.0,2
201901299517,1,70,M,0.0,1
201901299517,2,26,F,3.0,2
201901311016,1,53,M,0.0,1
201901299713,2,17,M,3.0,2
201901299403,2,21,M,1.0,1
201901299403,2,54,F,3.0,7
201901299403,2,20,F,0.0,7
201901299403,3,48,F,0.0,1
201901311016,2,43,F,2.0,7
201901311016,2,7,F,3.0,7
