crash_id,veh_num,age,sex,injury_severity,person_type
201501329691,1,40,M,3.0,1
201501329691,2,37,M,2.0,1
201501329680,1,34,M,2.0,1
201501329680,2,28,F,3.0,1
201501329736,1,47,M,3.0,1
201501330597,1,64,F,3.0,1
201501331619,1,16,F,3.0,1
201501331310,1,20,M,0.0,1
201501331310,2,28,M,1.0,1
201501331310,2,23,F,3.0,7
201501332243,1,36,M,3.0,1
201501332251,1,17,M,3.0,1
201501330325,1,21,F,3.0,1
201501330364,1,46,F,0.0,1
201501330364,2,44,M,3.0,1
201501332149,1,68,F,3.0,1
201501332149,2,75,F,1.0,1
201501332149,2,88,M,2.0,7
201501331995,1,51,F,0.0,1
201501331995,2,73,U,3.0,2
201501332003,1,17,F,3.0,1
201501332320,1,16,M,3.0,1
201501332320,2,68,F,3.0,1
201501332320,1,16,M,0.0,7
201501010272,1,36,F,3.0,1
201501010272,1,11,M,2.0,7
201501051554,1,21,M,0.0,1
201501051554,1,17,F,3.0,7
201501021018,1,19,M,4.0,1
201501021018,2,52,M,0.0,1
201501051183,1,19,M,3.0,1
201501052998,1,45,M,3.0,1
201501052998,1,34,F,2.0,7
201501021016,1,23,M,4.0,1
201501021016,1,27,M,3.0,7
201501014375,1,21,M,1.0,7
201501052423,1,99,U,0.0,1
201501052423,2,20,F,3.0,1
201501052423,2,2,F,0.0,7
201501013384,1,23,M,3.0,1
201501013384,2,41,M,0.0,1
201501329021,1,47,M,3.0,1
201501328992,1,42,M,2.0,1
201501328992,1,35,F,3.0,7
201501329232,1,65,M,3.0,1
201501329232,1,61,F,0.0,7
201501329439,1,35,F,3.0,1
201501329439,2,58,M,3.0,1
201501329649,1,22,M,3.0,1
201501329649,2,28,M,0.0,1
201501329649,2,27,F,3.0,7
201501329649,2,4,M,0.0,7
201501329649,2,6,F,0.0,7
201501329649,2,6,M,0.0,7
201501329649,2,3,M,0.0,7
201501329721,1,62,M,3.0,1
201501331094,1,34,M,0.0,1
201501331094,2,39,M,3.0,1
201501330904,1,17,M,1.0,1
201501330904,1,15,M,1.0,7
201501330904,1,17,M,3.0,7
201501330169,1,82,M,0.0,1
201501330169,2,22,M,3.0,2
201501332224,1,39,M,0.0,1
201501332224,2,24,F,3.0,1
201501330699,1,34,F,3.0,1
201501330699,2,43,F,3.0,1
201501332685,1,16,M,0.0,1
201501332685,2,24,M,3.0,1
201501332685,3,72,F,3.0,1
201501053063,1,24,M,3.0,1
201501010713,1,35,M,0.0,1
201501010713,1,32,F,3.0,7
201501052989,1,53,F,3.0,7
201501010455,1,25,M,3.0,1
201501010522,1,28,F,3.0,1
201501011563,1,30,F,3.0,1
201501011563,1,29,M,2.0,7
201501056558,1,23,F,0.0,1
201501056558,1,22,F,3.0,7
201501056558,1,1,M,0.0,7
201501056558,2,57,F,3.0,1
201501013336,1,27,M,3.0,2
201501013336,2,23,M,0.0,1
201501059130,1,37,M,3.0,1
201501059130,2,47,F,2.0,1
201501328723,1,41,F,3.0,1
201501328728,1,22,F,3.0,1
201501328971,1,21,F,0.0,1
201501328971,2,19,M,3.0,1
201501328971,2,19,F,2.0,7
201501328971,2,20,F,2.0,7
201501328971,2,1,M,1.0,7
201501328971,2,2,M,2.0,7
201501328962,1,50,M,3.0,1
201501328933,1,69,M,0.0,1
201501328933,2,52,F,3.0,1
201501328933,2,53,F,0.0,7
201501329614,1,20,M,3.0,1
201501329614,2,66,F,1.0,1
201501329599,2,9,F,3.0,2
201501329985,1,68,F,3.0,1
201501329985,2,54,F,2.0,1
201501330203,1,54,M,3.0,1
201501331576,1,4,M,3.0,2
201501331576,2,44,F,0.0,1
201501331576,2,8,F,0.0,7
201501330912,1,23,M,1.0,1
201501330912,1,22,M,3.0,7
201501330835,1,30,M,3.0,1
201501330835,2,20,M,0.0,1
201501330835,1,63,F,3.0,7
201501329982,1,38,M,3.0,1
201501330464,1,54,M,3.0,1
201501330464,2,32,F,0.0,1
201501330464,2,13,F,0.0,7
201501330464,2,9,M,0.0,7
201501330464,2,8,M,0.0,7
201501330464,3,52,M,0.0,1
201501330464,4,35,F,0.0,1
201501330464,4,1,F,0.0,7
201501329993,1,83,F,3.0,1
201501329993,2,30,M,0.0,1
201501329989,1,39,F,0.0,1
201501329989,2,38,F,3.0,1
201501329989,2,12,F,0.0,7
201501330879,1,20,M,0.0,1
201501330879,2,43,M,3.0,1
201501330879,1,18,M,0.0,7
201501330879,1,21,M,0.0,7
201501331463,1,77,M,3.0,1
201501331463,2,56,M,3.0,1
201501331463,2,46,F,0.0,7
201501331463,2,11,M,3.0,7
201501330107,1,20,F,3.0,1
201501330107,2,32,M,0.0,1
201501330107,3,53,F,0.0,1
201501331463,2,27,M,3.0,7
201501331463,3,53,M,0.0,1
201501331463,3,23,F,0.0,7
201501331463,3,0,F,0.0,7
201501331463,3,2,U,0.0,7
201501332087,1,25,F,0.0,1
201501332087,2,64,M,3.0,1
201501331792,1,21,F,3.0,1
201501332123,2,30,F,1.0,1
201501332123,2,33,M,0.0,7
201501331849,1,63,M,3.0,1
201501331849,2,57,M,0.0,1
201501051540,1,18,M,3.0,7
201501051540,1,20,F,3.0,7
201501051540,1,18,M,3.0,7
201501051540,2,26,M,3.0,1
201501010538,1,40,M,0.0,1
201501010538,1,25,M,3.0,7
201501010538,1,22,M,2.0,7
201501010538,1,27,M,0.0,7
201501010538,1,22,M,2.0,7
201501010330,1,25,F,3.0,1
201501010538,2,20,M,2.0,1
201501010753,2,33,M,1.0,1
201501021019,1,66,M,4.0,1
201501012041,1,22,M,3.0,1
201501012041,2,34,F,0.0,1
201501012599,1,47,F,3.0,1
201501328706,1,45,M,3.0,1
201501328706,1,40,F,2.0,7
201501328706,1,10,M,0.0,7
201501328714,1,63,F,0.0,1
201501328714,2,61,M,3.0,1
201501328711,1,82,F,3.0,1
201501328711,2,29,M,0.0,1
201501328711,2,77,F,3.0,7
201501328711,2,31,F,3.0,7
201501328861,1,20,M,3.0,1
201501328861,2,19,F,3.0,1
201501328861,1,21,F,3.0,7
201501328861,1,25,M,0.0,7
201501328861,2,53,M,3.0,7
201501328870,1,21,M,3.0,1
201501328870,2,62,M,3.0,1
201501329586,1,46,F,3.0,1
201501329586,2,20,M,0.0,1
201501329586,1,45,M,0.0,7
201501329572,1,20,M,0.0,1
201501329572,2,46,F,3.0,1
201501329572,2,45,M,1.0,7
201501329590,1,27,F,3.0,1
201501329590,2,41,M,0.0,1
201501329590,1,2,F,0.0,7
201501329590,1,7,F,0.0,7
201501329599,1,16,M,0.0,1
201501329385,1,40,M,3.0,1
201501329592,1,63,M,3.0,1
201501331564,1,1,F,3.0,7
201501329985,2,16,M,2.0,7
201501329985,2,12,M,2.0,7
201501330318,1,89,M,0.0,1
201501330318,2,66,F,3.0,2
201501330263,1,49,F,0.0,1
201501330263,2,41,F,3.0,3
201501330299,1,12,M,0.0,7
201501330299,1,11,M,0.0,7
201501330317,1,24,F,2.0,1
201501330317,2,21,F,3.0,1
201501330317,1,84,M,0.0,7
201501330317,1,3,M,0.0,7
201501330317,2,21,M,0.0,7
201501330378,1,99,U,0.0,1
201501330378,2,58,F,0.0,1
201501330378,2,74,F,3.0,7
201501331577,1,40,M,0.0,1
201501331577,2,37,M,0.0,1
201501331577,2,62,F,3.0,7
201501331719,1,37,M,3.0,1
201501332123,1,26,M,3.0,3
201501332115,1,99,M,0.0,1
201501332115,2,34,M,3.0,1
201501052449,1,33,F,3.0,1
201501051540,1,21,F,3.0,1
201501010363,1,18,M,0.0,1
201501010363,1,19,F,3.0,7
201501010363,2,19,M,0.0,1
201501012523,1,62,F,3.0,1
201501012523,1,68,M,3.0,7
201501012523,2,33,F,3.0,1
201501055414,1,66,M,3.0,1
201501011912,1,32,F,3.0,1
201501011245,1,76,F,3.0,1
201501011245,2,31,M,0.0,1
201501011259,1,49,F,3.0,1
201501011259,2,33,M,0.0,1
201501328696,1,36,M,3.0,1
201501328701,1,25,M,3.0,1
201501328748,1,56,M,0.0,1
201501328748,2,77,M,2.0,1
201501328748,2,77,F,3.0,7
201501328797,1,16,F,3.0,1
201501328785,1,32,M,0.0,1
201501328785,2,37,F,3.0,1
201501328785,2,10,F,3.0,7
201501328785,2,12,F,3.0,7
201501328785,2,11,F,2.0,7
201501328785,2,10,F,3.0,7
201501328698,1,43,F,3.0,1
201501328733,1,47,M,3.0,1
201501329278,1,24,F,1.0,1
201501329278,2,56,F,3.0,1
201501329333,1,60,M,3.0,1
201501329359,1,44,F,3.0,1
201501330502,1,22,M,3.0,1
201501329834,1,49,M,3.0,1
201501330443,1,49,M,0.0,1
201501330443,2,53,M,3.0,2
201501330472,1,38,M,3.0,1
201501330472,2,49,F,0.0,1
201501330133,1,32,M,3.0,1
201501330172,1,48,F,0.0,1
201501330172,2,57,M,0.0,1
201501330172,2,57,F,3.0,7
201501330188,1,55,M,3.0,1
201501330605,1,30,M,0.0,1
201501330605,2,59,M,2.0,1
201501330605,1,7,F,0.0,7
201501330605,2,58,F,3.0,7
201501330605,3,67,M,0.0,1
201501330605,3,61,F,0.0,7
201501330295,1,30,M,0.0,1
201501330295,2,23,M,3.0,3
201501330299,1,52,F,0.0,1
201501330299,2,22,F,3.0,2
201501330299,1,26,F,0.0,7
201501331733,1,60,F,3.0,1
201501331004,1,25,F,0.0,1
201501331004,2,50,M,3.0,1
201501331825,1,42,F,3.0,1
201501331825,2,29,F,3.0,1
201501331825,2,9,F,3.0,7
201501331825,2,9,F,3.0,7
201501331742,1,17,M,0.0,1
201501331742,2,56,F,3.0,1
201501331742,1,10,M,0.0,7
201501010635,1,29,M,3.0,1
201501010635,1,27,M,0.0,7
201501010635,2,53,F,3.0,1
201501051412,1,21,F,2.0,1
201501051412,1,21,F,3.0,7
201501051412,1,23,M,3.0,7
201501010857,1,22,F,0.0,1
201501010857,1,2,F,0.0,7
201501010857,1,24,F,3.0,7
201501010857,2,41,F,0.0,1
201501052519,1,25,M,3.0,1
201501052397,1,23,M,3.0,1
201501055649,1,34,M,1.0,1
201501055649,1,50,M,3.0,7
201501330485,1,22,M,3.0,1
201501330126,2,4,F,0.0,7
201501330126,2,3,M,0.0,7
201501330135,1,21,M,3.0,1
201501331564,1,19,F,0.0,1
201501331564,2,59,F,2.0,1
201501331564,1,18,M,3.0,7
201501330818,1,41,M,3.0,1
201501329846,1,27,M,3.0,1
201501329975,1,35,M,3.0,1
201501330816,1,51,F,3.0,1
201501330239,1,37,M,2.0,1
201501330239,2,41,F,3.0,1
201501330239,3,25,F,0.0,1
201501330239,3,26,F,0.0,7
201501329996,1,17,F,2.0,1
201501329996,2,38,F,3.0,1
201501330746,1,25,M,3.0,1
201501330746,2,56,M,0.0,1
201501332310,1,51,M,3.0,1
201501332007,1,58,F,0.0,1
201501331819,1,37,M,3.0,1
201501331819,1,34,F,3.0,7
201501332007,2,28,M,3.0,1
201501332007,1,99,U,0.0,7
201501330418,1,40,M,3.0,2
201501330418,2,20,M,0.0,1
201501330418,2,16,F,0.0,7
201501330418,2,14,M,0.0,7
201501020344,1,36,F,1.0,1
201501020344,2,60,F,3.0,1
201501010367,1,61,F,3.0,1
201501010367,1,42,F,3.0,7
201501010367,2,77,M,0.0,1
201501052410,1,22,M,3.0,1
201501052410,1,23,F,3.0,7
201501051250,1,36,M,3.0,1
201501052989,1,43,M,0.0,1
201501012395,1,21,M,0.0,1
201501012395,1,19,F,0.0,7
201501012395,1,17,F,0.0,7
201501012395,1,1,F,0.0,7
201501012395,2,55,F,3.0,1
201501012498,2,19,F,3.0,1
201501012930,1,48,M,0.0,1
201501012930,2,54,F,3.0,1
201501051876,1,25,M,0.0,1
201501051876,1,26,F,0.0,7
201501051876,2,31,M,3.0,1
201501051876,3,28,F,0.0,1
201501051876,3,24,F,0.0,7
201501051876,3,24,M,0.0,7
201501329197,1,99,U,0.0,1
201501329197,2,49,M,3.0,3
201501329203,1,88,F,3.0,1
201501329203,2,66,M,0.0,1
201501329237,1,33,F,0.0,1
201501329237,2,31,M,2.0,1
201501329237,3,40,M,3.0,1
201501329237,3,9,F,0.0,7
201501329237,3,5,F,0.0,7
201501329262,1,30,M,3.0,1
201501329262,2,40,M,2.0,1
