crash_id,veh_num,make,model,body_type
202001010151,1,2010 CHEV,CBT,Passenger
202001010165,1,2019 HOND,INS,Passenger
202001010216,1,2018 NISS,SEN,Passenger
202001010265,3,2004 CHEV,CLA,Passenger
202001010132,1,2013 CHEV,CAM,Passenger
202001010216,3,2013 NISS,ALT,Passenger
202001010220,2,2017 FORD,XPL,SUV
202001010220,3,2017 FORD,XPL,SUV
202001010220,1,2013 HOND,CIV,Passenger
202001010390,1,(UNK) ACUR,UNK,Passenger
202001010216,2,2018 JEP ,(UNK),SUV
202001010265,1,2002 MITS,GES,Passenger
202001010292,2,2006 FORD,XPL,Passenger
202001010520,2,2009 LEXS,E35,Passenger
202001010265,2,2015 HOND,FIT,Passenger
202001010401,1,2004 MAZD,M6 ,Passenger
202001010390,2,(UNK) TOYT,COA,Passenger
202001010519,2,2008 HYUN,SON,Passenger
202001010597,1,2007 MITS,OUT,SUV
202001010401,2,2001 FORD,RNG,Pickup
202001010519,1,1997 HOND,UNK,Passenger
202001010424,2,2009 HD  ,MC ,Motorcycle
202001010390,3,(UNK) CADI,CAD,Passenger
202001010736,1,2018 NISS,MUR,Passenger
202001010165,2,2007 HOND,ODY,Passenger
202001010799,5,2010 TOYT,COA,Passenger
202001010799,2,2005 HOND,ODY,Passenger
202001010799,1,2017 MITS,OUT,Passenger
202001010988,1,2017 HYUN,TCN,SUV
202001010731,1,2018 FORD,(UNK),Unknown
202001010799,4,2008 TOYT,YAR,Passenger
202001010988,2,2013 HYUN,ELN,Passenger
202001011236,1,2002 BUIC,LES,Passenger
202001011275,2,2017 HYUN,ELN,Passenger
202001011345,1,(UNK) UNKN,(UNK),Van/Mini-Van
202001011384,1,1999 VOLV,V70,Unknown
202001011456,2,2006 ACUR,MDX,Passenger
202001011430,2,2013 HYUN,SON,Passenger
202001011456,4,2008 JEP ,(UNK),Passenger
202001011306,3,2005 DODG,CVN,Van/Mini-Van
202001011456,1,2002 CHEV,CAV,Passenger
202001011275,1,2015 JEEP,CHK,Passenger
202001011430,1,2006 CHEV,HHR,Passenger
202001011808,2,2015 NISS,RGE,SUV
202001011942,1,2005 GMC ,ENV,SUV
202001011808,1,2006 DODG,CHA,Passenger
202001011942,3,2005 FORD,F15,Pickup
202001011808,3,2020 SUBA,FOR,SUV
202001011971,1,2011 FORD,XPL,SUV
202001012471,1,2000 BUIC,CEN,Passenger
202001012488,1,2008 TOYT,CAM,Passenger
202001012635,2,2004 DODG,RVN,Van/Mini-Van
202001012635,3,2007 UNKN,UNK,Other
202001012635,1,2005 TOYT,PRI,Passenger
202001012557,2,2007 DODG,NIT,Passenger
202001012897,2,2011 HOND,ACC,Passenger
202001012859,1,2013 FORD,EC3,Van/Mini-Van
202001012557,1,2006 NISS,MUR,Passenger
202001012866,1,1998 CHEV,S10,Pickup
202001012897,1,2017 LEXS,30,Passenger
202001012866,2,2012 NISS,ALT,Passenger
202001013190,1,2018 FORD,ECP,Passenger
202001013585,2,2020 TOYT,TAC,Pickup
202001013769,1,2004 VOLK,PAS,Passenger
202001013769,3,2004 (UNK),(UNK),Passenger
202001013351,1,2006 SUZI,GSR,Motorcycle
202001014062,2,2005 TOYT,MTX,Passenger
202001013524,1,2000 HOND,PLT,Passenger
202001014220,3,2006 ACUR,RL,Passenger
202001013585,1,2019 ACUR,MDX,SUV
202001014327,1,2018 CHEV,SNC,Passenger
202001013881,1,1999 FORD,MUS,Passenger
202001013918,2,2020 VOLK,TGN,Passenger
202001014062,1,2019 DODG,CHL,Passenger
202001014359,2,2013 HOND,CIV,Passenger
202001014327,2,2003 TOYT,CAM,Passenger
202001014089,1,2014 TOYT,COA,Passenger
202001013881,2,2006 MACK,MR ,Single Unit Truck with Trailer
202001013911,1,2007 STRN,SKY,Passenger
202001013918,1,2016 BMW ,(UNK),Passenger
202001014220,1,2013 NISS,ALT,Passenger
202001014352,2,2003 GMC ,SRA,Pickup
202001014352,4,2010 CHRY,SEB,Passenger
202001014183,1,2019 NISS,ALT,Passenger
202001014194,1,2018 SUBA,FOR,Passenger
202001014220,2,2016 CHEV,SPK,Passenger
202001014352,1,2006 PORS,CYN,Passenger
202001015177,2,2005 CHRY,TNC,Van/Mini-Van
202001015248,2,2013 DODG,DUR,Passenger
202001015289,1,1998 MAZD,PRO,Passenger
202001014848,1,2007 HOND,VXL,Passenger
202001015154,1,2011 BMW ,32I,Passenger
202001015427,3,2010 NISS,ALT,Passenger
202001014848,3,2004 TOYT,RAV,Passenger
202001015154,2,2019 (UNK),(UNK),SUV
202001015378,1,2005 CHEV,MUL,Passenger
202001015553,1,2004 CHEV,BLZ,SUV
202001015754,1,2014 CADI,CTS,SUV
202001015177,1,2018 HOND,CIV,Passenger
202001015248,1,2005 CHEV,CBT,Passenger
202001015682,1,2018 DODG,DUR,Passenger
202001015682,2,2018 FORD,XPL,SUV
202001015902,1,2013 CHRY,200,Passenger
202001015933,2,2013 PTRB,386,Single Unit Truck with Trailer
202001015427,1,2015 FORD,(UNK),Truck Single Unit
202001016238,1,2018 MAZD,(UNK),SUV
202001015902,3,2013 NISS,RGE,Passenger
202001016085,1,2017 TOYT,SQA,SUV
202001016304,1,2015 CHEV,EQX,SUV
202001016056,1,(UNK) VOLV,V70,Passenger
202001015833,1,2016 JEEP,WRG,Passenger
202001010174,1,2006 AUDI,AA4,Passenger
202001015811,1,2010 DODG,AVN,Passenger
202001016085,2,2018 FORD,XPL,SUV
202001016529,1,2015 TOYT,CAM,Passenger
202001016529,2,2014 CHEV,CRZ,Passenger
202001016820,2,2013 BUIC,VER,Passenger
202001016754,1,2006 TOYT,COA,Passenger
202001016238,2,2015 TOYT,PRI,Passenger
202001016974,1,2004 TOYT,CAM,Passenger
202001016974,2,2011 BUIC,LCR,Passenger
202001017102,1,2015 NISS,VRS,Passenger
202001017070,1,(UNK) FORD,EC3,Other
202001017102,2,1998 TOYT,RAV,SUV
202001017102,3,2019 HOND,ACC,Passenger
202001017282,2,2017 CHEV,EXP,Van/Mini-Van
202001017282,3,2015 FORD,TAU,Passenger
202001017282,1,2004 CHEV,TBZ,SUV
202001017324,1,2017 FRHT,TK ,Truck Single Unit
202001017475,1,2007 CADI,ESL,SUV
202001017526,1,2004 FORD,MUS,Passenger
202001017577,1,2000 TOYT,CAM,Passenger
202001016754,2,2015 KIA ,FRT,Passenger
202001017730,1,(UNK) UNKN,(UNK),Unknown
202001017526,2,2007 WSTR,(UNK),Tractor With Semi-Trailer
202001016931,1,1999 JEP ,(UNK),Passenger
202001016931,2,2018 DODG,CHL,Passenger
202001017699,2,2017 SUBA,WRX,Passenger
202001010174,2,2014 TOYT,CAM,Passenger
202001017916,2,2019 VOLK,GOL,Passenger
202001017475,2,2017 FRHT,TK ,Tractor With Semi-Trailer
202001018447,1,2010 NISS,(UNK),Passenger
202001018462,1,2008 TOYT,RAV,SUV
202001018496,3,2013 HOND,ACC,Passenger
202001018496,1,1994 MERC,GRA,Passenger
202001018326,1,2004 HOND,ODY,Van/Mini-Van
202001018496,2,2001 MAZD,PRO,Passenger
202001018394,1,2016 CHRY,TNC,Van/Mini-Van
202001018614,1,2014 DODG,JNY,Passenger
202001018462,2,2016 FORD,XPL,SUV
202001018824,1,2011 CHEV,CAM,Passenger
202001017782,1,(UNK) UNKN,(UNK),Unknown
202001018352,2,2012 (UNK),(UNK),Passenger
202001018447,2,2016 HYUN,SON,Passenger
202001019015,4,2010 TOYT,COA,Passenger
202001019015,2,2019 TOYT,CAM,Passenger
202001019015,3,2013 HOND,ACC,Passenger
202001019062,1,2002 BMW ,X5 ,SUV
202001019155,3,2014 BMW ,535,Passenger
202001018596,1,2001 DODG,RAM,Pickup
202001019155,1,2013 SUZI,(UNK),Passenger
202001019385,1,2005 CHEV,IMP,Passenger
202001018352,1,2015 CHEV,(UNK),Passenger
202001019556,1,2016 (UNK),(UNK),Passenger
202001019556,2,2013 LNDR,(UNK),SUV
202001019563,1,1989 DODG,TK ,Pickup
202001019756,2,2014 NISS,ALT,Passenger
202001019155,2,2020 MACK,TK ,Other
202001019887,1,2013 CHEV,IMP,Passenger
202001019702,1,2015 NISS,RGE,Passenger
202001019702,2,2015 JEP ,PAT,Passenger
202001019756,1,1997 STRN,SC1,Passenger
202001020310,2,2009 NISS,VRS,Passenger
202001020371,1,2011 BUIC,LCR,Passenger
202001020371,2,2008 CHEV,CLD,Passenger
202001020384,1,(UNK) UNKN,(UNK),Passenger
202001019015,1,1996 GMC ,JIM,Passenger
202001019892,2,2016 JEEP,CHK,SUV
202001019211,1,1998 OLDS,8LS,Passenger
202001019211,2,2018 FORD,FOC,Passenger
202001020310,1,2007 JEEP,LBY,SUV
202001020325,1,2002 JEEP,LBY,SUV
202001019779,1,1998 OLDS,8LS,Passenger
202001019779,2,2016 TOYT,CAM,Passenger
202001019779,3,1999 HOND,ACC,Passenger
202001019624,1,2003 FORD,RNG,Pickup
202001020816,1,2009 CHEV,EQX,Passenger
202001019813,1,2001 FORD,F15,Pickup
202001020152,2,2013 HOND,CIV,Passenger
202001020892,1,2004 CHEV,IMP,Passenger
202001019887,2,2008 FORD,F25,Pickup
202001019892,1,2005 CHEV,CLD,Pickup
202001019902,1,2007 DODG,CAL,Passenger
202001020568,1,2004 DODG,DUR,SUV
202001020568,2,2014 NISS,ARM,SUV
202001020372,1,2001 CHEV,BLZ,Passenger
202001020981,2,2010 VOLV,XC6,Passenger
202001020372,2,2020 FRHT,TK ,Truck Single Unit
202001020801,1,2004 HOND,CRV,SUV
202001020861,1,2006 GMC ,ENV,SUV
202001020942,1,2007 CHEV,HHR,SUV
202001020152,1,2002 AUDI,AA4,Passenger
202001021189,1,2010 KIA ,SOL,Passenger
202001020981,1,2014 JEP ,PAT,SUV
202001021008,3,2014 FORD,MUS,Passenger
202001021299,1,2004 NISS,SEN,Passenger
202001020876,1,1994 CHEV,CAM,Passenger
202001021216,1,1989 FORD,F15,Pickup
202001021361,1,2019 FORD,(UNK),Truck Single Unit
202001020604,1,2006 CHEV,IMP,Passenger
202001020942,2,2006 CHEV,HHR,SUV
202001021086,1,2014 JEP ,(UNK),Passenger
202001021454,1,2006 DODG,CVN,Van/Mini-Van
202001021454,2,2015 HOND,CIV,Passenger
202001020801,2,2000 FORD,XPL,SUV
202001020816,2,2011 HYUN,UNK,Passenger
202001020828,3,2019 CHRY,30T,Passenger
202001021352,2,2004 CHEV,CLA,Passenger
202001021625,2,2001 CHEV,C35,Pickup
202001021375,1,2005 TOYT,CAM,Passenger
202001020915,2,2013 NISS,JUK,SUV
