crash_id,veh_num,age,sex,injury_severity,person_type
202301213771,2,1,M,0.0,7
202301325959,1,43,F,0.0,1
202301325959,2,53,M,3.0,3
202301325973,1,99,U,0.0,1
202301325973,1,26,F,0.0,7
202301325973,1,18,F,2.0,7
202301325973,1,15,M,3.0,7
202301235326,1,99,U,0.0,1
202301235326,2,40,F,3.0,1
202301235326,2,35,M,0.0,7
202301281792,1,23,M,3.0,1
202301281792,2,23,F,0.0,1
202301281792,2,15,M,0.0,7
202301281797,1,50,M,2.0,1
202301281797,2,43,M,3.0,1
202301281817,1,46,M,3.0,1
202301283581,1,81,F,2.0,1
202301283581,2,61,M,1.0,1
202301283581,2,68,F,2.0,7
202301283581,2,75,M,4.0,7
202301283581,3,51,M,0.0,1
202301283581,3,68,M,1.0,7
202301283581,3,53,M,2.0,7
202301214008,1,55,M,3.0,2
202301214008,2,47,F,0.0,1
202301214054,1,99,M,3.0,1
202301214054,2,27,M,2.0,1
202301214054,3,41,M,0.0,1
202301214070,1,89,F,3.0,1
202301214070,2,83,F,0.0,1
202301214070,3,51,M,3.0,1
202301326090,1,61,M,0.0,1
202301326090,1,9,M,0.0,7
202301326090,1,7,F,0.0,7
202301326090,2,63,M,3.0,1
202301326090,2,63,F,2.0,7
202301326090,2,10,F,1.0,7
202301326089,1,23,M,3.0,1
202301326110,1,61,M,3.0,2
202301326110,2,33,F,0.0,1
202301326110,2,36,F,0.0,7
202301326119,1,99,U,0.0,1
202301326119,2,60,M,3.0,2
202301326127,1,32,F,3.0,1
202301326127,1,4,M,0.0,7
202301326127,1,2,M,0.0,7
202301054070,1,61,F,0.0,1
202301054070,2,77,M,3.0,1
202301054070,2,73,F,0.0,7
202301054098,1,44,M,0.0,1
202301054098,2,80,F,3.0,2
202301054098,3,36,F,0.0,1
202301064488,1,50,M,4.0,1
202301064488,2,47,M,4.0,1
202301253103,1,75,M,3.0,1
202301253103,2,65,M,0.0,1
202301268676,1,57,M,3.0,1
202301268676,2,65,M,3.0,1
202301268676,2,63,F,1.0,7
202301268676,2,31,M,1.0,7
202301268676,2,10,M,1.0,7
202301268676,2,12,M,1.0,7
202301223187,1,83,F,4.0,1
202301223187,2,64,M,2.0,1
202301213986,1,46,M,0.0,1
202301213986,2,41,F,3.0,1
202301213986,2,15,F,2.0,7
202301014102,1,51,M,3.0,1
202301014102,2,55,M,0.0,1
202301014103,1,42,M,0.0,1
202301014103,2,31,F,3.0,2
202301214220,1,57,M,3.0,1
202301151255,1,35,M,3.0,1
202301151255,1,43,M,3.0,7
202301151255,2,29,M,0.0,1
202301151263,1,39,F,2.0,1
202301151263,1,39,M,3.0,7
202301151479,1,21,M,3.0,1
202301151479,1,25,M,3.0,7
202301151479,2,66,F,4.0,1
202301151305,1,24,F,3.0,1
202301151305,2,20,F,0.0,1
202301151444,1,26,M,3.0,1
202301151507,1,27,M,2.0,1
202301151507,2,42,M,2.0,1
202301151507,2,45,F,3.0,7
202301151517,1,40,M,3.0,1
202301151517,2,30,F,3.0,1
202301415130,1,76,M,0.0,1
202301415130,2,34,M,3.0,2
202301173289,1,36,M,4.0,3
202301173289,2,50,M,0.0,1
202301152925,1,17,M,3.0,1
202301152929,1,43,M,3.0,1
202301152929,2,43,M,0.0,1
202301152929,1,36,F,0.0,7
202301152938,1,70,M,3.0,1
202301014154,1,23,M,3.0,1
202301014159,1,99,U,0.0,1
202301014159,2,50,M,3.0,3
202301431611,1,33,M,2.0,1
202301431611,2,26,F,3.0,1
202301431613,1,28,F,3.0,1
202301431613,2,26,M,0.0,1
202301269136,1,60,M,3.0,2
202301269136,2,69,M,0.0,1
202301343434,3,20,M,4.0,2
202301343434,2,20,M,0.0,7
202301343434,1,67,M,2.0,1
202301065675,1,76,M,3.0,1
202301065687,1,69,F,3.0,1
202301329767,1,27,M,0.0,1
202301329767,2,24,F,3.0,1
202301329780,1,18,M,0.0,1
202301329780,2,69,M,3.0,1
202301321826,1,20,F,3.0,1
202301321826,1,18,M,3.0,7
202301301906,1,28,M,0.0,1
202301301906,2,28,M,3.0,1
202301301918,1,58,F,3.0,1
202301301918,2,99,M,0.0,1
202301301918,3,99,F,0.0,1
202301253636,1,60,F,0.0,1
202301253636,2,36,F,3.0,1
202301235622,1,24,M,3.0,1
202301235622,2,29,F,0.0,1
202301235622,2,99,F,0.0,7
202301235622,2,99,M,0.0,7
202301235641,1,19,M,3.0,1
202301235641,1,17,F,3.0,7
202301246802,1,56,M,4.0,1
202301246802,2,29,F,0.0,1
202301246802,2,2,M,0.0,7
202301235655,1,54,M,3.0,1
202301239570,1,99,U,0.0,1
202301239570,2,62,M,3.0,1
202301246688,1,47,F,0.0,1
202301246688,2,47,F,4.0,2
202301434558,1,38,F,3.0,1
202301434558,2,21,M,2.0,1
202301434558,2,20,F,2.0,7
202301434558,2,9,F,3.0,7
202301326278,1,54,M,3.0,3
202301326278,2,24,M,0.0,1
202301253567,1,32,M,3.0,1
202301253567,2,87,F,1.0,1
202301253569,1,28,M,2.0,1
202301253569,1,42,F,3.0,7
202301253569,1,45,F,3.0,7
202301253569,2,36,F,2.0,1
202301329712,1,54,M,4.0,1
202301315808,1,81,F,3.0,1
202301315808,2,19,M,1.0,1
202301315815,1,55,M,3.0,1
202301214549,1,39,M,3.0,1
202301214549,2,36,F,3.0,1
202301214549,2,0,M,1.0,7
202301235604,1,49,M,3.0,1
202301235604,2,38,M,0.0,1
202301246819,2,21,F,0.0,1
202301246819,2,18,F,0.0,7
202301235872,1,99,U,0.0,1
202301235872,2,42,M,3.0,1
202301235883,1,25,M,0.0,1
202301235883,2,44,F,3.0,1
202301235892,1,56,M,3.0,2
202301235892,2,19,M,0.0,1
202301329640,1,22,F,3.0,1
202301038237,1,99,U,0.0,1
202301038237,2,57,F,3.0,2
202301329890,1,23,F,3.0,1
202301329890,2,54,F,3.0,1
202301329891,1,24,M,0.0,1
202301329891,2,26,M,3.0,1
202301329891,1,21,M,0.0,7
202301329891,2,25,M,0.0,7
202301329908,1,39,M,3.0,1
202301329908,1,27,M,3.0,7
202301292840,1,64,M,3.0,1
202301292840,2,29,F,0.0,1
202301292840,1,60,M,2.0,7
202301292840,1,23,F,2.0,7
202301292840,1,24,M,2.0,7
202301292840,3,50,M,2.0,1
202301292840,4,32,M,0.0,1
202301292853,1,65,M,3.0,1
202301253485,1,28,M,2.0,1
202301253485,2,36,F,3.0,1
202301253485,2,5,F,3.0,7
202301253485,2,4,F,0.0,7
202301253493,1,47,M,3.0,1
202301253493,1,15,M,3.0,7
202301214456,1,14,M,3.0,1
202301214456,2,33,M,0.0,1
202301214465,1,33,F,0.0,1
202301214465,1,35,F,0.0,7
202301214465,1,13,F,0.0,7
202301214465,2,99,M,3.0,1
202301246819,1,27,F,4.0,2
202301023137,1,51,M,2.0,1
202301023137,2,19,M,3.0,1
202301023161,1,42,M,3.0,1
202301309589,2,36,M,0.0,1
202301309589,2,99,F,0.0,7
202301309589,2,99,F,0.0,7
202301329807,1,60,M,0.0,1
202301329807,2,40,M,3.0,2
202301329809,1,30,M,3.0,1
202301329809,1,29,M,2.0,7
202301329811,1,20,F,3.0,1
202301329819,1,34,M,3.0,1
202301329827,1,66,M,3.0,1
202301329827,2,16,F,1.0,1
202301329856,1,21,M,0.0,1
202301329856,2,53,M,3.0,3
202301292796,1,60,M,3.0,1
202301292801,1,86,M,4.0,1
202301292801,2,31,M,2.0,1
202301292801,2,20,M,0.0,7
202301359070,1,20,F,4.0,2
202301359070,2,13,M,4.0,2
202301359070,3,32,M,0.0,1
202301359070,3,6,F,0.0,7
202301359070,3,3,M,0.0,7
202301350246,1,41,M,0.0,1
202301350246,2,60,M,3.0,1
202301350246,3,54,M,0.0,1
202301268856,1,41,M,3.0,1
202301214440,1,26,M,0.0,1
202301214440,1,23,F,0.0,7
202301214440,2,20,M,0.0,1
202301214440,2,19,F,3.0,7
202301214444,1,38,M,3.0,1
202301214660,1,24,F,3.0,1
202301214660,2,44,M,3.0,1
202301246760,1,18,M,3.0,1
202301246760,1,17,F,3.0,7
202301246760,2,37,M,4.0,1
202301246760,2,12,M,3.0,7
202301023077,1,32,F,3.0,1
202301023077,1,46,F,3.0,7
202301023077,1,35,M,2.0,7
202301027668,1,33,F,2.0,1
202301027668,1,0,M,2.0,7
202301027668,1,5,F,2.0,7
202301027668,2,20,M,0.0,1
202301027668,3,42,F,4.0,1
202301045068,1,99,U,3.0,1
202301045068,1,31,M,3.0,7
202301045068,1,32,M,3.0,7
202301045068,1,28,M,4.0,7
202301045068,2,32,M,1.0,1
202301045068,3,32,M,1.0,1
202301045068,3,30,F,3.0,7
202301038058,1,56,M,3.0,1
202301038113,1,42,M,3.0,1
202301309589,1,23,M,0.0,1
202301309589,1,99,M,3.0,7
202301292714,1,73,M,3.0,1
202301292714,2,29,M,3.0,1
202301292714,2,31,M,2.0,7
202301292728,1,75,F,3.0,1
202301292728,2,36,F,0.0,1
202301292751,1,55,F,3.0,1
202301292751,2,54,M,4.0,1
202301292751,2,56,F,4.0,7
202301292751,3,30,M,0.0,1
202301292751,4,67,F,0.0,1
202301292751,3,14,M,0.0,7
202301292751,3,15,M,0.0,7
202301292751,4,67,M,0.0,7
202301340959,1,35,M,0.0,1
202301340959,2,58,M,4.0,1
202301326237,1,33,F,3.0,1
202301326239,1,99,M,3.0,1
202301326239,2,99,M,1.0,1
202301315969,1,38,M,0.0,1
202301315969,1,43,F,0.0,7
202301315969,2,29,M,3.0,5
202301316027,1,99,U,3.0,1
202301214366,1,37,F,0.0,1
202301214366,1,32,M,0.0,7
202301214366,3,63,M,3.0,2
202301346148,1,16,M,2.0,1
202301346148,2,31,M,3.0,1
202301346148,3,31,M,0.0,1
202301214623,1,56,M,3.0,1
202301214623,2,40,M,0.0,1
202301022968,1,25,F,2.0,1
202301022968,1,8,F,0.0,7
202301022968,2,51,M,3.0,1
202301309466,1,59,F,3.0,1
202301309466,2,66,F,3.0,1
202301292663,1,45,M,1.0,1
202301292663,1,42,M,3.0,7
202301292663,2,65,M,0.0,1
202301292663,2,15,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,65,M,0.0,7
202301292663,2,47,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,16,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,14,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,2,13,M,0.0,7
202301292663,2,16,M,0.0,7
202301292663,2,15,M,0.0,7
202301292663,3,74,F,1.0,1
202301292664,1,43,M,4.0,3
202301292664,2,27,M,0.0,1
202301292664,2,22,M,0.0,7
202301303790,1,18,M,4.0,1
202301253968,1,49,M,3.0,1
202301253968,2,54,M,3.0,1
202301292871,1,51,M,3.0,1
202301292871,1,49,F,3.0,7
202301292892,1,90,F,4.0,1
202301292904,1,99,M,4.0,3
202301292904,2,22,M,0.0,1
202301292904,2,21,M,0.0,7
202301303745,1,19,M,0.0,1
202301303745,2,76,F,4.0,1
202301303745,3,72,F,1.0,1
202301303745,3,2,M,0.0,7
202301316099,1,34,M,3.0,1
202301214295,1,24,M,0.0,1
202301214295,1,25,F,3.0,7
202301214295,1,22,F,2.0,7
202301214295,1,20,M,2.0,7
202301309191,1,42,M,0.0,1
202301309191,2,59,M,3.0,1
202301309191,2,59,M,0.0,7
202301309191,3,74,M,3.0,1
202301309191,4,70,M,0.0,1
202301309211,1,26,F,3.0,1
202301321876,1,31,M,4.0,1
202301346145,1,63,M,3.0,1
202301065774,1,84,M,3.0,3
202301065774,2,27,M,0.0,1
202301065805,1,19,M,3.0,1
202301065805,2,36,F,0.0,1
202301065831,1,25,M,3.0,1
202301065831,1,23,F,0.0,7
202301065831,2,20,F,3.0,1
202301316182,1,65,M,3.0,1
202301316189,1,35,M,0.0,1
202301316189,2,18,M,3.0,3
202301271664,2,27,M,0.0,7
202301271664,2,4,U,0.0,7
202301271664,2,25,U,0.0,7
202301316972,1,17,F,3.0,1
202301316972,1,16,F,4.0,7
202301316972,1,17,F,4.0,7
202301316972,1,16,F,3.0,7
202301316972,2,24,M,1.0,1
202301322175,1,58,M,4.0,1
202301322175,1,65,M,3.0,7
202301311944,1,40,M,3.0,1
202301311944,2,53,F,0.0,1
202301311944,2,15,M,0.0,7
202301153644,1,32,M,0.0,1
202301153644,2,25,F,3.0,3
202301153650,1,81,F,3.0,1
202301153650,2,39,M,0.0,1
202301154120,1,99,F,0.0,1
202301154120,2,38,M,3.0,3
202301154123,1,82,M,3.0,1
202301154123,1,77,M,0.0,7
202301154123,2,42,F,3.0,1
202301154145,1,26,M,3.0,1
202301416746,2,29,F,3.0,2
202301416753,1,87,F,3.0,1
202301416785,1,37,M,3.0,1
202301417391,1,24,M,0.0,1
202301417391,1,25,M,0.0,7
202301417391,2,33,M,0.0,1
202301417391,2,35,M,3.0,7
202301417391,2,32,F,3.0,7
202301417402,1,31,F,2.0,1
202301417402,1,36,M,0.0,7
202301417402,1,40,M,0.0,7
202301417402,2,68,F,3.0,1
202301417402,3,28,M,0.0,1
202301417402,3,29,M,0.0,7
202301417518,1,20,F,3.0,1
202301417528,1,63,M,0.0,1
202301417528,2,21,M,3.0,1
202301417533,1,37,M,3.0,1
202301417533,1,37,F,3.0,7
202301417533,2,26,M,0.0,1
202301417533,3,65,M,0.0,1
202301155570,1,99,U,0.0,1
202301155570,2,99,U,0.0,1
202301155570,2,22,F,3.0,7
202301155757,1,27,M,0.0,1
202301155757,2,53,F,3.0,1
202301155757,2,40,M,3.0,7
202301155791,1,47,F,3.0,1
202301155807,1,99,F,0.0,1
202301155807,2,41,F,3.0,1
202301155807,3,99,M,0.0,1
202301016861,1,39,M,1.0,1
202301016861,1,12,F,4.0,7
202301016861,1,32,F,1.0,7
202301016861,1,4,F,1.0,7
202301023213,1,25,F,3.0,1
202301023213,2,30,M,0.0,1
202301023213,2,30,F,0.0,7
202301432420,1,21,F,0.0,1
202301432420,2,30,F,4.0,2
202301431743,1,32,F,0.0,1
202301431743,2,51,F,3.0,1
202301431743,2,32,F,0.0,7
202301431744,1,36,M,0.0,1
202301431744,2,38,M,2.0,1
202301431744,2,38,F,3.0,7
202301431761,1,47,M,3.0,1
202301431761,1,45,M,3.0,7
202301343462,2,3,F,0.0,7
202301343462,3,57,M,3.0,1
202301343465,1,64,F,0.0,1
202301343465,2,57,F,3.0,1
202301343465,2,58,M,3.0,7
202301343465,3,59,M,0.0,1
202301343465,3,51,F,0.0,7
202301343465,3,66,F,0.0,7
202301335876,1,99,U,0.0,1
202301335876,2,34,M,3.0,1
202301335920,1,51,M,3.0,1
