crash_id,veh_num,make,model,body_type
201901013484,2,2014 KIA ,SOR,SUV
201901014553,2,2014 ACUR,RDX,SUV
201901014614,1,2004 CHEV,EXT,Passenger
201901014614,2,2014 CHEV,IMP,Passenger
201901013642,2,2016 FORD,XPL,SUV
201901014006,1,2002 BMW ,(UNK),Passenger
201901013937,1,2007 CHEV,IMP,Passenger
201901014050,1,2015 LINC,MKS,Passenger
201901014050,2,2017 (UNK),(UNK),Truck Single Unit
201901014233,2,2017 NISS,RGE,Passenger
201901014332,1,(UNK) TOYT,CAM,Passenger
201901014373,2,2018 HYUN,ELN,Passenger
201901014391,1,1998 TOYT,CAM,Passenger
201901014353,2,2018 NISS,ALT,Passenger
201901014373,1,2004 TOYT,CAM,Passenger
201901014373,3,2008 TOYT,RAV,SUV
201901014186,1,2014 MAZD,CX9,SUV
201901014553,1,2014 CHEV,MAL,Passenger
201901015470,1,2002 FORD,XPL,SUV
201901014416,1,2018 TESL,(UNK),Passenger
201901014416,2,2013 FORD,XPL,SUV
201901015097,2,2017 (UNK),(UNK),Passenger
201901014499,2,2017 DODG,JNY,Passenger
201901014626,1,2008 LNDR,(UNK),SUV
201901014626,2,2009 NISS,PTH,SUV
201901014553,3,2015 HOND,ODY,Van/Mini-Van
201901014353,1,2000 FORD,EPD,SUV
201901014935,1,1998 TOYT,SNA,Unknown
201901015062,1,2001 FORD,XPL,SUV
201901015569,1,2005 DODG,CVN,Van/Mini-Van
201901015113,1,2004 FORD,RNG,Pickup
201901014878,1,2010 GMC ,TER,SUV
201901015004,1,2004 DODG,RAM,Pickup
201901015242,2,2016 TOYT,SNA,Van/Mini-Van
201901015097,1,2006 BMW ,75L,Passenger
201901015878,1,2003 HOND,ACC,Passenger
201901015271,1,2005 AUDI,AA6,Passenger
201901015302,2,2003 FORD,ESC,Passenger
201901015449,2,2013 GMC ,TER,Passenger
201901015242,1,2008 KIA ,RON,Van/Mini-Van
201901016128,1,2016 ACUR,MDX,Passenger
201901016153,1,2004 LINC,TOC,Passenger
201901015271,2,2010 CHEV,EQX,Passenger
201901015302,1,2017 DODG,JNY,Passenger
201901016456,1,2011 JAGU,XF ,Passenger
201901016321,2,2005 CHEV,MUL,Passenger
