id,vehicle_number,position,occupant_number,age,sex,condition
20080101I-2008-000992,1,01,1,30,M,02
20080101I-2008-000992,2,01,2,54,M,  
20080101I-2008-013622,1,01,1,72,M,  
20080101I-2008-013622,1,03,2,67,F,  
20080101I-2008-013622,2,01,3,75,M,02
20080101I-2008-013622,2,03,4,72,F,02
20080101I-2008-013622,3,01,5,60,M,03
20080101I-2008-013622,3,03,6,60,F,03
20080101I-2008-015520,1,01,1,57,F,  
2008010208-000890,1,01,1,40,M,02
2008010208-029128,1,01,1,28,M,  
2008010208-049914,1,01,1,24,F,  
2008010208-049914,1,03,2,18,M,  
2008010208-051766,1,01,1,32,F,03
2008010208-051766,2,01,2,79,M,04
2008010208-051766,2,03,3,43,F,03
2008010208-051766,2,04,4,4,F,02
2008010208-059535,1,01,1,23,M,  
2008010208-059535,2,01,2,54,M,02
2008010208-063708,1,01,1,49,M,02
2008010208-087177,1,01,1,41,M,  
2008010208-087177,1,04,2,30,M,  
2008010208-087177,1,06,3,30,F,  
2008010208-087177,2,01,4,18,M,02
2008010208-090136,1,01,1,29,M,04
2008010208-090136,1,03,2,29,M,02
2008010208-090136,1,04,3,23,F,03
2008010208-092410,1,01,1,56,M,  
2008010208-092410,1,04,2,22,M,  
2008010208-092410,1,07,3,37,M,  
2008010208-115539,1,01,1,60,M,  
2008010208-11638,1,01,1,43,M,04
2008010208-11638,2,01,2,78,F,02
2008010208-11638,2,03,3,14,F,03
2008010208-117469,1,01,1,22,M,04
2008010208-117469,2,01,2,49,F,  
2008010208-117469,2,03,3,64,F,04
2008010208-117469,2,04,4,45,F,02
2008010208-148904,1,01,1,48,M,  
2008010208-154165,1,01,1,18,F,  
20080102A160-2008-00046A,1,01,1,27,M,02
20080103I-2008-04959,1,01,1,51,M,02
20080104I-2008-00550,1,01,1,36,M,02
20080104I-2008-00550,2,01,2,21,M,02
20080104I-2008-00550,2,03,3,18,F,02
20080104I-2008-01558,1,01,1,45,F,04
20080104I-2008-01558,2,01,2,82,F,02
20080104I-2008-06114,1,01,1,60,F,02
20080104I-2008-06114,2,01,2,54,M,  
20080105A090-2008-00016P,1,  ,1,57,F,02
20080105A090-2008-00016P,1,01,2,55,M,  
20080105A090-2008-00090A,1,01,1,61,M,02
20080105A090-2008-00090A,1,06,2,61,M,04
20080105A090-2008-00102A,1,01,1,27,F,04
20080105A090-2008-00102A,1,03,2,27,M,  
20080105A090-2008-00102A,2,01,3,19,M,  
20080105A090-2008-00102A,2,03,4,18,F,02
20080105A090-2008-00102A,2,04,5,14,F,  
20080105A090-2008-00102A,2,05,6,13,F,  
20080105A090-2008-00102A,2,06,7,16,F,  
20080105A090-2008-00277A,1,01,1,36,M,04
20080105A090-2008-00277A,1,03,2,17,M,04
20080105A090-2008-00277A,2,01,3,26,M,02
20080105A090-2008-00277A,2,03,4,49,M,04
20080105A090200800206,1,01,1,86,M,  
