id,vehicle_number,year,make,model,hit_run
2008026508-1426,1,1999,CHEVROLET,3500, 
2008026508-5879,1,2004,BMW,325, 
200802672008-008474,1,2000,ISUZU,WAGON, 
200802672008-014577,1,2000,TOYOTA,4 DR, 
200802672008-017002,1,2007,LEXUS,4 DR, 
200802672008-017420,1,1999,TOYOTA,COR, 
2008027008-04157,1,1999,FORD,VAN, 
20080303200827760,1,1998,CHEVROLET,P/U, 
20080303200827760,2,1997,FORD,TBIRD, 
200803042008-26850,1,2007,TOYOTA,FJ, 
200803042008-26850,2,1984,FORD,PKUP, 
200803042008-31668,1,2003,MITSUBISHI,LANCER, 
200803042008-5943,1,1996,NISSAN,SENTRA, 
200803042008-5943,2,2004,SUBARU,IMPREZA, 
20080304200811287,1,1987,SATURN,SL2, 
20080304200811287,2,2000,DODGE,TRUCK, 
20080304200811885,1,1995,TOYOTA,4RU, 
2008030508-14026,1,2006,CHRYSLER,SEBRING, 
2008030513-08,1,2004,NISSAN,, 
2008030513-08,2,1998,CHEVROLET,, 
2008030513-08,3,2005,FORD,TK, 
2008030513-08,4,1997,FORD,TK, 
200803052008-12921,1,2006,PONTIAC,G 6, 
200803052008-21886,1,1997,TOYOTA,AVALON, 
200803052008-21886,2,1997,OLDS,SILOUQUETTE, 
200803062008-022124,1,2007,FREIGHTLINER,CENTURY S/7, 
200803062008-11310,1,2006,STERLING,LT, 
200803062008-14296,1,1997,CHEVROLET,CAVALIER, 
200803062008-14296,2,2006,HONDA,ACCORD, 
200803062008-18925,1,2004,NISSAN,MAXIMA, 
200803062008-18925,2,1994,NISSAN,ALTIMA, 
200803062008-18925,3,2001,VOLKSWAGEN,JETTA, 
200803062008-19701,1,2003,TOYOTA,HIGHLANDER, 
200803062008-19701,2,2007,HONDA,CBR600RR, 
200803062008-21336,1,2006,JEEP,GRAND CHEROKEE,Y
2008030708-075,1,2001,TOYOTA,CAMRY, 
2008030708-081,1,2003,NISSAN,MAXIMA, 
2008030838003-08,1,2002,ACURA,4 DR, 
2008030838091-08,1,1997,CHEVROLET,PKUP, 
2008030838183-08,1,2007,FORD,4 DR., 
200803102008-0224,1,1998,HONDA,CIVIC, 
20080310200809909,1,2002,KAWASAKI,, 
20080310200810637,1,2001,PONTIAC,AZTEK, 
20080310200810637,2,1996,JEEP,, 
20080310200810637,3,2003,BUICK,LESABRE, 
20080311200801921,1,2008,MERCURY,MARQUIS, 
20080311200801921,2,2005,MAZDA,, 
20080311200803597,1,2003,DODGE,, 
20080311200803597,2,1996,FORD,ASPIRE, 
20080311200804174,1,1994,EAGLE,, 
20080312002-08,1,2001,MERCURY,GRAN MAR., 
20080312002-08,2,1998,CHEVROLET,CAVALIER, 
20080312082-08,1,1996,VOLKSWAGEN,JETTA, 
20080312126-08,1,2004,FORD,EXP,Y
2008031308-13620,1,1999,HONDA,400ER, 
2008031308-15907,1,1995,FORD,4DR, 
2008031308-15907,2,2006,BMW,WON, 
2008031308-16771,1,0   ,HONDA,ATV, 
2008031308-21937,1,2002,HONDA,4 DR, 
2008031308-21937,2,1998,MACK,TRK, 
2008031308-22921,1,1998,CHEVROLET,WAGON, 
200803132008-14041,1,2006,FORD,VAN, 
200803132008-21994,1,1994,DODGE,PKUP, 
200803132008-21994,2,2000,MITSUBISHI,MON, 
200803132008-37,1,2006,TOYOTA,RAV, 
200803132008-37,2,2006,YAMAHA,MC, 
200803152008-1838,1,2003,CHEVROLET,BLAZER, 
200803152008-5981,1,1997,TOYOTA,COROLLA, 
200803152008-5981,2,2002,TOYOTA,AVALON, 
200803152008-6057,1,2003,GWM,4X2, 
20080315C020-2008-0196A,1,1988,FORD,BRONCO, 
20080316C020-2008-00515A,1,1989,FORD,PKUP, 
20080316C020-2008-00515A,2,1997,GMC,WAGON, 
20080316C020200800447A,1,1997,OLDS,CUTLASS, 
2008031703-1066-08,1,2002,SATURN,SL2, 
2008031706-1174-08,1,2003,HONDA,MC, 
2008031706-1174-08,2,2003,HYUNDAI,ELANTRA, 
2008031706-1174-08,3,2001,FORD,TAURUS, 
20080318MVA-08-4608,1,1998,TRIUMPH,T595 (MC), 
20080318MVA-08-4608,2,2002,FORD,FOCUS, 
20080318MVA-08-6992,1,2004,TOYOTA,AVALON, 
20080318MVA08-3162,1,2005,FORD,E 150, 
20080318MVA08-3162,2,2000,CHEVROLET,S-10 PICKUP, 
2008031908-8836,1,2005,MERCURY,SABLE, 
200803192008-13927,1,2007,TOYOTA,SCION, 
200803202008-10923,1,2003,JEEP,GR.CHEROKEE, 
200803202008-412,1,2001,KIA,SPECTRA, 
