id,vehicle_number,position,occupant_number,age,sex,condition
20090101I-2009-013536,1,01,1,27,F,02
2009010209-020066,1,01,1,74,M,02
2009010209-020066,2,01,2,39,M,  
2009010209-020066,2,03,3,31,F,04
2009010209-024999,1,01,1,, ,  
2009010209-039386,1,01,1,56,M,  
2009010209-039386,2,01,2,22,F,02
2009010209-039386,2,03,3,16,F,04
2009010209-044819,1,01,1,18,F,  
2009010209-044819,1,03,2,21,M,  
2009010209-046462,1,01,1,23,F,02
2009010209-046462,2,01,2,31,F,03
2009010209-046462,2,03,3,69,F,03
2009010209-046462,2,06,4,44,F,03
2009010209-058522,1,01,1,,M,  
2009010209-074576,1,01,1,35,M,  
2009010209-074576,2,01,2,48,F,02
2009010209-079311,1,01,1,21,M,  
2009010209-079311,1,03,2,21,M,  
2009010209-081539,1,01,1,24,F,  
2009010209-081539,1,03,2,14,F,  
2009010209-081539,1,06,3,2,M,  
2009010209-083084,1,01,1,25,M,02
2009010209-083084,1,03,2,24,F,02
2009010209-095088,1,01,1,26,F,  
2009010209-095088,2,05,2,19,F,02
2009010209-095534,1,01,1,54,M,  
2009010209-112575,1,01,1,81,M,  
2009010209-115586,2,01,1,,M,  
2009010209-121915,1,01,1,61,F,02
2009010209-121915,2,01,2,45,M,04
2009010209-127902,1,01,1,75,M,02
2009010209-128379,1,01,1,42,M,  
2009010209-143849,1,01,1,, ,  
2009010209-149100,1,01,1,52,M,  
2009010209-156322,1,01,1,35,M,  
20090102A160-2009-00085A,1,01,1,31,M,02
20090102A160-2009-00145A,1,01,1,19,M,02
20090102A160-2009-00145A,1,03,2,18,F,02
20090103I-2009-06054,1,01,1,66,M,  
20090103I-2009-09347,1,01,1,18,F,02
20090103I-2009-12617,1,01,1,62,M,  
20090105A090-2009-00117A,1,01,1,18,F,02
20090105A090-2009-00117A,1,03,2,17,F,03
20090105A090-2009-00117A,2,01,3,28,F,03
20090105A090-2009-00117A,2,03,4,31,M,03
20090106A090-2009-00181A,1,01,1,34,M,02
200901072009-1569,1,01,1,48,F,02
200901072009-1569,2,01,2,37,M,  
