id,vehicle_number,year,make,model,hit_run
20090101I-2009-013536,1,1999,KIA,SPORT, 
2009010209-020066,1,2008,HYUNDAI,ACCENT, 
2009010209-020066,2,2008,FORD,FUSION, 
2009010209-024999,1,0   ,,,Y
2009010209-039386,1,2006,LINCOLN,TWNCAR, 
2009010209-039386,2,2001,TOYOTA,COROLLA, 
2009010209-044819,1,2000,TOYOTA,CELICA, 
2009010209-046462,1,1993,BUICK,SKYLK, 
2009010209-046462,2,2006,SUZUKI,GRNVT, 
2009010209-058522,1,0   ,,,Y
2009010209-074576,1,2002,FORD,F350, 
2009010209-074576,2,1997,CHRYSLER,SEBRNG, 
2009010209-079311,1,1998,DODGE,DAKOTA, 
2009010209-081539,1,2007,DODGE,CALIBER, 
2009010209-083084,1,2009,HYUNDAI,SONATA, 
2009010209-083084,2,2001,DODGE,RAM, 
2009010209-083084,3,1996,HONDA,CIVIC, 
2009010209-095088,1,1999,TOYOTA,CAMRY, 
2009010209-095088,2,2007,RAZOR,MY102036, 
2009010209-095534,1,1994,FORD,RANGER,Y
2009010209-112575,1,1996,PONTIAC,GRNDAM, 
2009010209-115586,1,1993,SUBARU,LEGACY, 
2009010209-115586,2,0   ,JEEP,GRNCHK, 
2009010209-121915,1,1995,GMC,JIMMY, 
2009010209-121915,2,1994,CHEVROLET,CAPRICE, 
2009010209-127902,1,2005,BUICK,4 DR, 
2009010209-128379,1,2008,BMW,CONV, 
2009010209-143849,1,0   ,,,Y
2009010209-149100,1,2001,FORD,CRN VIC, 
2009010209-156322,1,1998,JEEP,GRAND CH, 
20090102A160-2009-00085A,1,1997,ACURA,3.0 CL, 
20090102A160-2009-00145A,1,1997,SATURN,SL, 
20090102A160-2009-00145A,2,2005,INTERNATIONAL,DUMP TRUCK, 
20090103I-2009-06054,1,2008,DODGE,DUR, 
20090103I-2009-09347,1,2003,NISSAN,ALT, 
20090103I-2009-09347,2,2000,DODGE,DUR, 
20090103I-2009-09347,3,2005,TOYOTA,4 RUNNER, 
20090103I-2009-12617,1,2008,KIA,SPORTAG, 
20090105A090-2009-00117A,1,2003,DODGE,NEON, 
20090105A090-2009-00117A,2,2003,CHEVROLET,TRAILBLAZER, 
20090106A090-2009-00181A,1,2003,HARLEY DAVIDSON,MC, 
200901072009-1569,1,2001,LEXUS,IS-3, 
200901072009-1569,2,2007,CHEVROLET,HHR, 
200901072009-2073,1,2003,CHRYSLER,VOY, 
