id,vehicle_number,year,make,model,hit_run
20110101I-2011-003834,1,2006,SATURN,VUE, 
20110101I-2011-003834,2,2004,LEXUS,330, 
20110101I-2011-022113,1,1999,YAMAHA,YZF-R6, 
20110101I-2011-803834,1,2006,SATURN,VUE, 
20110101I-2011-803834,2,2004,LEXUS,330, 
2011010211-010378,1,1997,TOYOTA,CAMRY, 
2011010211-010378,2,2004,SUZUKI,XL7, 
2011010211-024114,1,2011,CHEVROLET,IMP, 
2011010211-024202,1,2008,BMW,328I, 
2011010211-024202,2,2003,MITSUBISHI,GALANT, 
2011010211-026216,1,2003,FORD,EXP,Y
2011010211-036057,1,1995,TOYOTA,COROLLA, 
2011010211-045267,1,2007,BUICK,LACRS, 
2011010211-054922,1,2000,TOYOTA,COROLLA, 
2011010211-054922,2,0   ,,,Y
2011010211-069823,1,2004,CHEVROLET,IMPALA, 
2011010211-092962,1,1999,BUICK,CENTURY, 
2011010211-104590,1,2008,CHEVROLET,COBALT, 
2011010211-111232,1,1987,KAWASAKI,M/C, 
2011010211-140474,1,2007,LEXUS,GX4, 
20110102A160-2011-00608A,1,2008,BMW,335XI, 
20110102A160201100325A,1,2009,YAMAHA,R6, 
20110103I-2011-03340,1,2002,HYUNDAI,ACCENT, 
201101042011-4446,1,1997,DODGE,, 
201101042011-4446,2,1998,FORD,TAU, 
20110105A090-2011-00155A,1,2007,TOYOTA,SCION TC, 
20110105A090-2011-00155A,2,2007,CHEVROLET,IMPALA, 
2011010711-5578,1,2005,HARLEY DAVIDSON,FLSTNI MC, 
2011010711-5578,2,1996,OLDS,CIERA SL, 
2011010711-5578,3,2007,CHEVROLET,SILVERADO, 
2011010811-032027,1,2007,SUZUKI,H3N, 
2011010811-040996,1,2003,FORD,CROWN VIC, 
2011010811-040996,2,2005,CADILLAC,CTS, 
2011010811-047476,1,1986,HONDA,XR600L, 
2011010811-057365,1,2003,NISSAN,ALTIMA, 
2011010811-057365,2,2000,KIA,SPORTAGE, 
2011010811-29604,1,2006,PONTIAC,GRAD AM, 
20110108A160-2011-00767A,1,1999,FORD,EXPLORER, 
20110108E0302011-1099A,1,2006,MITSUBISHI,OUTLANDER, 
201101112011-00002359,1,1993,ACURA,LEG, 
201101112011-00004800,1,1999,NISSAN,ALTIMA, 
201101112011-00004800,2,2007,FREIGHTLINER,, 
201101112011-00008238,1,2009,HONDA,CIVIC, 
201101112011-00012418,1,2010,TOYOTA,4RUNNER/HIGHLAND?, 
