id,vehicle_number,position,occupant_number,age,sex,condition
20110101I-2011-003834,1,01,1,59,F,03
20110101I-2011-003834,1,03,2,61,F,03
20110101I-2011-003834,1,04,3,85,F,02
20110101I-2011-003834,1,06,4,54,F,03
20110101I-2011-003834,2,01,5,85,F,  
20110101I-2011-003834,2,03,6,80,F,03
20110101I-2011-022113,1,01,1,31,M,02
20110101I-2011-803834,1,01,1,59,F,03
20110101I-2011-803834,1,03,2,61,F,03
20110101I-2011-803834,1,04,3,85,F,02
20110101I-2011-803834,1,05,4,54,F,03
20110101I-2011-803834,2,01,5,85,F,  
20110101I-2011-803834,2,03,6,80,F,03
2011010211-010378,1,01,1,55,F,  
2011010211-024114,1,01,1,25,M,  
2011010211-024114,1,03,2,55,M,  
2011010211-024202,1,01,1,39,F,03
2011010211-024202,1,03,2,50,M,02
2011010211-024202,2,01,3,27,F,  
2011010211-026216,1,01,1,,F,  
2011010211-026216,1,03,2,13,F,  
2011010211-026216,1,06,3,25,M,  
2011010211-036057,1,01,1,21,M,  
2011010211-045267,1,01,1,60,F,  
2011010211-054922,1,01,1,42,M,  
2011010211-069823,1,01,1,53,M,  
2011010211-069823,1,03,2,49,M,  
2011010211-069823,1,04,3,51,M,  
2011010211-069823,1,06,4,70,M,  
2011010211-092962,1,01,1,18,M,  
2011010211-092962,1,03,2,17,M,  
2011010211-092962,1,06,3,17,M,  
2011010211-104590,1,01,1,80,M,02
2011010211-111232,1,01,1,33,M,02
2011010211-140474,1,01,1,54,F,  
2011010211-140474,1,03,2,50,M,  
20110102A160-2011-00608A,1,01,1,28,M,02
20110102A160201100325A,1,01,1,34,M,02
20110103I-2011-03340,1,01,1,80,F,02
201101042011-4446,1,01,1,67,M,02
201101042011-4446,2,01,2,48,F,03
20110105A090-2011-00155A,1,01,1,24,F,02
20110105A090-2011-00155A,1,03,2,25,M,02
20110105A090-2011-00155A,1,06,3,2,M,02
20110105A090-2011-00155A,2,01,4,81,F,02
2011010711-5578,1,01,1,51,M,02
2011010711-5578,2,01,2,20,M,  
2011010711-5578,3,01,3,52,M,  
2011010711-5578,3,03,4,45,F,  
2011010711-5578,3,04,5,14,F,  
2011010711-5578,3,06,6,12,M,  
2011010811-032027,1,01,1,20,F,  
2011010811-040996,1,01,1,41,M,04
2011010811-040996,1,03,2,21,F,04
2011010811-040996,1,04,3,21,F,04
2011010811-040996,1,05,4,21,F,04
2011010811-040996,1,05,5,21,F,04
2011010811-040996,1,06,6,21,F,03
2011010811-040996,2,01,7,28,M,04
2011010811-040996,2,03,8,23,M,04
2011010811-040996,2,06,9,32,F,02
2011010811-047476,1,01,1,23,M,02
2011010811-057365,1,01,1,18,F,04
2011010811-057365,2,01,3,76,M,04
2011010811-057365,2,03,4,62,F,04
2011010811-29604,1,01,1,24,F,02
20110108A160-2011-00767A,1,01,1,26,M,02
20110108E0302011-1099A,1,01,1,25,M,02
201101112011-00002359,1,01,1,31,M,02
201101112011-00004800,1,01,1,18,M,02
201101112011-00004800,2,01,2,50,M,03
201101112011-00004800,2,02,3,25,M,04
201101112011-00004800,2,03,4,25,M,04
201101112011-00008238,1,01,1,20,F,02
201101112011-00012418,1,01,1,52,M,  
201101112011-00012418,1,03,2,57,M,  
201101112011-00012418,2,01,3,38,M,02
201101112011-00012418,2,05,4,29,F,02
201101112011-00012418,3,01,5,27,M,03
201101112011-00012418,4,01,6,49,F,  
201101112011-00012418,4,03,7,48,M,  
201101112011-00029361,1,01,1,28,M,02
201101112011-00029361,1,03,2,28,M,04
201101112011-00029932,1,01,1,19,F,04
201101112011-00029932,2,01,2,27,M,02
201101112011-00031475,1,01,1,33,F,02
201101112011-00031475,2,01,2,34,M,  
201101112011-00037687,1,01,1,35,M,  
2011011211-02529,1,01,1,23,F,02
2011011211-20437,1,01,1,36,M,  
2011011211-20437,2,01,2,56,M,  
2011011211-20437,2,03,3,54,M,02
2011011211-21332,1,01,1,52,M,02
2011011211-24637,1,01,1,29,F,  
2011011211-24637,1,03,2,52,M,  
2011011211-24637,1,04,3,6,F,  
2011011211-24637,1,06,4,1,M,  
2011011211-24637,2,01,5,51,M,  
2011011211-24637,3,01,6,19,F,02
2011011211-39676,1,01,1,46,M,02
2011011211-40406,1,01,1,34,M,04
2011011211-40406,2,01,2,22,M,02
2011011211-42303,1,01,1,45,F,04
2011011211-42303,2,01,2,62,F,02
2011011211-45019,1,01,1,24,M,  
2011011211-45019,1,03,2,23,F,  
2011011211-45019,1,04,3,66,F,  
2011011211-45019,1,06,4,7,M,  
2011011211-45019,2,01,5,19,F,  
2011011211-45019,2,03,6,21,M,02
20110112A160-2011-00707A,1,01,1,26,F,02
20110113A160-2011-00828A,1,01,1,28,M,02
20110113I-2011-02371,1,01,1,41,F,02
20110113I-2011-02371,2,01,2,55,M,  
20110113I-2011-04250,1,01,1,59,M,02
20110113I-2011-04915,1,01,1,80,M,  
20110113I-2011-06708,1,01,1,25,F,  
20110113I-2011-07628,1,01,1,33,M,02
20110113I-2011-07628,1,05,2,17,M,02
20110113I-2011-07628,2,01,3,46,F,04
20110113I-2011-07628,2,03,4,81,M,  
20110113I-2011-07628,2,06,5,14,F,  
20110113I-2011-09138,1,01,1,26,F,02
20110114I-2011-02305,1,01,1,65,F,02
