id,vehicle_number,charge
20110101I-2011-003834,1,                              
20110101I-2011-003834,2,                              
20110101I-2011-022113,1,RECKLESS DRIVING              
20110101I-2011-803834,1,                              
20110101I-2011-803834,2,                              
2011010211-010378,1,                              
2011010211-010378,2,                              
2011010211-024114,1,                              
2011010211-024202,1,                              
2011010211-024202,2,                              
2011010211-026216,1,                              
2011010211-036057,1,                              
2011010211-045267,1,                              
2011010211-054922,1,                              
2011010211-054922,2,                              
2011010211-069823,1,                              
2011010211-092962,1,                              
2011010211-104590,1,                              
2011010211-111232,1,39:4-50                       
2011010211-140474,1,                              
20110102A160-2011-00608A,1,                              
20110102A160201100325A,1,39:4-82.1                     
20110103I-2011-03340,1,                              
201101042011-4446,1,                              
201101042011-4446,2,                              
20110105A090-2011-00155A,1,39:4-50                       
20110105A090-2011-00155A,2,                              
2011010711-5578,1,                              
2011010711-5578,2,                              
2011010711-5578,3,                              
2011010811-032027,1,39:4-97                       
2011010811-040996,1,                              
2011010811-040996,2,39:4-96                       
2011010811-047476,1,39:4-96                       
2011010811-057365,1,                              
2011010811-057365,2,                              
2011010811-29604,1,39:4-96                       
20110108A160-2011-00767A,1,                              
20110108E0302011-1099A,1,39:4-50                       
201101112011-00002359,1,39:4-97                       
201101112011-00004800,1,39:4-82                       
201101112011-00004800,2,                              
201101112011-00008238,1,                              
201101112011-00012418,1,                              
201101112011-00012418,2,                              
201101112011-00012418,3,                              
201101112011-00012418,4,                              
201101112011-00018219,1,                              
201101112011-00029361,1,39:4-50                       
201101112011-00029932,1,                              
201101112011-00029932,2,39:4-144                      
201101112011-00031475,1,                              
201101112011-00031475,2,                              
201101112011-00037687,1,                              
2011011211-02529,1,39:4-97 39:6B-2               
2011011211-20437,1,                              
2011011211-20437,2,                              
2011011211-21332,1,                              
2011011211-24637,1,                              
2011011211-24637,2,39:4-97                       
2011011211-24637,3,                              
2011011211-39676,1,                              
2011011211-40406,1,39:3-76.2F                    
2011011211-40406,2,39:3-10 39:4-97 39:4-88 39:4-?
2011011211-42303,1,DWI FAILURE TO MAINTAIN LANE ?
2011011211-42303,2,                              
2011011211-45019,1,39:3-40; 39:3-762A            
2011011211-45019,2,39:4-88B                      
20110112A160-2011-00707A,1,39:4-50                       
20110113A160-2011-00828A,1,                              
20110113I-2011-02371,1,UNINSURED MOTORIST            
20110113I-2011-02371,2,                              
20110113I-2011-04250,1,39:4-97                       
20110113I-2011-04915,1,                              
20110113I-2011-06708,1,39:4-35                       
20110113I-2011-07628,1,39:4-96                       
20110113I-2011-07628,2,                              
20110113I-2011-09138,1,39:4-96                       
20110114I-2011-02305,1,39:4-50                       
20110114I-2011-02305,2,                              
