id,vehicle_number,position,occupant_number,age,sex,condition
20120209DP-12-00441,1,01,1,57,F,  
201202112012-005325,1,01,1,21,M,02
20120212ER-12-11549,1,01,1,55,M,  
20120212ER-12-11549,2,01,2,68,M,02
201202142012:33123,2,01,1,39,M,02
20120215BC12-013950,1,01,1,60,F,02
20120215BC12-013950,2,01,2,23,F,02
20120215BC12-013950,3,01,3,28,F,04
20120215I-2012-028272,1,01,1,43,F,  
20120215I-2012-028272,1,03,2,47,M,  
20120215I-2012-028272,1,03,3,10,F,  
20120215I-2012-028272,1,04,4,3,M,  
20120215R111-12,1,01,1,54,M,04
20120215R111-12,2,01,2,31,F,02
20120215R151-12,1,01,1,36,M,  
20120215R281-12,1,01,1,41,F,03
20120215R281-12,2,01,2,41,M,02
20120216I-2012-002248,1,01,1,23,M,  
20120216I-2012-002248,1,03,2,18,F,04
20120216I-2012-002248,2,01,3,66,M,04
20120216I-2012-002248,2,03,4,62,M,02
2012021712-12037,1,01,1,27,M,03
2012021712-12037,1,03,2,27,F,02
2012021712-12037,1,06,3,22,F,03
2012021712-12037,2,01,4,48,M,04
2012021712-17250,1,01,1,85,F,04
2012021712-17250,1,03,2,85,F,03
2012021712-17250,2,01,3,27,F,02
2012021712-17250,2,03,4,21,M,03
20120219BC-12-035621,1,01,1,27,F,02
2012022012-12921,1,01,1,45,F,  
2012022012-6474,1,01,1,74,M,02
2012022012-9957,1,01,1,26,M,  
20120221I-2012-007894,1,01,1,36,F,  
20120221I-2012-007894,2,01,2,40,M,02
20120221I-2012-032138,1,01,1,30,M,02
20120221I-2012-032138,1,03,2,31,M,  
20120222I-2012-005393,1,01,1,33,M,02
2012022312-67837,1,01,1,50,F,  
2012022312-83794,1,01,1,64,F,  
2012022312-89549,1,01,1,51,M,04
20120225I-2012-01058,1,01,1,21,M,02
201202271213130,1,01,1,77,M,02
201202271213130,2,01,2,17,F,02
201202271213130,3,01,3,56,M,02
201202271213130,3,03,4,57,F,02
2012022929-12-001928-040,1,01,1,18,F,  
20120229D030-2012-02031A,1,01,1,36,M,  
20120229D030-2012-02031A,2,01,2,64,F,03
20120229D030-2012-02031A,2,03,3,48,M,02
20120229D030-2012-02031A,2,06,4,15,F,02
20120229D030-2012-02031A,3,01,1,51,M,  
201202312012-000228,1,01,1,20,M,  
201202312012-000228,1,03,2,13,M,  
2012023212-05473,1,01,1,26,M,02
2012023212-05473,2,01,2,53,F,  
2012023312-03619,1,01,1,20,M,02
2012023312-10709,1,01,1,36,F,  
2012023312-10709,1,04,2,5,M,  
2012023312-10709,2,01,3,20,F,02
2012023312-13107,1,01,1,63,F,02
2012023312-18058,1,01,1,50,M,02
201202342012-000142,1,01,1,, ,  
2012023612-144,1,01,1,20,M,02
2012023612-144,2,01,2,82,M,  
2012023612-221,1,01,1,49,F,  
201202382012-002339,1,01,1,19,M,04
201202382012-002339,2,01,2,50,F,02
201202382012-002339,2,06,3,13,F,03
201202382012-004776,1,01,1,42,F,04
201202382012-004776,2,01,2,43,M,02
2012023912-6828,1,01,1,60,M,02
2012023912-7937,1,01,1,29,F,  
2012023912-7937,2,01,2,25,M,02
2012023912-9278,1,01,1,21,F,04
2012023912-9278,1,03,2,21,F,02
2012024141-12-005680,1,01,1,51,M,04
2012024141-12-005680,1,03,2,17,F,04
2012024141-12-005680,2,01,3,63,F,02
2012024141-12-005680,2,04,4,21,F,02
2012024141-12-005680,2,05,5,16,F,02
2012024141-12-005680,3,01,6,35,M,  
2012024141-12-005680,3,03,7,46,F,02
2012024141-12-005680,3,05,8,11,F,03
2012024141-12-005680,3,06,9,41,F,02
2012024141-12-005680,4,01,10,43,M,03
2012024312-MV-38,1,01,1,23,M,  
20120246I-2012-000255,1,01,1,87,F,  
20120246I-2012-000255,2,01,2,35,M,  
20120246I-2012-000255,2,06,3,1,M,  
20120246I-2012-008365,1,01,1,24,M,02
20120246I-2012-009921,1,01,1,88,M,02
20120246I-2012-009921,1,03,2,88,F,03
20120246I-2012-016686,1,01,1,56,M,02
20120246I-2012-020047,1,01,1,44,F,00
20120246I-2012-020047,2,01,2,35,M,02
20120246I-2012-023675,1,01,1,25,M,02
20120246I-2012-035598,1,01,1,17,F,02
20120246I-2012-035598,1,03,2,52,F,  
20120246I-2012-035598,2,01,3,32,F,  
20120246I-2012-035598,2,03,4,40,F,  
20120246I-2012-035598,2,04,5,10,F,  
20120246I-2012-047226,2,01,1,48,M,  
20120249I-2012-012498,1,01,1,31,M,02
20120249I-2012-012498,2,01,2,52,M,  
2012025012-14955,1,01,1,28,M,  
2012025012-4775,1,01,1,26,M,02
20120251I-2012-006825,1,01,1,36,M,02
20120251I-2012-023163,1,01,1,24,M,02
20120252BC-12-035190,1,01,1,78,M,02
201202562012-002497,1,01,1,52,M,02
201202562012-004010,1,01,1,28,M,02
2012025712-01760,1,01,1,82,M,02
2012025712-01760,1,03,2,23,M,02
2012025712-01760,1,05,3,23,M,02
2012025712-1296,1,01,1,30,F,02
20120257E040-2012-01113A,1,01,1,29,F,02
20120257E040-2012-01113A,2,01,2,36,M,  
20120257E040-2012-01113A,2,03,3,52,M,  
2012026012-025212,1,  ,1,, ,  
20120260PD-12-005431,1,01,1,68,M,  
20120260PD-12-014307,1,01,1,21,M,  
20120260PD-12-020206,1,01,1,30,F,02
20120260PD-12-020206,2,01,2,57,M,03
20120260PD-12-023603,1,01,1,27,M,02
20120260PD-12-023603,1,03,2,24,F,02
20120261TY-12-04690,1,01,1,24,F,  
20120261TY-12-05829,1,01,1,51,F,  
20120261TY-12-12412,1,01,1,85,F,02
20120261TY-12-12412,2,01,2,32,M,04
2012026212-041723,1,01,1,29,M,  
2012026512-5955,1,01,1,20,F,02
2012026512-5955,1,03,2,19,M,  
2012026512-5955,1,05,3,23,M,04
2012026512-9413,1,01,1,29,M,  
2012026512-9413,2,01,2,44,M,02
2012026512-9413,3,01,3,35,M,04
2012026512-9413,3,03,4,37,M,04
201202662012-000761/29-12,1,01,1,17,F,02
201202662012-000761/29-12,2,01,2,45,F,03
2012026812-150,1,01,1,23,M,04
2012026812-150,2,01,2,79,M,02
20120269I-2012-05128,1,01,1,39,M,  
20120269I-2012-05128,1,06,2,8,M,  
20120269I-2012-13578,1,01,1,52,M,  
20120269I-2012-13578,1,03,2,57,M,  
20120269I-2012-13578,1,04,3,15,M,  
2012027012-12601,1,01,1,62,M,  
2012027012-12601,1,03,2,67,F,  
20120301C120-2012-00013A,1,01,1,52,F,02
20120301C120-2012-00059A,1,01,1,75,M,02
20120301C120-2012-00081A,1,01,1,39,M,02
20120301C120-2012-00081A,2,01,2,50,M,02
20120301C120-2012-00205A,1,01,1,28,M,02
201203042012-2747,1,01,1,24,F,02
201203042012-2747,2,01,2,66,M,04
201203042012-3061,1,01,1,68,F,02
201203042012-5147,1,01,1,28,M,02
201203042012-5147,2,01,2,28,F,02
201203042012-5311,1,01,1,21,M,02
201203042012-9582,1,01,1,28,F,02
201203042012-9582,2,01,2,64,M,04
201203042012-9582,2,02,3,64,F,04
20120304C020-2012-00615A,1,01,1,48,M,02
20120304D020-2012-00098A,1,01,1,54,M,02
201203052012-1671,1,01,1,29,F,02
201203052012219257,1,01,1,53,F,  
201203052012219257,2,01,2,50,F,  
201203062012-007816,1,01,1,17,F,04
201203062012-007816,2,01,2,68,F,02
201203062012-007816,3,01,3,17,F,  
201203062012-007816,3,03,4,16,M,  
201203062012-4321,1,01,1,17,M,  
201203062012-4321,1,03,2,16,M,  
201203062012-4321,1,11,3,17,M,02
2012030812-5501,1,01,1,34,M,04
2012030812-5501,1,03,2,40,F,04
2012030812-5501,1,04,3,,M,  
2012030812-5501,2,01,4,50,F,03
2012030812-5501,2,03,5,8,F,03
2012030812-5501,2,05,6,2,M,02
2012030812-9102,1,01,1,77,F,  
2012030812-9102,2,01,2,22,M,  
2012030812-9102,2,04,3,34,M,02
2012030812-9102,2,08,4,90,F,  
2012030812-9102,2,09,5,19,F,  
201203082012-3906,1,01,1,36,M,02
20120310201207618,1,01,1,27,F,04
20120310201207618,1,04,2,7,F,03
20120310201207618,1,05,3,3,F,03
20120310201207618,1,06,4,5,M,03
20120310201207618,2,01,5,25,F,02
20120310201207618,3,01,6,18,F,  
20120310201209996,1,01,1,22,M,02
20120310201209996,1,03,2,22,F,  
2012031312-11293,1,01,1,75,M,  
2012031312-11723,1,01,1,61,M,02
2012031312-11723,1,03,2,56,F,02
2012031312-11723,2,01,3,25,F,02
2012031312-11723,2,03,4,43,F,03
2012031312-11723,2,06,5,7,M,04
2012031312-11723,3,01,1,45,F,04
2012031312-20213,1,01,1,36,M,02
2012031312-20213,2,01,2,27,F,04
2012031312-20213,2,03,3,21,F,04
2012031312-20213,2,05,4,25,M,04
2012031312-20213,3,01,5,41,F,04
2012031312-20213,3,08,6,4,F,  
2012031312-21005,1,01,1,31,F,  
2012031312-21005,1,03,2,35,M,  
2012031312-21005,2,01,3,38,F,02
2012031312-21005,2,03,4,10,M,  
2012031312-21005,2,06,5,6,M,  
2012031312-22086,1,01,1,52,F,04
2012031312-22086,2,01,2,44,F,02
2012031312-22086,3,01,3,70,F,  
2012031312-22086,4,01,4,35,F,04
2012031312-22086,4,03,5,33,F,04
2012031312-22086,5,01,6,50,F,  
2012031312-24145,1,01,1,80,M,02
2012031312-24145,2,01,2,49,M,04
2012031312-24145,2,03,3,31,F,02
2012031312-2553,1,01,1,81,F,02
2012031312-9103,1,01,1,37,M,02
2012031312-9103,1,04,2,3,F,  
2012031312-9103,2,01,3,36,F,  
201203132012-10720,1,01,1,91,F,  
201203132012-10720,2,01,2,30,M,02
201203132012-14738,1,01,1,77,M,  
201203132012-14738,1,03,2,23,M,  
201203132012-14738,1,06,3,22,M,  
201203132012-18659,1,01,1,57,M,02
201203132012-19212,1,01,1,53,F,  
201203132012-19212,2,01,2,74,M,02
201203132012-3007,1,01,1,83,M,04
201203132012-3007,2,01,2,60,M,02
201203132012-3007,2,03,3,37,M,02
201203132012-7174,1,01,1,62,M,02
201203132012-7711,1,01,1,81,F,  
20120316C020-2012-00468A,1,01,1,46,M,02
201203172012-1229,1,01,1,59,M,02
201203172012-1229,2,  ,2,, ,  
201203172012-8408,1,01,1,25,M,02
201203172012-8408,2,01,2,71,F,  
201203172012-8748,1,01,1,22,F,  
20120318MVA12-2612,1,01,1,74,M,02
20120318MVA12-2612,2,01,2,30,M,  
2012031912-13620,1,01,1,19,M,02
2012031912-13620,1,03,2,19,M,04
2012031912-13620,1,04,3,16,F,02
2012031912-13620,1,04,4,16,F,02
2012031912-13620,1,05,5,16,F,02
2012031912-13620,1,06,6,16,F,02
201203202012-11064,1,01,1,40,M,02
201203202012-11064,1,03,2,42,M,04
201203202012-3282,1,01,1,38,M,02
201203202012-4509,1,01,1,23,F,02
201203202012-4509,2,01,2,45,M,04
201203202012-4958,1,01,1,23,M,02
201203202012-4958,2,01,2,45,M,  
20120323#12-0399,1,01,1,61,M,  
2012032312-127,1,01,1,49,F,02
2012032312-5634,1,01,1,43,M,02
2012032312-5634,2,01,2,38,F,04
2012032312-5634,2,03,3,17,F,04
2012032312-5634,2,04,4,30,M,  
2012032312-5634,2,06,5,30,F,  
201203232012-2258,1,01,1,18,M,  
201203242012-02806,1,01,1,30,F,02
201203242012-02806,2,01,2,70,M,02
201203242012-06141,1,01,1,54,M,02
201203242012-06141,2,01,2,47,F,03
201203242012-07814,1,01,1,27,M,  
201203242012-08177,1,01,1,93,F,02
201203242012-08177,2,01,2,57,F,03
201203242012-11981,1,01,1,23,M,02
201203242012-11981,2,01,2,22,F,  
201203242012-12524,1,01,1,30,F,  
201203242012-12524,1,03,2,8,M,  
201203242012-13150,1,01,1,54,F,02
201203242012-19787,1,01,1,36,M,02
201203242012-21828,1,01,1,, ,  
20120324C020-2012-00619A,1,00,1,5,F,  
20120324C020-2012-00619A,1,01,2,65,M,  
20120324C020-2012-00619A,2,01,3,91,M,02
20120324C020201200267A,1,01,1,80,M,  
20120324C020201200267A,1,03,2,80,F,  
20120324C020201200267A,2,01,3,38,F,02
20120324C020201200267A,2,03,4,,M,02
20120324C020201200267A,2,04,5,14,F,04
20120324D020-2012-00487A,1,01,1,41,M,02
20120325C020-2012-00329A,1,01,1,65,M,  
20120325C020-2012-00329A,1,03,2,57,F,  
20120325C020-2012-00329A,2,01,3,18,F,02
201203272012-0540,1,01,1,77,M,02
201203282012-3398,1,01,1,19,M,02
201203282012-3398,2,01,2,32,F,03
201203282012-3398,2,03,3,12,M,03
2012032912-2553,1,01,1,56,M,02
2012032912-2553,2,01,2,54,M,03
2012032912-2553,2,03,3,27,M,04
2012032912-2553,2,06,4,25,M,04
2012032912SPP-78-AC,1,01,1,53,M,02
201203292012-3368,1,01,1,32,F,02
20120329F,1,01,1,49,M,02
20120329F,2,01,2,59,F,04
2012033012-5043,1,01,1,60,M,02
20120332C080-2012-00464A,1,01,1,16,M,02
20120332C080-2012-00464A,2,01,2,38,M,  
20120333C080-2012-00099A,1,01,1,23,F,02
20120334C020-2012-00280A,1,01,1,40,M,03
20120334C020-2012-00280A,1,03,2,63,F,02
20120334C020-2012-00280A,2,01,3,22,F,04
20120334C020-2012-00280A,2,03,4,38,F,04
20120334C020-2012-00280A,2,04,5,6,M,02
20120334C020-2012-00280A,2,06,6,1,F,04
20120334M12-107,1,01,1,56,F,02
20120336C120-2012-00073A,1,01,1,70,M,02
20120336C120-2012-00156A,1,01,1,59,M,02
201203372012-1070,1,01,1,46,M,  
201203372012-5582,1,01,1,34,F,04
201203372012-5582,1,04,2,7,M,02
201203372012-5582,1,06,3,5,M,03
201203372012-5582,2,01,4,23,M,  
201203372012-8489,1,01,1,75,F,  
201203372012-8639,1,01,1,78,F,02
201203382012-00013482,1,01,1,83,M,  
201203382012-00013482,2,01,2,19,M,02
201203382012-00015125,1,01,1,36,F,02
201203382012-00015125,2,01,2,45,M,  
201203382012-00021179,1,01,1,19,F,  
201203382012-00021179,2,01,2,44,F,02
201203382012-00025107,1,01,1,24,M,02
201203382012-00025107,1,03,2,21,M,02
201203382012-00025107,2,01,3,51,M,04
201203382012-00025795,1,01,1,33,M,04
201203382012-00025795,2,01,2,45,F,02
201203382012-00025795,2,03,3,78,F,04
201203382012-00025795,3,01,4,21,F,  
201203382012-00025795,3,03,5,24,M,  
201203382012-00025795,3,08,6,22,F,  
201203382012-00025795,3,09,7,22,F,  
20120339C080-2012-00193A,1,01,1,31,F,02
20120403201233367,1,01,1,36,M,  
20120403201233367,1,03,2,11,F,  
20120403201233367,2,01,3,19,F,  
20120403201233367,2,03,4,18,F,02
20120404212001189,1,01,1,34,F,  
20120404212001189,1,03,2,39,F,  
20120404212001189,1,04,3,2,M,  
20120404212001189,1,05,4,13,F,  
20120404212001189,2,01,5,51,M,02
20120404212001189,3,  ,6,, ,  
20120404212001189,4,  ,7,, ,  
20120404212001189,5,  ,8,, ,  
20120404212006829,1,01,1,41,M,  
20120404212006829,1,03,2,12,M,  
20120404212006829,2,01,3,22,M,02
20120404A310-2012-01742A,1,01,1,36,F,02
201204052012-131,1,01,1,53,M,02
201204052012-131,2,01,2,53,F,03
201204062012-131,1,01,1,53,M,02
201204062012-131,2,01,2,53,F,03
2012040812-02-06-2391,1,01,1,26,M,  
2012040812-03-04-0526,1,01,1,21,M,02
2012040812-04-27-2243,1,01,1,22,M,  
2012040812-04-27-2243,1,03,2,22,F,02
2012040812-05-07-2054,1,01,1,23,M,03
2012040812-05-07-2054,1,04,2,22,F,02
2012040812-05-07-2054,2,01,3,, ,  
2012040812-05790,1,01,1,27,M,  
2012040812-05790,2,01,2,51,M,02
2012040812-06-03-1291,1,01,1,25,F,04
2012040812-06-03-1291,2,01,2,27,M,02
2012040812-06-30-0750,1,01,1,39,M,04
2012040812-06-30-0750,2,01,2,53,M,02
2012040812-07-03-2410,1,01,1,42,M,04
2012040812-07-03-2410,1,03,2,43,F,03
2012040812-07-03-2410,1,06,3,67,F,02
2012040812-07-03-2410,2,01,4,22,M,  
2012040812-07-03-2410,2,03,5,20,F,04
2012040812-07-14-1415,1,01,1,22,F,04
2012040812-07-14-1415,2,01,2,32,M,02
2012040812-08-05-0289,1,02,1,26,M,02
2012040812-10-15-0001,1,01,1,25,M,03
2012040812-10-15-0001,2,01,2,25,M,02
2012040812-10-17-1402,1,01,1,,F,  
2012040812-DRPA-3081,1,01,1,46,M,02
2012040812.11.12.0812,1,01,1,30,M,02
2012040812.11.12.0812,2,  ,2,, ,  
20120408120101-1413,1,01,1,,M,  
201204081201131509,1,01,1,33,F,  
201204081201210435,1,01,1,29,M,02
201204081201210435,1,03,2,36,F,02
201204081201211048,1,01,1,20,M,02
201204081201211048,1,03,2,,F,  
201204081201232193,1,01,1,55,M,02
201204081201290074,1,01,1,35,F,  
201204081204031967,1,01,1,39,M,02
201204081205151068,1,01,1,19,F,  
201204081205191376,1,01,1,39,F,04
201204081205191376,1,03,2,39,M,  
201204081205191376,1,04,3,7,M,04
201204081205191376,1,06,4,12,F,04
201204081205191376,2,01,5,41,M,02
201204081207091076,1,01,1,,M,  
201204081207091076,1,03,2,,M,  
201204081208071134,1,01,1,26,M,  
201204081209091238,1,  ,1,, ,  
201204081209091238,2,01,2,58,M,02
2012040812121?0932,1,01,1,66,F,02
201204082012-01-01-0012,1,01,1,21,F,  
201204082012-01-01-0012,4,  ,3,, ,  
201204082012-01-01-0012,5,  ,5,, ,  
20120408A310-2012-01353A,1,01,1,36,M,02
20120408A310-2012-01353A,1,03,2,33,F,02
2012040912-003409,1,01,1,49,M,02
2012040912-003409,2,01,2,49,M,  
2012040912-003409,2,03,3,55,M,  
2012040912-008404,1,01,1,46,M,02
2012040912-008404,2,01,2,18,M,03
2012040912-009672,1,01,1,32,F,  
2012040912-009672,1,03,2,31,F,  
2012040912-009672,1,09,3,10,F,  
2012040912-013418,1,01,1,37,F,04
2012040912-013418,2,01,3,22,M,  
2012040912-013418,2,03,4,47,M,04
2012040912-013418,3,01,5,68,F,  
2012040912-013418,4,01,2,56,M,02
2012040912-016780,1,01,1,40,F,02
2012040912-016780,2,01,2,72,F,04
2012040912-021675,1,01,1,55,F,  
2012040912-022742,1,01,1,65,M,  
2012040912-026147,1,01,1,17,M,02
2012040912-026147,1,03,2,33,F,03
2012040912-029263,1,01,1,81,M,02
2012040912-029263,1,03,2,72,F,02
2012040912-029263,2,01,3,18,M,04
2012040912-029263,2,03,4,18,M,03
2012040912-029263,2,07,5,18,M,03
2012040912-029263,2,09,6,19,M,03
2012040912-033698,1,01,1,53,M,02
2012040912-033698,1,03,2,53,F,03
2012040912-033698,2,01,3,30,M,04
2012040912-048978,1,01,1,, ,  
2012040912-051724,1,01,1,63,F,04
2012040912-051724,1,03,2,56,M,02
2012040912-051724,2,01,3,25,F,04
2012040912-051724,2,03,4,60,F,  
2012040912-051724,3,01,5,58,F,04
2012040912-058329,1,01,1,,F,  
2012040912-061655,1,01,1,54,M,02
2012040912-062495,1,01,1,60,M,  
