id,vehicle_number,charge
2012010212-008941,1,                              
2012010212-042615,1,                              
2012010212-050078,1,39:3-29                       
2012010212-050078,3,                              
2012010212-050078,4,                              
2012010212-083769,1,39:4-97                       
2012010212-090795,1,CARELESS                      
2012010212-090795,2,UNLICENSED                    
2012010212-090795,3,                              
2012010212-101970,1,39:4-50                       
2012010212-101970,2,                              
2012010212-101970,3,                              
2012010212-116690,1,                              
2012010212-122317,1,39:4-50                       
2012010212-122317,2,                              
20120103I-2012-07548,1,39:4-50 DWI                   
20120103I-2012-07548,2,                              
20120103I-2012-12965,1,                              
20120103I-2012-12965,2,                              
20120105A090-2012-00226A,1,                              
20120105A090-2012-00226A,2,                              
20120105A090-2012-00226A,3,                              
20120105A090-2012-00297A,1,                              
20120105A090-2012-00297A,2,39:3-76.7                     
2012010712-4538,1,2C:12-1C(2)                   
2012010812-066077,1,                              
2012010812-066077,2,39:4-144                      
2012010812-09873,1,39:4-50                       
2012010812-19010,1,                              
2012010812-56094,1,39:4-129                      
20120109A090-2012-00328A,1,                              
201201112012-00003997,1,39:3-76.2F                    
201201112012-00009345,1,39:4-86                       
201201112012-00009345,2,                              
201201112012-00011971,1,39:4-50                       
201201112012-00022956,1,                              
201201112012-00022956,2,                              
201201112012-00035256,1,39:4-97                       
201201112012-00035256,2,                              
201201112012-00035256,3,                              
201201112012-00035256,4,                              
201201112012-00037289,1,39:4-50                       
2012011212-00501,1,UNREGISTERED VEHICLE          
2012011212-00501,2,39:4-50                       
2012011212-18407,1,CARELESS DRIVING              
2012011212-23197,1,                              
2012011212-23197,2,                              
2012011212-23197,3,39:4-97                       
2012011212-24339,1,39:4-97                       
2012011212-38661,1,                              
201201122012043003,1,39:4-97                       
201201122012043003,2,                              
201201122012043003,3,                              
20120112A160-2012-00459A,1,                              
20120112A160-2012-00459A,2,                              
20120112A160-2012-00534A,1,39:4-50                       
20120113A160-2012-00735A,1,39:4-50                       
20120113I-2012-07565,1,                              
20120113I-2012-08917,1,CARELESS DRIVING 39:4-97      
20120113I-2012-08917,2,                              
20120113I-2012-10770,1,39:4-88A                      
20120113I-2012-10770,2,                              
20120113I-2012-10770,3,                              
20120113I-2012-15853,1,39:4-97                       
20120113I-2012-15853,2,                              
20120113I-2012-15853,3,                              
20120113I-2012-16551,1,DWI                           
20120113I-2012-20510,1,39:4-97                       
20120113I-2012-20510,2,                              
2012011612-14310,1,39:4-36                       
20120117I-2012-003459,1,SPEEDING                      
20120117I-2012-007990,1,FAILURE TO OBSERVE STOP SIGN  
20120119I-2012-005366,1,39:4-96 RECKLESS DRIVING      
20120119I-2012-037136,1,                              
20120119I-2012-037136,2,39:4-88.A FAILURE TO MAINTAIN?
20120119I-2012-0421?0,1,                              
20120121I-2012-008702,1,39:4-97 CARELESS DRIVING      
20120121I-2012-008702,2,                              
20120122I-2012-11424,1,                              
20120122I-2012-11424,2,                              
20120122I-2012-14211,1,                              
20120122I-2012-14211,2,                              
20120122I-2012-15868,1,                              
20120122I-2012-15868,2,                              
2012020312-00434,1,                              
2012020312-00434,2,                              
2012020312-00434,3,                              
2012020312-00434,4,                              
2012020312-00434,5,                              
2012020312-08381,1,                              
2012020412-11548,1,39:4-50                       
2012020512-00155,1,                              
2012020512-00155,2,                              
2012020512-01263,1,39:4-50                       
20120206I-2012-002826,1,39:4-50 DRIVING WHILE UNDER T?
20120206I-2012-002826,2,39:6B-2 UNINSURED MOTORIST/VE?
20120206I-2012-003006,1,39:4-96 RECKLESS DRIVING      
20120206I-2012-007725,1,39:4-129 LEAVING THE SCENE OF?
20120206I-2012-007725,2,                              
20120206I-2012-009823,1,                              
20120206I-2012-023769,1,39:4-50 DRIVING WHILE UNDER T?
20120206I-2012-023769,2,                              
201202072012-001215,1,                              
201202072012-005380,2,                              
20120209DP-12-00441,1,                              
201202112012-005325,1,39:4-50                       
20120212ER-12-11549,1,                              
20120212ER-12-11549,2,39:4-97                       
201202142012:33123,1,                              
201202142012:33123,2,                              
20120215BC12-013950,1,39:3-29 FAILURE TO EXHIBIT DO?
20120215BC12-013950,2,39:3-29 FAIL TO EXHIBIT DOCS  
20120215BC12-013950,3,39:4-97 CARELESS DRIVING      
20120215I-2012-028272,1,39:4-32B FAILURE OF DRIVER TO?
20120215R111-12,1,39:3-29 FAIL TO EXHIBIT INS.  
20120215R111-12,2,39:3-4 UNREGISTERED VEH       
20120215R151-12,1,                              
20120215R281-12,1,                              
20120215R281-12,2,39:3-29(INS.)                 
20120216I-2012-002248,1,39:3-76.2F FAILURE TO WEAR SE?
20120216I-2012-002248,2,39:4-123 IMPROPER TURNS       
2012021712-12037,1,SEE NARRATIVE                 
2012021712-12037,2,                              
2012021712-17250,1,                              
2012021712-17250,2,                              
20120219BC-12-035621,1,39:4-50?                      
2012022012-12921,1,39:4-97 CARELESS DRIVING      
2012022012-6474,1,                              
2012022012-9957,1,39:4-90 FAIL TO YIELD ROW     
20120221I-2012-007894,1,                              
20120221I-2012-007894,2,                              
20120221I-2012-032138,1,39:4-50 OPERATE MOTOR VEHICLE?
20120221I-2012-032138,2,                              
20120222I-2012-005393,1,39:4-50 DRIVING WHILE UNDER T?
2012022312-67837,1,39:4-36                       
2012022312-83794,1,                              
2012022312-89549,1,                              
20120225I-2012-01058,1,39:4-50 DRIVING WHILE UNDER T?
201202271213130,1,                              
201202271213130,2,                              
201202271213130,3,                              
2012022929-12-001928-040,1,                              
20120229D030-2012-02031A,1,39:4-96                       
20120229D030-2012-02031A,2,                              
20120229D030-2012-02031A,3,                              
201202312012-000228,1,39:4-97                       
2012023212-05473,1,                              
2012023212-05473,2,                              
2012023312-03619,1,39:4-50                       
2012023312-10709,1,39:3-40                       
2012023312-10709,2,39:3-76.2F                    
2012023312-13107,1,                              
2012023312-18058,1,39:4-50 39:4-96               
201202342012-000142,1,                              
20120235MP-005131-12,1,                              
2012023612-144,1,39:3-10                       
2012023612-144,2,39:3-76.7                     
2012023612-221,1,                              
201202382012-002339,1,                              
201202382012-002339,2,39:4-88A                      
201202382012-004776,1,DWI                           
201202382012-004776,2,                              
2012023912-6828,1,                              
2012023912-7937,1,FAILURE TO YIELD 39:4-144     
2012023912-7937,2,RECKLESS DRIVING 39:4-96      
2012023912-9278,1,                              
2012024141-12-005680,1,                              
2012024141-12-005680,2,                              
