id,vehicle_number,year,make,model,hit_run
2012010212-008941,1,2005,FORD,CROWN VIC, 
2012010212-042615,1,1998,AUDI,A4, 
2012010212-050078,1,2003,TOYOTA,CAMRY, 
2012010212-050078,3,1995,CHEVROLET,4DR, 
2012010212-050078,4,2005,BUICK,4DR, 
2012010212-083769,1,2008,HONDA,CIVIC, 
2012010212-090795,1,2009,MG,GAL, 
2012010212-090795,2,1995,TOYOTA,CAM, 
2012010212-090795,3,2007,NISSAN,VERS, 
2012010212-101970,1,1999,FORD,F150, 
2012010212-101970,2,2011,TOYOTA,COROLLA, 
2012010212-101970,3,2008,CHEVROLET,IMPALA, 
2012010212-116690,1,0   ,,,Y
2012010212-122317,1,1995,CHEVROLET,TAHOE, 
2012010212-122317,2,1998,NISSAN,PATHFIND, 
20120103I-2012-07548,1,0   ,CHRYSLER,SEB, 
20120103I-2012-07548,2,2010,FORD,TK, 
20120103I-2012-12965,1,2003,DODGE,NEO, 
20120103I-2012-12965,2,2006,HARLEY DAVIDSON,FLH, 
20120105A090-2012-00226A,1,2006,TOYOTA,CAM, 
20120105A090-2012-00226A,2,2011,HONDA,ACCORD, 
20120105A090-2012-00226A,3,1999,CHEVROLET,MONTE CARLO, 
20120105A090-2012-00297A,1,2002,FORD,XPL, 
20120105A090-2012-00297A,2,1995,HONDA,99, 
2012010712-4538,1,1996,JEEP,GRAND CHEROKEE, 
2012010812-066077,1,2007,MERCURY,GRAND MARQ, 
2012010812-066077,2,2003,ACURA,MDX, 
2012010812-09873,1,2003,DODGE,CARAVAN, 
2012010812-19010,1,2004,SATURN,4 DR, 
2012010812-56094,1,2009,BMW,528I, 
20120109A090-2012-00328A,1,1990,HONDA,TRX300FW, 
201201112012-00003997,1,2008,SUZUKI,FORSA, 
201201112012-00009345,1,2002,SUZUKI,, 
201201112012-00009345,2,2004,TOYOTA,SIENNA (VAN), 
201201112012-00011971,1,2003,SUBARU,IMPREZA, 
201201112012-00022956,1,1999,HONDA,ACCORD, 
201201112012-00022956,2,1997,TOYOTA,4RUNNER/HIG, 
201201112012-00035256,1,2005,CHEVROLET,COLORADO, 
201201112012-00035256,2,2012,FORD,, 
201201112012-00035256,3,2011,HYUNDAI,SONATA, 
201201112012-00035256,4,2006,HONDA,ACCORD, 
201201112012-00037289,1,2000,JEEP,CHEROKEE, 
2012011212-00501,1,2002,SUZUKI,XL7, 
2012011212-00501,2,1997,BUICK,4DOOR, 
2012011212-18407,1,0   ,HONDA,ATV, 
2012011212-23197,1,1999,FORD,4 DOOR, 
2012011212-23197,2,2000,HONDA,WAGON, 
2012011212-23197,3,1997,TOYOTA,4 DOOR, 
2012011212-24339,1,2006,HONDA,2 DOOR, 
2012011212-38661,1,2004,HONDA,CIVIC, 
201201122012043003,1,2004,CHEVROLET,, 
201201122012043003,2,2012,NISSAN,, 
201201122012043003,3,1993,GMC,SON, 
20120112A160-2012-00459A,1,1994,HONDA,CIVIC, 
20120112A160-2012-00459A,2,2006,FORD,ECONOLINE, 
20120112A160-2012-00534A,1,2000,FORD,EXPLORER, 
20120113A160-2012-00735A,1,2006,SATURN,ION, 
20120113I-2012-07565,1,2000,LEXUS,4D, 
20120113I-2012-08917,1,2011,CHEVROLET,4 DR, 
20120113I-2012-08917,2,2002,HARLEY DAVIDSON,MOTORCY, 
20120113I-2012-10770,1,2004,CHEVROLET,SUB, 
20120113I-2012-10770,2,2011,NISSAN,ALTIMA, 
20120113I-2012-10770,3,2002,HONDA,CIVIC, 
20120113I-2012-15853,1,2001,FORD,RAN, 
20120113I-2012-15853,2,2001,CHEVROLET,MAL, 
20120113I-2012-15853,3,2011,CHRYSLER,CONV, 
20120113I-2012-16551,1,2002,FORD,F-150, 
20120113I-2012-20510,1,1995,JEEP,CHEROKE, 
20120113I-2012-20510,2,2006,KENWORTH,TRACTOR, 
2012011612-14310,1,2007,LEXUS,WAGON, 
20120117I-2012-003459,1,2004,CHEVROLET,VENTURE, 
20120117I-2012-007990,1,2002,MITSUBISHI,GAL, 
20120119I-2012-005366,1,1998,HONDA,ACCORD, 
20120119I-2012-037136,1,2003,HONDA,750, 
20120119I-2012-037136,2,2005,JEEP,GRAND CHE, 
20120119I-2012-0421?0,1,1998,SUBARU,LEGACY, 
20120121I-2012-008702,1,2011,LEXUS,RX3, 
20120121I-2012-008702,2,2010,LEXUS,4DR., 
20120122I-2012-11424,1,2007,LEXUS,ES, 
20120122I-2012-11424,2,2004,LEXUS,ES, 
20120122I-2012-14211,1,1987,CHEVROLET,ASTRO, 
20120122I-2012-14211,2,2009,FORD,E350, 
20120122I-2012-15868,1,2006,DODGE,CAR, 
20120122I-2012-15868,2,2004,FORD,F65, 
2012020312-00434,1,2004,FORD,TAURUS, 
2012020312-00434,2,1994,TOYOTA,CAMRY, 
2012020312-00434,3,2000,OLDS,INT, 
2012020312-00434,4,2000,FORD,FOCUS, 
2012020312-00434,5,2010,CHRYSLER,SEB, 
2012020312-08381,1,2007,LEXUS,RX400H, 
2012020412-11548,1,2004,NISSAN,MURANO, 
2012020512-00155,1,2002,FORD,TAURUS, 
2012020512-00155,2,2000,INTERNATIONAL,94001, 
2012020512-01263,1,2008,VOLKSWAGEN,JETTA, 
20120206I-2012-002826,1,2010,HONDA,CRV, 
20120206I-2012-002826,2,2004,SATURN,VUE, 
20120206I-2012-003006,1,2005,NISSAN,ALTIMA, 
20120206I-2012-007725,1,2003,FORD,EXPLORER, 
