id,vehicle_number,position,occupant_number,age,sex,condition
20150101I-2015-032852,1,01,1,24,M,02
2015010215-029866,1,01,1,, ,  
2015010215-031224,1,01,1,70,M,  
2015010215-031224,2,01,2,40,M,02
2015010215-034408,1,01,1,18,M,  
2015010215-034408,1,03,2,19,M,  
2015010215-034408,1,04,3,15,F,02
2015010215-034408,1,05,4,19,F,03
2015010215-034408,1,05,5,19,M,03
2015010215-034408,1,06,6,18,F,03
2015010215-040955,1,01,1,26,F,02
2015010215-040955,2,01,2,22,F,03
2015010215-047766,1,01,1,39,M,02
2015010215-047766,2,01,2,22,F,04
2015010215-047766,2,03,3,32,M,04
2015010215-080573,1,01,1,26,F,  
20150102A160-2015-00301A,1,01,1,25,M,02
20150102A160-2015-00301A,2,01,2,25,M,  
20150102A160-2015-00301A,2,03,3,26,M,  
20150103I-2015-03183,1,01,1,53,M,02
201501042015005254,1,01,1,30,F,03
201501042015005254,1,03,2,34,M,  
201501042015005254,1,04,3,1,M,02
201501042015005254,1,06,4,3,M,04
201501042015005254,2,01,5,54,F,03
201501042015005254,2,03,6,55,M,03
201501042015010481,1,01,1,14,F,02
201501042015010481,1,05,2,13,M,04
20150105A090-2015-00119A,1,01,1,25,M,02
2015010715-09998,1,01,1,67,M,  
2015010715-09998,2,01,2,32,M,02
201501072015010193,1,01,1,52,M,03
201501072015010193,2,01,2,18,F,03
201501072015010193,2,03,3,18,F,04
201501072015010193,2,06,4,19,M,02
2015010815-11191,1,01,1,48,M,02
201501082015-00012864,1,01,1,50,M,02
201501082015-00045679,1,01,1,70,M,02
201501082015-00045679,2,01,2,48,M,03
201501082015-00080347,1,01,1,21,M,  
201501082015-00080524,1,01,1,47,M,02
201501082015-00080524,2,01,2,56,F,03
201501082015-00080524,2,03,3,59,F,03
201501082015-00081011,1,01,1,53,M,04
201501082015-00081011,2,01,2,56,M,02
201501082015-00081011,2,03,3,24,F,04
201501082015-00081795,1,01,1,92,M,02
201501082015-00081795,2,01,2,22,F,04
201501082015-35551,1,01,1,53,M,02
20150110A090-2015-00166A,1,01,1,79,F,03
20150110A090-2015-00166A,2,01,2,25,M,02
201501112015-00014734,1,01,1,31,M,02
201501112015-00018611,1,01,1,24,M,  
201501112015-00030667,1,01,1,76,F,02
201501112015-00030667,1,03,2,33,M,02
201501112015-00030667,2,01,3,47,M,04
201501112015-00030667,2,03,4,16,M,04
201501112015-00030667,2,04,5,50,F,04
201501112015-00030667,2,06,6,14,F,04
201501112015-00035223,1,01,1,62,F,02
201501112015-00035223,1,03,2,64,M,02
201501112015-00035223,2,01,3,38,F,04
201501112015-00035223,2,03,4,10,F,04
201501112015-00035223,2,04,5,5,M,04
201501112015-00035223,3,01,6,21,M,04
201501112015-00039157,1,01,1,54,M,02
201501112015-00039157,2,01,2,64,M,02
201501112015-00039157,2,03,3,44,M,04
201501122015014347,1,01,1,17,M,02
201501122015016226,1,01,1,62,F,04
201501122015016226,2,01,2,20,F,02
201501122015020681,1,01,1,53,F,04
201501122015020681,2,01,2,41,M,02
201501122015022492,1,01,1,, ,  
201501122015022492,1,04,2,30,M,  
201501122015022492,1,06,3,24,M,  
201501122015022492,1,07,4,17,M,  
201501122015022492,1,08,5,17,M,  
