id,vehicle_number,year,make,model,hit_run
20150101I-2015-032852,1,2006,DODGE,CHARGER, 
2015010215-029866,1,    ,,,Y
2015010215-031224,1,2014,LAND ROVER,LNDR, 
2015010215-031224,2,2006,INFINITI,M35, 
2015010215-034408,1,2001,HONDA,CRV, 
2015010215-040955,1,2007,CHRYSLER,PACIFICA, 
2015010215-040955,2,1997,HONDA,ACCORD, 
2015010215-047766,1,2012,MAZDA,3, 
2015010215-047766,2,1999,JEEP,CHEROKEE, 
2015010215-080573,1,2013,HYUNDAI,ACCENT, 
20150102A160-2015-00301A,1,2001,HARLEY DAVIDSON,SPO, 
20150102A160-2015-00301A,2,2006,ACURA,RSX, 
20150103I-2015-03183,1,2006,JEEP,WRA, 
201501042015005254,1,2013,HYUNDAI,SON, 
201501042015005254,2,2010,CHEVROLET,IMP, 
201501042015010481,1,2005,SUZUKI,, 
20150105A090-2015-00119A,1,2000,VOLKSWAGEN,JETTA, 
2015010715-09998,1,2004,CHEVROLET,CAV, 
2015010715-09998,2,2014,CHEVROLET,CRUZE, 
201501072015010193,1,2005,FORD,XPD, 
201501072015010193,2,2007,HONDA,CIV, 
2015010815-11191,1,2007,HONDA,PILOT, 
201501082015-00012864,1,2001,HONDA,ACCORD, 
201501082015-00045679,1,2015,HYUNDAI,GENESIS, 
201501082015-00045679,2,2005,GMC,V2500, 
201501082015-00080347,1,1996,HONDA,CIVIC, 
201501082015-00080524,1,1997,JEEP,WRANGLER, 
201501082015-00080524,2,2009,MERCEDES BENZ,350-CLASS, 
201501082015-00081011,1,1998,FORD,F150, 
201501082015-00081011,2,2011,HONDA,RIDGELINE, 
201501082015-00081795,1,1995,TOYOTA,COROLLA, 
201501082015-00081795,2,2014,NISSAN,SENTRA, 
201501082015-35551,1,1967,FORD,MUSTANG, 
20150110A090-2015-00166A,1,2003,CHEVROLET,IMPALA, 
20150110A090-2015-00166A,2,2001,HARLEY DAVIDSON,XL883C, 
201501112015-00014734,1,2000,CHRYSLER,SEBRING, 
201501112015-00018611,1,2003,CHEVROLET,C/K 2500, 
